N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,cost_multiplier,model
731,0.8467852257181943,1.5972582355059401,1167.5957701548423,15.642270787731805,6.3390729953657114,184.19030211648192,1.0,Break_Strength
731,0.8426812585499316,1.582469887040533,1156.7854874266295,14.599608606025313,6.458849370735095,179.10086162838837,1.5,Break_Strength
731,0.8426812585499316,1.5775404375520634,1153.1820598505583,14.278533265295433,6.498774829191461,177.44607101490087,2.0,Break_Strength
723,0.8450899031811895,1.5800824634051918,1142.3996210419537,15.326297702226315,79.74144086538331,14.32629770222628,ex_top1pct,Break_Strength
573,0.8848167539267016,1.7039793637691323,976.3801754397128,23.052412110705514,4.10617773435024,237.78322289164498,1.0,Displacement_BodyRange
573,0.881326352530541,1.6937227398850414,970.5031299541288,21.920280463940976,4.701842305249016,206.40911943615887,1.5,Displacement_BodyRange
573,0.881326352530541,1.6903038652570115,968.5441147922676,21.563779966720922,4.900397162215285,197.64604433703192,2.0,Displacement_BodyRange
567,0.8835978835978836,1.6902678347290898,958.3818622913939,22.645904247448744,44.275436652379426,21.645904247448886,ex_top1pct,Displacement_BodyRange
1132,0.8674911660777385,1.6505182115445456,1868.3866154684256,17.825944680242642,8.38599731970504,222.79837975599807,1.0,Displacement_RangeATR
1132,0.8639575971731449,1.6378657598774453,1854.0640401812682,16.7988833339825,8.576160181583418,216.18813092632232,1.5,Displacement_RangeATR
1132,0.8630742049469965,1.6336482759884121,1849.2898484188825,16.477647267000062,8.639547802209506,214.04937975410462,2.0,Displacement_RangeATR
1120,0.8660714285714286,1.6236182198201674,1818.4524061985876,17.376257107087284,111.04200393944711,16.37625710708731,ex_top1pct,Displacement_RangeATR
921,0.8534201954397395,1.5836674553241823,1458.557726353572,15.982396967337143,7.537478234171829,193.5073881528534,1.0,Displacement_BodyATR
921,0.8490770901194354,1.571073061591709,1446.958289725964,15.180568737168407,7.875765661403534,183.72287240807808,1.5,Displacement_BodyATR
921,0.8479913137893594,1.5668749303475515,1443.091810850095,14.926299442411842,8.10169566229024,178.12219453848905,2.0,Displacement_BodyATR
911,0.8518111964873765,1.5625866814370661,1423.5164667891672,15.622450938775122,97.35142711365529,14.622450938775128,ex_top1pct,Displacement_BodyATR
679,0.8527245949926362,1.6463712878652164,1117.8861044604819,17.28808022893393,3.9700633116551103,281.57891114195803,1.0,Close_Quality
679,0.8483063328424153,1.6309984454511746,1107.4479444613476,16.095070337097745,4.327420571799735,255.91410081058288,1.5,Close_Quality
679,0.8483063328424153,1.625874164646494,1103.9685577949695,15.728965605906115,4.57994921719839,241.04384250580847,2.0,Close_Quality
672,0.8511904761904762,1.6115334688457708,1082.950491064358,16.779053350817648,68.63215853239012,15.779053350817641,ex_top1pct,Close_Quality
856,0.875,1.7023363794973345,1457.1999408497184,20.158266677494716,5.35205693858984,272.2691401772832,1.0,Wick_Quality
856,0.8714953271028038,1.689000448265138,1445.784383714958,18.8780908967733,5.491309228795444,263.2859166141151,1.5,Wick_Quality
856,0.8714953271028038,1.6845551378544057,1441.9791980033713,18.48246493085651,5.613806490173488,256.8630038330389,2.0,Wick_Quality
847,0.8736717827626919,1.6728288940969684,1416.8860733001322,19.628247560923928,76.0611575869491,18.628247560923892,ex_top1pct,Wick_Quality
782,0.8631713554987213,1.7010791088880126,1330.2438631504258,17.55955320813742,10.17412804090688,130.74770219147481,1.0,Structure_Touches
782,0.8618925831202046,1.6873140901045263,1319.4796184617396,16.41460800601351,10.783795092585223,122.35763079075883,1.5,Structure_Touches
782,0.8618925831202046,1.6827257505100308,1315.8915368988442,16.06264494888406,10.987017443144794,119.76785726501942,2.0,Structure_Touches
774,0.8617571059431525,1.6746178083858203,1296.154183690625,17.13518751362033,80.33090304010898,16.135187513620494,ex_top1pct,Structure_Touches
656,0.8140243902439024,1.5272788125516465,1001.8949010338802,11.959443396626778,5.7831572019732675,173.2435875497253,1.0,Structure_Age
656,0.8079268292682927,1.5104422845985492,990.8501386966483,11.218104999452994,5.907197496712172,167.7360777675261,1.5,Structure_Age
656,0.8079268292682927,1.504830108614183,987.1685512509041,10.987653843637778,5.948544261625102,165.95128284062164,2.0,Structure_Age
649,0.8120184899845917,1.5036252639072234,975.852796275788,11.674576218711398,91.41841102462001,10.674576218711348,ex_top1pct,Structure_Age
22,0.9545454545454546,1.6339777583178376,35.94751068299243,131.62017491762387,0.2752064197254587,130.6201749176239,1.0,Local_Liquidity
22,0.9090909090909091,1.6234999137352295,35.71699810217505,119.04285191424853,0.29553151184440196,120.8568178711857,1.5,Local_Liquidity
