variant,penetration_atr,reclaim_window_bars,recovered_N,recovered_wins,recovered_losses,recovered_win_pct,recovered_avg_R,recovered_total_R,recovered_profit_factor,recovered_max_drawdown_R,recovered_largest_win_R,recovered_largest_loss_R,recovered_max_consecutive_wins,recovered_max_consecutive_losses,recovered_avg_MFE_R,recovered_avg_MAE_R
P0.10_W1,0.1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P0.10_W2,0.1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P0.10_W3,0.1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P0.10_W4,0.1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P0.20_W1,0.2,1,1,0,1,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0,1,0.11214701026471122,1.1561822724909514
P0.20_W2,0.2,2,1,0,1,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0,1,0.11214701026471122,1.1561822724909514
P0.20_W3,0.2,3,1,0,1,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0,1,0.11214701026471122,1.1561822724909514
P0.20_W4,0.2,4,1,0,1,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0,1,0.11214701026471122,1.1561822724909514
P0.30_W1,0.3,1,4,1,3,25.0,-0.5884966881455339,-2.3539867525821356,0.2226218335342913,3.0281101967197754,0.6741234441376399,-1.0129502509460568,1,3,0.367106119540987,1.05806368082257
P0.30_W2,0.3,2,6,3,3,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2,2,0.7653135087229938,0.8942573228139512
P0.30_W3,0.3,3,6,3,3,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2,2,0.7653135087229938,0.8942573228139512
P0.30_W4,0.3,4,6,3,3,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2,2,0.7653135087229938,0.8942573228139512
P0.40_W1,0.4,1,4,1,3,25.0,-0.5884966881455339,-2.3539867525821356,0.2226218335342913,3.0281101967197754,0.6741234441376399,-1.0129502509460568,1,3,0.367106119540987,1.05806368082257
P0.40_W2,0.4,2,6,3,3,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2,2,0.7653135087229938,0.8942573228139512
P0.40_W3,0.4,3,8,3,5,37.5,-0.42135601350182317,-3.3708481080145853,0.3342406305808021,4.137720501719107,0.7668723937045221,-1.0228583288416444,1,2,0.7032849667559639,0.9324151556090836
P0.40_W4,0.4,4,8,3,5,37.5,-0.42135601350182317,-3.3708481080145853,0.3342406305808021,4.137720501719107,0.7668723937045221,-1.0228583288416444,1,2,0.7032849667559639,0.9324151556090836
P0.50_W1,0.5,1,4,1,3,25.0,-0.5884966881455339,-2.3539867525821356,0.2226218335342913,3.0281101967197754,0.6741234441376399,-1.0129502509460568,1,3,0.367106119540987,1.05806368082257
P0.50_W2,0.5,2,6,3,3,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2,2,0.7653135087229938,0.8942573228139512
P0.50_W3,0.5,3,9,3,6,33.333333333333336,-0.48959786754502865,-4.406380807905258,0.27748798575381617,5.17325320160978,0.7668723937045221,-1.0355326998906729,1,2,0.657815939697874,0.9595084597561429
P0.50_W4,0.5,4,9,3,6,33.333333333333336,-0.48959786754502865,-4.406380807905258,0.27748798575381617,5.17325320160978,0.7668723937045221,-1.0355326998906729,1,2,0.657815939697874,0.9595084597561429
