variant,candidate_id,direction,score,setup_timestamp,bos_timestamp,retest_timestamp,reclaim_timestamp,confirm_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,htf_regime,session_bucket,mfe_R,mae_R,exit_timestamp,exit_price,gross_result_R,cost_R,net_result_R,exit_reason,recovered_vs_current
P0.10_W1,9,Short,90.0,2026-06-30 07:00:00-05:00,2026-06-30 07:00:00-05:00,2026-06-30 07:10:00-05:00,2026-06-30 07:15:00-05:00,2026-06-30 07:20:00-05:00,2026-06-30 07:20:00-05:00,29747.75,29784.664426004638,29673.92114799072,36.914426004639004,1,1,1.8556431025472715,0.08126904098747174,2026-06-30 08:20:00-05:00,29681.75,1.7879189017243784,0.019640018238639003,1.7682788834857395,TIME,False
P0.10_W1,29,Long,90.0,2026-07-02 21:05:00-05:00,2026-07-02 21:05:00-05:00,2026-07-02 21:10:00-05:00,2026-07-02 21:15:00-05:00,2026-07-02 21:20:00-05:00,2026-07-02 21:20:00-05:00,29400.0,29354.12814045621,29491.743719087583,45.871859543790904,-1,0,0.877444263221462,0.2506983609204177,2026-07-02 22:20:00-05:00,29428.25,0.615845973565374,0.01580489666672199,0.6000410768986519,TIME,False
P0.10_W1,40,Long,85.0,2026-07-07 10:50:00-05:00,2026-07-07 10:50:00-05:00,2026-07-07 10:55:00-05:00,2026-07-07 11:00:00-05:00,2026-07-07 11:10:00-05:00,2026-07-07 11:10:00-05:00,29148.5,29067.334739368947,29310.830521262105,81.16526063105175,-1,3,1.4107020554086072,0.19404853600598743,2026-07-07 12:10:00-05:00,29216.75,0.8408769893592789,0.008932392927259739,0.8319445964320191,TIME,False
P0.10_W1,55,Short,75.0,2026-07-09 19:05:00-05:00,2026-07-09 19:05:00-05:00,2026-07-09 19:15:00-05:00,2026-07-09 19:20:00-05:00,2026-07-09 19:25:00-05:00,2026-07-09 19:25:00-05:00,29519.25,29560.16229604445,29437.425407911094,40.912296044452184,1,0,0.8004928387401271,0.983811809443973,2026-07-09 20:25:00-05:00,29548.5,-0.714943985744999,0.017720833834705102,-0.7326648195797041,TIME,False
P0.10_W1,57,Short,75.0,2026-07-10 06:35:00-05:00,2026-07-10 06:35:00-05:00,2026-07-10 06:40:00-05:00,2026-07-10 06:45:00-05:00,2026-07-10 06:50:00-05:00,2026-07-10 06:50:00-05:00,29501.75,29532.820680070654,29439.60863985869,31.070680070655364,1,1,1.5529109723468721,1.9069424893585942,2026-07-10 07:10:00-05:00,29532.820680070654,-1.0,0.02333389543940896,-1.023333895439409,STOP,False
P0.10_W1,60,Long,75.0,2026-07-10 12:25:00-05:00,2026-07-10 12:25:00-05:00,2026-07-10 12:30:00-05:00,2026-07-10 12:35:00-05:00,2026-07-10 12:40:00-05:00,2026-07-10 12:40:00-05:00,29747.0,29701.055984191462,29838.88803161708,45.94401580853947,1,4,0.1632421517364618,0.9413630750135964,2026-07-10 13:40:00-05:00,29721.75,-0.5495819108460881,0.015780074667857975,-0.5653619855139461,TIME,False
P0.10_W1,85,Short,75.0,2026-07-16 11:10:00-05:00,2026-07-16 11:10:00-05:00,2026-07-16 11:30:00-05:00,2026-07-16 11:35:00-05:00,2026-07-16 11:40:00-05:00,2026-07-16 11:40:00-05:00,28975.0,29051.118399339593,28822.76320132081,76.11839933959466,-1,3,0.8243736145849195,0.7849613302222939,2026-07-16 12:40:00-05:00,28926.0,0.6437339779228853,0.009524635387634529,0.6342093425352509,TIME,False
P0.10_W1,119,Short,75.0,2026-07-23 09:40:00-05:00,2026-07-23 09:40:00-05:00,2026-07-23 09:45:00-05:00,2026-07-23 09:50:00-05:00,2026-07-23 10:00:00-05:00,2026-07-23 10:00:00-05:00,28250.0,28356.080185089126,28037.83962982175,106.08018508912647,-1,2,1.2749789217125294,0.5750367040625826,2026-07-23 11:00:00-05:00,28298.75,-0.459558021689359,0.006834452630252006,-0.466392474319611,TIME,False
P0.10_W1,122,Long,75.0,2026-07-23 23:55:00-05:00,2026-07-23 23:55:00-05:00,2026-07-24 00:00:00-05:00,2026-07-24 00:05:00-05:00,2026-07-24 00:10:00-05:00,2026-07-24 00:10:00-05:00,28275.5,28234.063722277882,28358.372555444235,41.43627772211805,-1,0,0.3318348258067703,1.188572012435159,2026-07-24 00:55:00-05:00,28234.063722277882,-1.0,0.017496745360720614,-1.0174967453607207,STOP,False
P0.10_W1,137,Long,90.0,2026-07-28 18:40:00-05:00,2026-07-28 18:40:00-05:00,2026-07-28 18:45:00-05:00,2026-07-28 18:50:00-05:00,2026-07-28 18:55:00-05:00,2026-07-28 18:55:00-05:00,27784.75,27705.894995978244,27942.460008043516,78.8550040217576,-1,0,0.9606238810044209,1.0715870355758887,2026-07-28 19:30:00-05:00,27705.894995978244,-1.0,0.009194089950207329,-1.0091940899502074,STOP,False
