variant,penetration_atr,reclaim_window_bars,candidate_id,current_result,reclaim_gate_result,reclaim_result,reclaim_entry_timestamp,gross_R,net_R_after_14.50_USD,trade_MFE_R,trade_MAE_R,current_diagnostic_MFE_ATR,current_diagnostic_MAE_ATR
P0.30_W1,0.3,1,252,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.432152039613858,1.6147754540612629
P0.30_W2,0.3,2,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.30_W2,0.3,2,84,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.30_W2,0.3,2,86,NO_ENTRY,ENTRY,ENTRY,2026-07-16 14:10:00-05:00,0.2632473000270853,0.251318906744608,1.7316736454906705,0.8966861157172593,2.5296509848498596,1.3332748720149847
P0.30_W2,0.3,2,117,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.30_W2,0.3,2,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.30_W2,0.3,2,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
P0.30_W2,0.3,2,149,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.080220178980585,2.4208410270007983
P0.30_W2,0.3,2,195,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.8720801946496235,0.9382128635855436
P0.30_W2,0.3,2,221,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.3619981896563942,3.1258974844572984
P0.30_W2,0.3,2,228,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.764279982511012,1.541994209703306
P0.30_W2,0.3,2,250,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.042448330600813,1.0186768964065225
P0.30_W2,0.3,2,252,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.432152039613858,1.6147754540612629
P0.30_W3,0.3,3,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.30_W3,0.3,3,84,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.30_W3,0.3,3,86,NO_ENTRY,ENTRY,ENTRY,2026-07-16 14:10:00-05:00,0.2632473000270853,0.251318906744608,1.7316736454906705,0.8966861157172593,2.5296509848498596,1.3332748720149847
P0.30_W3,0.3,3,117,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.30_W3,0.3,3,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.30_W3,0.3,3,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
P0.30_W3,0.3,3,149,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.080220178980585,2.4208410270007983
P0.30_W3,0.3,3,195,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.8720801946496235,0.9382128635855436
P0.30_W3,0.3,3,221,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.3619981896563942,3.1258974844572984
P0.30_W3,0.3,3,228,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.764279982511012,1.541994209703306
P0.30_W3,0.3,3,250,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.042448330600813,1.0186768964065225
P0.30_W3,0.3,3,252,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.432152039613858,1.6147754540612629
P0.30_W4,0.3,4,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.30_W4,0.3,4,84,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.30_W4,0.3,4,86,NO_ENTRY,ENTRY,ENTRY,2026-07-16 14:10:00-05:00,0.2632473000270853,0.251318906744608,1.7316736454906705,0.8966861157172593,2.5296509848498596,1.3332748720149847
P0.30_W4,0.3,4,117,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.30_W4,0.3,4,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.30_W4,0.3,4,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
P0.30_W4,0.3,4,149,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.080220178980585,2.4208410270007983
P0.30_W4,0.3,4,195,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.8720801946496235,0.9382128635855436
P0.30_W4,0.3,4,221,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.3619981896563942,3.1258974844572984
P0.30_W4,0.3,4,228,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.764279982511012,1.541994209703306
P0.30_W4,0.3,4,250,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.042448330600813,1.0186768964065225
P0.30_W4,0.3,4,252,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.432152039613858,1.6147754540612629
P0.40_W1,0.4,1,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.40_W1,0.4,1,84,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.40_W1,0.4,1,86,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,2.5296509848498596,1.3332748720149847
P0.40_W1,0.4,1,117,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.40_W1,0.4,1,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.40_W1,0.4,1,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
P0.40_W1,0.4,1,149,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,2.080220178980585,2.4208410270007983
P0.40_W1,0.4,1,195,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.8720801946496235,0.9382128635855436
P0.40_W1,0.4,1,221,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,1.3619981896563942,3.1258974844572984
P0.40_W1,0.4,1,228,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.764279982511012,1.541994209703306
P0.40_W1,0.4,1,250,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,3.042448330600813,1.0186768964065225
P0.40_W1,0.4,1,252,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.432152039613858,1.6147754540612629
P0.40_W2,0.4,2,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.40_W2,0.4,2,84,NO_ENTRY,CONFIRMATION_INVALID,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.40_W2,0.4,2,86,NO_ENTRY,ENTRY,ENTRY,2026-07-16 14:10:00-05:00,0.2632473000270853,0.251318906744608,1.7316736454906705,0.8966861157172593,2.5296509848498596,1.3332748720149847
P0.40_W2,0.4,2,117,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.40_W2,0.4,2,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.40_W2,0.4,2,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
P0.40_W2,0.4,2,149,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,2.080220178980585,2.4208410270007983
P0.40_W2,0.4,2,195,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.8720801946496235,0.9382128635855436
P0.40_W2,0.4,2,221,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.3619981896563942,3.1258974844572984
P0.40_W2,0.4,2,228,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.764279982511012,1.541994209703306
P0.40_W2,0.4,2,250,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.042448330600813,1.0186768964065225
P0.40_W2,0.4,2,252,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.432152039613858,1.6147754540612629
P0.40_W3,0.4,3,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.40_W3,0.4,3,84,NO_ENTRY,CONFIRMATION_INVALID,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.40_W3,0.4,3,86,NO_ENTRY,ENTRY,ENTRY,2026-07-16 14:10:00-05:00,0.2632473000270853,0.251318906744608,1.7316736454906705,0.8966861157172593,2.5296509848498596,1.3332748720149847
P0.40_W3,0.4,3,117,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.40_W3,0.4,3,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.40_W3,0.4,3,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
P0.40_W3,0.4,3,149,NO_ENTRY,ENTRY,ENTRY,2026-07-30 02:55:00-05:00,-1.0,-1.0121943270399356,0.9713412228362467,1.0218005071394283,2.080220178980585,2.4208410270007983
P0.40_W3,0.4,3,195,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.8720801946496235,0.9382128635855436
P0.40_W3,0.4,3,221,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.3619981896563942,3.1258974844572984
