model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,candidate_id,risk_points,mfe_R,mae_R,gross_result_R,cost_R,net_result_R,variant
Confirm,Short,2026-08-05 09:30:00-05:00,2026-08-05 09:30:00-05:00,2026-08-05 09:35:00-05:00,2026-08-05 09:50:00-05:00,2026-08-05 09:50:00-05:00,2026-08-05 10:50:00-05:00,29504.25,29599.32749543044,29314.09500913912,29460.25,0.46278038562965074,85.0,1,2,TIME,173,95.07749543043974,0.6152875581666911,0.723094352546325,0.46278038562965074,0.007625358626852155,0.4551550270027986,CURRENT
Confirm,Short,2026-08-05 10:55:00-05:00,2026-08-05 10:55:00-05:00,2026-08-05 11:00:00-05:00,2026-08-05 11:05:00-05:00,2026-08-05 11:05:00-05:00,2026-08-05 11:25:00-05:00,29403.25,29485.59563934338,29238.558721313242,29485.59563934338,-1.0,75.0,0,3,STOP,174,82.34563934338075,0.23073474383713422,1.3874444464943465,-1.0,0.008804352067469596,-1.0088043520674697,CURRENT
Confirm,Short,2026-08-07 13:10:00-05:00,2026-08-07 13:10:00-05:00,2026-08-07 13:15:00-05:00,2026-08-07 13:20:00-05:00,2026-08-07 13:20:00-05:00,2026-08-07 14:00:00-05:00,29400.5,29443.644850484317,29314.210299031365,29443.644850484317,-1.0,75.0,1,4,STOP,184,43.14485048431743,0.9676705222370758,1.2400089326870312,-1.0,0.01680385936818874,-1.0168038593681887,CURRENT
Confirm,Long,2026-08-07 14:05:00-05:00,2026-08-07 14:05:00-05:00,2026-08-07 14:30:00-05:00,2026-08-07 14:35:00-05:00,2026-08-07 14:35:00-05:00,2026-08-07 15:35:00-05:00,29477.25,29434.473634853948,29562.802730292104,29502.25,0.5844348839514956,75.0,1,5,TIME,185,42.77636514605183,1.5253750471134278,0.5318357443958694,0.5844348839514956,0.01694861163459364,0.567486272316902,CURRENT
Confirm,Long,2026-08-10 00:05:00-05:00,2026-08-10 00:05:00-05:00,2026-08-10 00:40:00-05:00,2026-08-10 00:50:00-05:00,2026-08-10 00:50:00-05:00,2026-08-10 01:50:00-05:00,29606.75,29585.770161377543,29648.709677244915,29596.75,-0.47664808962331123,90.0,1,0,TIME,189,20.979838622457464,1.823178942809218,0.8341341568408187,-0.47664808962331123,0.03455698649769106,-0.5112050761210023,CURRENT
Confirm,Long,2026-08-11 19:15:00-05:00,2026-08-11 19:15:00-05:00,2026-08-11 19:20:00-05:00,2026-08-11 19:30:00-05:00,2026-08-11 19:30:00-05:00,2026-08-11 20:20:00-05:00,29349.75,29324.259972417276,29400.730055165448,29324.259972417276,-1.0,90.0,-1,0,STOP,202,25.490027582723997,0.529618885510728,1.0984687995778062,-1.0,0.02844249570335391,-1.028442495703354,CURRENT
Confirm,Long,2026-08-11 23:45:00-05:00,2026-08-11 23:45:00-05:00,2026-08-11 23:50:00-05:00,2026-08-11 23:55:00-05:00,2026-08-11 23:55:00-05:00,2026-08-12 00:05:00-05:00,29395.25,29379.55076814808,29426.648463703837,29379.55076814808,-1.0,90.0,-1,0,STOP,203,15.69923185191874,0.09554607602133552,1.5605859083484803,-1.0,0.046180603410312174,-1.0461806034103123,CURRENT
Confirm,Long,2026-08-12 07:30:00-05:00,2026-08-12 08:15:00-05:00,2026-08-12 08:20:00-05:00,2026-08-12 08:25:00-05:00,2026-08-12 08:25:00-05:00,2026-08-12 08:30:00-05:00,29673.5,29630.515884063538,29759.46823187292,29630.515884063538,-1.0,75.0,1,1,STOP,208,42.98411593646233,0.24427628139475394,2.640510279838531,-1.0,0.016866695620113965,-1.016866695620114,CURRENT
Confirm,Short,2026-08-12 10:30:00-05:00,2026-08-12 10:30:00-05:00,2026-08-12 10:35:00-05:00,2026-08-12 10:40:00-05:00,2026-08-12 10:40:00-05:00,2026-08-12 11:40:00-05:00,29510.5,29574.67105033625,29382.157899327503,29574.67105033625,-1.0,75.0,1,3,STOP,210,64.1710503362483,0.1441459965440982,1.036292840019733,-1.0,0.011297929458861752,-1.0112979294588618,CURRENT
Confirm,Short,2026-08-12 13:55:00-05:00,2026-08-12 13:55:00-05:00,2026-08-12 14:00:00-05:00,2026-08-12 14:10:00-05:00,2026-08-12 14:10:00-05:00,2026-08-12 14:55:00-05:00,29566.5,29593.366659352574,29512.766681294852,29512.766681294852,2.0,100.0,1,5,TARGET,211,26.86665935257406,2.177419947612325,0.5303971667260793,2.0,0.026985119008870698,1.9730148809911292,CURRENT
Confirm,Long,2026-08-12 20:50:00-05:00,2026-08-12 20:50:00-05:00,2026-08-12 20:55:00-05:00,2026-08-12 21:00:00-05:00,2026-08-12 21:00:00-05:00,2026-08-12 21:30:00-05:00,29543.0,29516.723314724288,29595.553370551428,29516.723314724288,-1.0,90.0,1,0,STOP,213,26.276685275712225,0.39959378018296865,1.0370410009510378,-1.0,0.027590999107871644,-1.0275909991078715,CURRENT
Confirm,Short,2026-08-13 07:00:00-05:00,2026-08-13 07:00:00-05:00,2026-08-13 07:25:00-05:00,2026-08-13 07:30:00-05:00,2026-08-13 07:30:00-05:00,2026-08-13 07:55:00-05:00,29529.25,29561.12374123596,29465.50251752808,29561.12374123596,-1.0,90.0,1,1,STOP,217,31.873741235958732,0.3137378799046779,1.0745522386735218,-1.0,0.022745996293089148,-1.0227459962930892,CURRENT
Confirm,Long,2026-08-14 00:40:00-05:00,2026-08-14 00:40:00-05:00,2026-08-14 00:45:00-05:00,2026-08-14 00:50:00-05:00,2026-08-14 00:50:00-05:00,2026-08-14 01:00:00-05:00,29860.25,29843.432529695572,29893.884940608856,29843.432529695572,-1.0,75.0,1,0,STOP,222,16.817470304427843,0.23784790028419714,1.6946662895249045,-1.0,0.04310993192651073,-1.0431099319265107,CURRENT
Confirm,Short,2026-08-14 09:20:00-05:00,2026-08-14 09:20:00-05:00,2026-08-14 09:25:00-05:00,2026-08-14 09:30:00-05:00,2026-08-14 09:30:00-05:00,2026-08-14 10:25:00-05:00,29821.0,29873.597808354014,29715.804383291972,29715.804383291972,2.0,75.0,1,2,TARGET,230,52.59780835401398,2.001033945969878,0.7177105126875334,2.0,0.013783844283402959,1.986216155716597,CURRENT
Confirm,Long,2026-08-16 22:35:00-05:00,2026-08-16 22:35:00-05:00,2026-08-16 22:40:00-05:00,2026-08-16 22:45:00-05:00,2026-08-16 22:45:00-05:00,2026-08-16 23:45:00-05:00,29925.25,29911.145215710916,29953.459568578164,29922.25,-0.2126937880448159,75.0,1,0,TIME,236,14.10478428908391,0.8507751521791892,0.6912548111455913,-0.2126937880448159,0.051400998777492685,-0.2640947868223086,CURRENT
Confirm,Long,2026-08-17 00:30:00-05:00,2026-08-17 00:30:00-05:00,2026-08-17 00:35:00-05:00,2026-08-17 00:40:00-05:00,2026-08-17 00:40:00-05:00,2026-08-17 01:00:00-05:00,29945.25,29931.842240011556,29972.065519976888,29972.065519976888,2.0,90.0,1,0,TARGET,237,13.407759988444013,2.162926545895418,0.13052142949368903,2.0,0.05407316364738545,1.9459268363526145,CURRENT
Confirm,Short,2026-08-18 09:50:00-05:00,2026-08-18 09:50:00-05:00,2026-08-18 09:55:00-05:00,2026-08-18 10:05:00-05:00,2026-08-18 10:05:00-05:00,2026-08-18 10:25:00-05:00,29213.0,29281.214271865596,29076.571456268808,29281.214271865596,-1.0,100.0,-1,2,STOP,247,68.21427186559595,0.24554978807078506,1.0151834521732457,-1.0,0.01062827440903398,-1.010628274409034,CURRENT
Confirm,Short,2026-08-18 23:30:00-05:00,2026-08-18 23:30:00-05:00,2026-08-18 23:35:00-05:00,2026-08-18 23:40:00-05:00,2026-08-18 23:40:00-05:00,2026-08-18 23:55:00-05:00,29181.0,29210.568375991617,29121.863248016765,29188.25,-0.24519439288973255,90.0,-1,0,WINDOW_END,256,29.56837599161736,1.183697069122853,0.28746928821555,-0.24519439288973255,0.024519439288973384,-0.2697138321787059,CURRENT
