candidate_id,direction,setup_timestamp,bos_timestamp,bos_level,diagnostic_proxy_timestamp,diagnostic_proxy_close,actual_terminal_timestamp,actual_terminal_close,actual_terminal_state_before,actual_terminal_state_after,actual_terminal_threshold,actual_terminal_reason,reported_rejection_detail,proxy_is_actual_terminal_bar,A_wrong_bar_selected_for_reported_confirmation,B_rejection_reason_is_from_actual_terminal_bar,C_state_was_invalidated_before_displayed_proxy,D_diagnostic_reporting_bug,E_strategy_logic_bug,terminal_vs_proxy_order,classification,diagnostic_MFE_ATR,diagnostic_MAE_ATR
72,Short,2026-07-15 02:00:00-05:00,2026-07-15 02:20:00-05:00,29692.0,2026-07-15 03:00:00-05:00,29613.75,2026-07-15 03:05:00-05:00,29609.5,WAIT_RETEST,IDLE,29694.63944388833,NO_VALID_RETEST,Retest band was not accepted within >8 bars after BOS,False,True,True,False,True,False,TERMINAL_AFTER_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,2.2146054659014753,2.503062480367634
84,Short,2026-07-16 00:35:00-05:00,2026-07-16 00:35:00-05:00,29373.5,2026-07-16 00:45:00-05:00,29374.0,2026-07-16 00:40:00-05:00,29384.75,WAIT_RETEST,IDLE,29376.43268038187,RETEST_STRUCTURE_FAILED,"Retest wick touched band, but close invalidated beyond 29376.43268038187",False,True,True,True,True,False,TERMINAL_BEFORE_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,1.5622747770249552,2.0024737473469036
86,Short,2026-07-16 13:50:00-05:00,2026-07-16 13:50:00-05:00,28901.25,2026-07-16 14:05:00-05:00,28867.0,2026-07-16 14:00:00-05:00,28910.5,WAIT_CONFIRM,IDLE,28905.2771214044,CONFIRMATION_STRUCTURE_FAILED,Confirmation close invalidated beyond 28905.2771214044,False,True,True,True,True,False,TERMINAL_BEFORE_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,2.5296509848498596,1.3332748720149847
117,Short,2026-07-22 14:25:00-05:00,2026-07-22 14:35:00-05:00,28890.0,2026-07-22 14:50:00-05:00,28886.0,2026-07-22 14:40:00-05:00,28894.5,WAIT_RETEST,IDLE,28892.729173183485,RETEST_STRUCTURE_FAILED,"Retest wick touched band, but close invalidated beyond 28892.729173183485",False,True,True,True,True,False,TERMINAL_BEFORE_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,3.003497292376705,1.9934716542323263
133,Short,2026-07-28 08:35:00-05:00,2026-07-28 08:35:00-05:00,27530.5,2026-07-28 08:50:00-05:00,27378.25,2026-07-28 09:20:00-05:00,27359.5,WAIT_RETEST,IDLE,27538.076272904353,NO_VALID_RETEST,Retest band was not accepted within >8 bars after BOS,False,True,True,False,True,False,TERMINAL_AFTER_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,1.463150783529468,1.629238169767948
140,Short,2026-07-29 08:50:00-05:00,2026-07-29 08:50:00-05:00,27526.5,2026-07-29 09:10:00-05:00,27330.25,2026-07-29 09:35:00-05:00,27246.25,WAIT_RETEST,IDLE,27533.654199077733,NO_VALID_RETEST,Retest band was not accepted within >8 bars after BOS,False,True,True,False,True,False,TERMINAL_AFTER_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,1.9819797069099176,1.429036093025629
149,Short,2026-07-30 02:25:00-05:00,2026-07-30 02:25:00-05:00,27103.25,2026-07-30 02:45:00-05:00,27105.25,2026-07-30 02:40:00-05:00,27116.25,WAIT_CONFIRM,IDLE,27107.485921984622,CONFIRMATION_STRUCTURE_FAILED,Confirmation close invalidated beyond 27107.485921984622,False,True,True,True,True,False,TERMINAL_BEFORE_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,2.080220178980585,2.4208410270007983
195,Short,2026-08-11 00:25:00-05:00,2026-08-11 00:25:00-05:00,29497.25,2026-08-11 00:40:00-05:00,29497.75,2026-08-11 00:30:00-05:00,29499.25,WAIT_RETEST,IDLE,29498.538532983675,RETEST_STRUCTURE_FAILED,"Retest wick touched band, but close invalidated beyond 29498.538532983675",False,True,True,True,True,False,TERMINAL_BEFORE_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,2.8720801946496235,0.9382128635855436
221,Short,2026-08-14 00:00:00-05:00,2026-08-14 00:00:00-05:00,29827.0,2026-08-14 00:10:00-05:00,29825.25,2026-08-14 00:20:00-05:00,29832.5,WAIT_CONFIRM,IDLE,29828.12309007823,CONFIRMATION_STRUCTURE_FAILED,Confirmation close invalidated beyond 29828.12309007823,False,True,True,False,True,False,TERMINAL_AFTER_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,1.3619981896563942,3.1258974844572984
228,Short,2026-08-14 08:05:00-05:00,2026-08-14 08:30:00-05:00,29890.75,2026-08-14 08:45:00-05:00,29920.25,2026-08-14 08:35:00-05:00,29903.25,WAIT_RETEST,IDLE,29892.97771923796,RETEST_STRUCTURE_FAILED,"Retest wick touched band, but close invalidated beyond 29892.97771923796",False,True,True,True,True,False,TERMINAL_BEFORE_PROXY,D_DIAGNOSTIC_PROXY_LABEL_BUG,3.764279982511012,1.541994209703306
