year,trades,N,AvgR,PF,TotalR,WinRate,MaxDD
2017,1653,1653,-0.9547073624834717,0.35462936432675396,-1578.1312701851787,0.38596491228070173,1580.934802332972
2018,6854,6854,-0.107881649948007,0.884654464905508,-739.42082874364,0.4410563174788445,1072.5807301389964
2019,6960,6960,-0.12202342142691337,0.8693081943589939,-849.283013131317,0.4353448275862069,877.9965163457985
2020,6881,6881,0.25103241046896546,1.3496949049841718,1727.3540164369515,0.4358378142711815,91.6000583949131
2021,7281,7281,0.2591748314696529,1.356693487517864,1887.051947930543,0.45048757038868287,63.859414376966015
2022,7213,7213,0.3408783536841028,1.509466159387738,2458.7555651234334,0.4389297102453903,23.718754644823775
2023,7086,7086,0.22070420431848342,1.2980273957294548,1563.9099918007735,0.4414338131526955,139.41298105587953
2024,7269,7269,0.29057345441016275,1.41448125241404,2112.178440107473,0.4440775897647544,36.627317060192695
2025,7246,7246,0.37413032337877256,1.5701200511355649,2710.948323202586,0.4454871653325973,38.255004726588595
2026,3510,3510,0.47344796163634584,1.7759922022685604,1661.802345343574,0.4564102564102564,18.230104471918025
