direction,outcome,net_R,location_score,direction_score,reaction_score,15m_state
LONG,WINNER,2.1552016985139284,2,3,2,BULLISH
SHORT,WINNER,2.007878787878614,2,1,2,NEUTRAL
LONG,WINNER,2.052617079889951,2,3,2,BULLISH
SHORT,LOSER,-1.2942028985506626,1,3,2,BEARISH
SHORT,LOSER,-1.3165692007796195,1,4,2,BEARISH
SHORT,LOSER,-1.2602564102564588,0,3,2,BEARISH
LONG,LOSER,-1.2333333333333139,0,4,2,BULLISH
LONG,LOSER,-1.4009876543208724,2,4,1,BULLISH
LONG,LOSER,-1.615151515151922,2,4,2,BULLISH
LONG,LOSER,-1.563888888889117,2,3,2,BULLISH
SHORT,LOSER,-1.652208835341518,2,3,1,BEARISH
LONG,LOSER,-1.582078853046352,1,2,2,TRANSITION
SHORT,LOSER,-1.1816554809843756,1,3,2,BEARISH
SHORT,WINNER,1.9844444444444445,2,4,1,BEARISH
LONG,WINNER,2.083589743589557,1,4,3,BULLISH
SHORT,LOSER,-1.381220657276891,0,2,2,BEARISH
LONG,WINNER,2.143859649122716,2,2,2,BEARISH
LONG,WINNER,2.163768115942029,0,4,2,BULLISH
SHORT,LOSER,-1.326104417670759,1,3,3,BEARISH
LONG,WINNER,2.165843621399217,2,4,2,BULLISH
SHORT,LOSER,-1.2958105646629923,2,1,2,NEUTRAL
LONG,WINNER,2.275380359612779,2,2,1,NEUTRAL
SHORT,WINNER,2.298760842627057,2,3,2,BEARISH
LONG,LOSER,-1.2894830659537142,0,2,2,NEUTRAL
SHORT,LOSER,-1.2517829457364795,2,3,1,BEARISH
LONG,WINNER,2.2482170542635203,1,2,2,BULLISH
SHORT,WINNER,2.2195164075992246,1,3,1,BEARISH
LONG,WINNER,2.2656565656565655,1,3,1,BULLISH
SHORT,LOSER,-1.1116151202749052,1,4,3,BEARISH
SHORT,WINNER,2.400490196078424,0,4,2,BEARISH
SHORT,LOSER,-1.130756843800316,1,2,2,TRANSITION
SHORT,LOSER,-1.1816554809843756,2,2,3,TRANSITION
LONG,WINNER,2.303151515151543,1,3,2,BULLISH
SHORT,LOSER,-1.1686396677050985,0,2,3,NEUTRAL
LONG,WINNER,2.287712418300702,1,2,2,BULLISH
SHORT,LOSER,-1.2218579234972853,2,2,2,BULLISH
LONG,WINNER,2.3552584670231953,0,2,2,NEUTRAL
SHORT,LOSER,-1.2577777777777777,2,2,3,BULLISH
LONG,LOSER,-1.189941520467862,1,3,2,BULLISH
SHORT,LOSER,-1.239528023598779,2,4,2,BEARISH
LONG,LOSER,-1.3111111111111458,2,3,1,BULLISH
SHORT,WINNER,2.1133333333333333,1,3,1,BEARISH
LONG,WINNER,2.1777777777777776,2,3,2,BULLISH
LONG,WINNER,2.21657940663182,1,2,2,BULLISH
LONG,LOSER,-1.3682539682539683,3,4,1,BULLISH
LONG,LOSER,-1.4164102564104428,1,4,2,BULLISH
SHORT,WINNER,2.146187363834378,1,3,2,BEARISH
LONG,LOSER,-1.2864197530864199,2,4,1,BULLISH
SHORT,WINNER,2.2150877192982747,0,4,2,BEARISH
LONG,WINNER,2.2482170542635203,2,2,1,BULLISH
SHORT,WINNER,2.298760842627057,2,2,2,BULLISH
LONG,LOSER,-1.1828828828828588,2,2,1,BULLISH
SHORT,WINNER,2.2482170542635203,1,4,2,BEARISH
LONG,WINNER,2.333435897435927,2,3,2,BULLISH
LONG,LOSER,-1.2449472096531564,3,3,0,BULLISH
SHORT,LOSER,-1.2182795698924218,1,4,3,BEARISH
SHORT,LOSER,-1.2449472096531564,1,3,3,BEARISH
SHORT,LOSER,-1.1912838633686298,1,4,1,BEARISH
SHORT,WINNER,2.2346405228758424,1,4,1,BEARISH
SHORT,LOSER,-1.0868913857677902,2,2,2,NEUTRAL
LONG,WINNER,2.371111111111111,0,4,2,BULLISH
LONG,WINNER,2.345773979107321,0,4,2,BULLISH
SHORT,LOSER,-1.2019900497512146,1,3,2,BEARISH
LONG,WINNER,2.2482170542635203,2,4,2,BULLISH
SHORT,WINNER,2.1342342342342824,2,1,1,NEUTRAL
LONG,WINNER,2.337924151696588,1,4,2,BULLISH
LONG,WINNER,2.277229080932749,1,4,2,BULLISH
LONG,LOSER,-1.2590111642743462,1,4,2,BULLISH
SHORT,WINNER,2.266666666666686,1,1,2,NEUTRAL
LONG,WINNER,2.3219298245614377,1,2,2,NEUTRAL
LONG,LOSER,-1.1546666666666667,1,4,2,BULLISH
SHORT,LOSER,-1.151210428305392,1,4,1,BEARISH
LONG,LOSER,-1.150370370370346,1,1,3,BEARISH
SHORT,WINNER,2.2781420765027147,1,3,3,BEARISH
LONG,LOSER,-1.1713080168776266,1,1,2,TRANSITION
SHORT,WINNER,2.3286919831223734,2,4,1,BEARISH
LONG,WINNER,2.3775263951734593,2,4,3,BULLISH
LONG,WINNER,2.4276292335115848,2,3,0,BULLISH
LONG,LOSER,-1.0978902953586498,0,3,2,BULLISH
LONG,LOSER,-1.1424561403508626,1,3,3,BULLISH
SHORT,LOSER,-1.1006195786864967,1,2,3,BULLISH
LONG,WINNER,2.369871794871813,1,4,2,BULLISH
SHORT,LOSER,-1.148310502283097,1,3,2,BEARISH
LONG,LOSER,-1.131391585760524,1,4,2,BULLISH
SHORT,LOSER,-1.0747697974217252,0,3,2,BEARISH
SHORT,LOSER,-1.1780701754385623,2,2,2,TRANSITION
LONG,LOSER,-1.2363901018923253,1,3,2,BULLISH
SHORT,LOSER,-1.3129094412332107,2,4,1,BEARISH
LONG,WINNER,2.3504604051565217,1,2,1,TRANSITION
SHORT,WINNER,2.334959349593486,3,2,1,BULLISH
LONG,LOSER,-1.2082051282051127,0,3,2,BULLISH
LONG,LOSER,-1.2879432624113774,2,2,1,TRANSITION
SHORT,LOSER,-1.3951338199515062,2,3,1,BEARISH
LONG,WINNER,2.260471976401221,2,1,3,NEUTRAL
SHORT,LOSER,-1.1224736048265407,2,4,1,BEARISH
SHORT,LOSER,-1.1804444444444562,1,4,1,BEARISH
LONG,LOSER,-1.130441767068261,1,2,1,TRANSITION
SHORT,WINNER,2.3604810996563783,2,3,1,BEARISH
LONG,WINNER,2.2646376811594005,2,1,1,NEUTRAL
SHORT,LOSER,-1.2236914600551503,0,3,2,BEARISH
LONG,WINNER,2.3158730158730156,0,4,3,BULLISH
LONG,LOSER,-1.0640631163708116,3,2,2,NEUTRAL
LONG,LOSER,-1.0931726907630521,1,1,3,TRANSITION
SHORT,LOSER,-1.074873213462421,1,2,1,NEUTRAL
LONG,LOSER,-1.1043031470777096,1,3,2,BULLISH
SHORT,LOSER,-1.1479052823314961,2,3,2,BEARISH
LONG,WINNER,2.4253333333333273,2,4,1,BULLISH
LONG,WINNER,2.4183509301156314,0,4,2,BULLISH
LONG,WINNER,2.4577743109724395,1,4,2,BULLISH
LONG,LOSER,-1.0875943905070065,1,4,3,BULLISH
SHORT,WINNER,2.4358609794628707,1,4,1,BEARISH
LONG,WINNER,2.3066666666666666,2,4,1,BULLISH
LONG,LOSER,-1.2849122807017253,2,2,3,TRANSITION
LONG,LOSER,-1.324151696606824,1,2,1,NEUTRAL
SHORT,LOSER,-1.23233190271813,1,1,2,NEUTRAL
SHORT,WINNER,2.083589743589557,1,4,1,BEARISH
LONG,WINNER,2.232013201320106,2,1,2,TRANSITION
SHORT,WINNER,2.252815829528202,2,2,2,BEARISH
LONG,LOSER,-1.1713080168776266,2,4,2,BULLISH
SHORT,LOSER,-1.1792494481236089,0,3,2,BEARISH
LONG,LOSER,-1.196848484848457,1,3,2,BULLISH
SHORT,LOSER,-1.2449472096531564,2,0,3,BULLISH
LONG,LOSER,-1.2019900497512146,2,1,2,BULLISH
SHORT,LOSER,-1.2416666666666667,2,2,1,TRANSITION
LONG,WINNER,2.21657940663182,2,3,3,BULLISH
SHORT,LOSER,-1.1645390070921986,1,2,3,BEARISH
LONG,WINNER,2.300246002459996,2,3,3,BULLISH
SHORT,WINNER,2.199259259259194,1,2,1,BEARISH
LONG,LOSER,-1.2819444444443588,0,2,2,NEUTRAL
SHORT,WINNER,2.2583333333333333,1,3,2,BEARISH
SHORT,LOSER,-1.2050505050505351,1,4,2,BEARISH
LONG,LOSER,-1.1111567419575765,2,4,1,BULLISH
LONG,LOSER,-1.1033078880407163,2,4,1,BULLISH
LONG,WINNER,2.353693693693686,2,3,1,BULLISH
SHORT,WINNER,2.3528985507246145,1,2,2,BEARISH
LONG,LOSER,-1.1524882629108149,1,2,2,BEARISH
LONG,WINNER,2.2516819571865665,0,4,2,BULLISH
SHORT,LOSER,-1.3007407407408056,1,2,1,NEUTRAL
LONG,LOSER,-1.2804835924007754,1,3,2,BULLISH
LONG,LOSER,-1.2653594771241576,2,2,2,NEUTRAL
SHORT,WINNER,2.2843293492695715,1,3,2,BEARISH
LONG,WINNER,2.294949494949465,2,2,1,NEUTRAL
SHORT,WINNER,2.2346405228758424,1,2,2,BEARISH
SHORT,LOSER,-1.2910394265233887,2,4,1,BEARISH
SHORT,LOSER,-1.2942028985506626,2,2,2,TRANSITION
LONG,LOSER,-1.1912838633686298,1,3,2,BULLISH
LONG,LOSER,-1.1847554038680441,2,4,3,BULLISH
SHORT,WINNER,2.237216828479039,2,3,2,BEARISH
LONG,WINNER,2.1366890380314145,2,3,1,BULLISH
SHORT,WINNER,2.052617079889951,3,1,0,NEUTRAL
SHORT,LOSER,-1.6601626016263287,2,1,2,TRANSITION
LONG,LOSER,-1.9666666666666668,2,2,2,NEUTRAL
LONG,WINNER,2.1214452214453754,1,4,1,BULLISH
SHORT,LOSER,-1.2565560821484756,2,1,2,BULLISH
LONG,LOSER,-1.3922705314010764,2,4,0,BULLISH
SHORT,LOSER,-1.3894484412470567,1,2,1,BEARISH
LONG,WINNER,2.3444444444444272,2,4,1,BULLISH
LONG,LOSER,-1.2894830659537142,0,4,2,BULLISH
SHORT,LOSER,-1.2553459119496388,1,1,2,NEUTRAL
SHORT,LOSER,-1.326104417670759,2,1,1,NEUTRAL
SHORT,LOSER,-1.3515151515151516,0,3,2,BEARISH
SHORT,WINNER,2.2009208103130433,1,4,2,BEARISH
LONG,LOSER,-1.1406060606060606,2,1,2,NEUTRAL
SHORT,WINNER,2.357167985927888,1,4,1,BEARISH
SHORT,LOSER,-1.1520599250936412,2,1,1,NEUTRAL
LONG,LOSER,-1.146306306306314,1,3,2,BULLISH
SHORT,LOSER,-1.23233190271813,0,2,3,BULLISH
LONG,LOSER,-1.2590111642743462,1,3,1,BULLISH
LONG,LOSER,-1.167595459236316,2,2,1,BEARISH
LONG,WINNER,2.369871794871813,0,4,2,BULLISH
LONG,LOSER,-1.6444444444444444,0,4,2,BULLISH
SHORT,WINNER,2.139111111111251,1,3,2,BEARISH
LONG,WINNER,1.8705426356591988,1,3,3,BULLISH
LONG,LOSER,-1.2602564102564588,0,3,2,BULLISH
LONG,WINNER,2.270621468926516,0,4,2,BULLISH
SHORT,WINNER,2.24938271604936,1,3,2,BEARISH
SHORT,LOSER,-1.3470085470084607,1,3,1,BEARISH
LONG,LOSER,-1.3222222222222222,1,2,2,TRANSITION
SHORT,WINNER,2.0033639143728235,1,2,2,BULLISH
LONG,LOSER,-1.4132315521629724,0,2,2,BULLISH
SHORT,WINNER,2.066933333333266,0,4,2,BEARISH
LONG,WINNER,2.2397435897435414,2,4,2,BULLISH
SHORT,LOSER,-1.2879432624113774,0,2,2,NEUTRAL
SHORT,WINNER,2.2089605734766113,1,3,2,BEARISH
LONG,LOSER,-1.2834205933681797,2,1,2,BEARISH
LONG,LOSER,-1.4196382428938674,1,4,2,BULLISH
SHORT,WINNER,2.1573839662445993,1,2,2,NEUTRAL
LONG,LOSER,-1.2734006734006198,1,3,2,BULLISH
SHORT,WINNER,2.2073873873874796,2,2,1,NEUTRAL
LONG,WINNER,2.2572496263079014,1,2,1,NEUTRAL
SHORT,LOSER,-1.1074074074074074,1,2,3,BEARISH
LONG,LOSER,-1.1451295799821117,1,2,3,NEUTRAL
SHORT,LOSER,-1.1665641025640727,2,2,2,BEARISH
SHORT,LOSER,-1.1961352657004418,2,4,2,BEARISH
SHORT,WINNER,2.218055555555641,2,2,3,NEUTRAL
SHORT,LOSER,-1.2517829457364795,1,1,2,NEUTRAL
LONG,WINNER,2.1777777777777776,1,4,1,BULLISH
SHORT,LOSER,-1.1373942470389036,1,3,2,BEARISH
SHORT,LOSER,-1.1961352657004418,0,4,3,BEARISH
SHORT,LOSER,-1.4790560471975578,1,2,2,NEUTRAL
LONG,WINNER,1.9531986531987604,2,2,3,BULLISH
SHORT,LOSER,-1.3633109619685855,1,2,1,TRANSITION
LONG,LOSER,-1.2720268006699371,2,1,1,TRANSITION
SHORT,LOSER,-1.2313390313389738,1,4,2,BEARISH
LONG,LOSER,-1.220054200541988,1,2,2,TRANSITION
SHORT,WINNER,2.218055555555641,1,3,3,BEARISH
LONG,LOSER,-1.4401084010842191,0,2,2,NEUTRAL
LONG,WINNER,2.0373219373217837,1,4,1,BULLISH
SHORT,LOSER,-1.3682539682539683,2,2,2,BEARISH
SHORT,LOSER,-1.4437158469943239,0,4,2,BEARISH
LONG,LOSER,-1.220054200541988,1,3,2,BULLISH
SHORT,WINNER,2.21657940663182,1,3,3,BEARISH
LONG,WINNER,2.1529914529915395,0,1,3,TRANSITION
SHORT,WINNER,2.0867684478370276,1,2,2,TRANSITION
SHORT,LOSER,-1.474853801169429,0,4,2,BEARISH
LONG,LOSER,-1.1740621650589171,1,4,2,BULLISH
LONG,WINNER,2.317732884399587,2,0,3,BEARISH
LONG,LOSER,-1.145519713261641,1,3,2,BULLISH
SHORT,WINNER,2.3717219589257623,1,3,2,BEARISH
SHORT,WINNER,2.3669942669942734,1,4,3,BEARISH
SHORT,WINNER,2.3421768707482995,2,3,1,BEARISH
LONG,LOSER,-1.1866666666666292,1,3,2,BULLISH
SHORT,WINNER,2.2656565656565655,0,2,2,TRANSITION
SHORT,LOSER,-1.1031111111111112,1,4,1,BEARISH
LONG,LOSER,-1.3147286821706492,1,4,1,BULLISH
SHORT,WINNER,2.139111111111251,0,3,2,BEARISH
LONG,LOSER,-1.381220657276891,2,1,2,BEARISH
SHORT,LOSER,-1.4296296296296296,1,4,2,BEARISH
SHORT,WINNER,2.025146198830571,1,4,2,BEARISH
LONG,LOSER,-1.2602564102564588,3,1,2,BEARISH
SHORT,WINNER,2.2397435897435414,2,2,3,NEUTRAL
LONG,LOSER,-1.2182795698924218,2,2,2,NEUTRAL
LONG,LOSER,-1.4262467191600399,0,4,2,BULLISH
SHORT,WINNER,2.1133333333333333,1,1,2,NEUTRAL
LONG,WINNER,2.0373219373217837,3,4,0,BULLISH
LONG,WINNER,2.029275362319079,2,4,2,BULLISH
SHORT,LOSER,-1.470724637680921,1,3,3,BEARISH
LONG,WINNER,2.2980099502487854,2,4,1,BULLISH
LONG,WINNER,2.1975791433891008,2,3,3,BULLISH
SHORT,LOSER,-1.334156378600783,1,3,2,BEARISH
LONG,WINNER,2.279945799458012,1,4,2,BULLISH
LONG,WINNER,2.1529914529915395,1,2,2,BEARISH
SHORT,WINNER,2.116075650118256,2,4,2,BEARISH
LONG,LOSER,-1.108050565535608,2,1,2,NEUTRAL
SHORT,LOSER,-1.0752897542883675,1,2,2,TRANSITION
LONG,WINNER,2.4080928126768564,2,1,1,NEUTRAL
LONG,LOSER,-1.0619374523264697,0,4,2,BULLISH
SHORT,LOSER,-1.088165038002177,1,2,1,TRANSITION
LONG,LOSER,-1.1051132686084262,0,4,3,BULLISH
LONG,LOSER,-1.200493827160537,0,4,2,BULLISH
SHORT,LOSER,-1.162562562562591,2,2,3,BEARISH
LONG,WINNER,2.2834666666666332,0,4,2,BULLISH
LONG,WINNER,2.2957232704402366,2,4,1,BULLISH
SHORT,LOSER,-1.1424561403508626,2,2,3,BULLISH
LONG,LOSER,-1.149127640036739,1,1,2,TRANSITION
SHORT,WINNER,2.360839760068531,2,1,2,NEUTRAL
LONG,WINNER,2.3626057529610964,0,3,2,BULLISH
LONG,WINNER,2.2009208103130433,1,2,1,NEUTRAL
SHORT,LOSER,-1.2353623188405995,1,4,1,BEARISH
LONG,WINNER,2.2089605734766113,1,4,1,BULLISH
SHORT,LOSER,-1.3492473118279134,1,2,2,BULLISH
SHORT,LOSER,-1.4262467191600399,1,3,2,BEARISH
LONG,LOSER,-1.5468013468012396,2,2,1,BULLISH
SHORT,LOSER,-1.433066666666734,1,4,2,BEARISH
LONG,WINNER,2.1019607843138957,2,4,2,BULLISH
SHORT,WINNER,2.110551558752943,0,4,2,BEARISH
LONG,WINNER,2.143859649122716,1,3,1,BULLISH
SHORT,LOSER,-1.2958105646629923,1,3,2,BEARISH
LONG,LOSER,-1.3041198501871665,0,2,2,TRANSITION
SHORT,WINNER,2.2346405228758424,1,3,1,BEARISH
SHORT,WINNER,2.1678936605317762,2,4,1,BEARISH
LONG,WINNER,2.1975791433891008,2,3,2,BULLISH
SHORT,LOSER,-1.3165692007796195,1,4,1,BEARISH
LONG,LOSER,-1.0818961169944457,3,1,0,NEUTRAL
SHORT,WINNER,2.4273378076062695,1,4,2,BEARISH
LONG,WINNER,2.2306799336649563,1,3,2,BULLISH
LONG,LOSER,-1.2974358974358975,1,4,3,BULLISH
SHORT,LOSER,-1.2264993026499118,1,3,1,BEARISH
LONG,WINNER,2.2516819571865665,1,4,1,BULLISH
LONG,LOSER,-1.237426900584856,2,4,2,BULLISH
SHORT,LOSER,-1.2942028985506626,1,3,2,BEARISH
LONG,LOSER,-1.5205128205129177,2,1,1,TRANSITION
SHORT,LOSER,-1.470724637680921,1,2,2,NEUTRAL
LONG,LOSER,-1.220952380952381,2,4,3,BULLISH
SHORT,LOSER,-1.2679867986798938,2,0,3,NEUTRAL
LONG,LOSER,-1.334156378600783,1,3,2,BULLISH
LONG,WINNER,2.185271317829351,2,3,1,BULLISH
LONG,LOSER,-1.4132315521629724,1,4,1,BULLISH
SHORT,LOSER,-1.615151515151922,1,1,3,TRANSITION
LONG,WINNER,2.029275362319079,2,2,2,TRANSITION
SHORT,LOSER,-1.5523809523809524,1,1,2,TRANSITION
LONG,WINNER,2.083589743589557,2,4,2,BULLISH
LONG,LOSER,-1.2416666666666667,2,3,1,BULLISH
SHORT,WINNER,2.27630853994485,2,4,2,BEARISH
LONG,WINNER,2.21358024691358,1,3,2,BULLISH
LONG,LOSER,-1.326104417670759,2,2,2,NEUTRAL
SHORT,WINNER,2.185271317829351,2,2,2,BEARISH
LONG,WINNER,2.2615271659325136,2,2,2,NEUTRAL
SHORT,LOSER,-1.0982456140350947,2,1,1,NEUTRAL
LONG,WINNER,2.368288726682875,2,3,2,BULLISH
LONG,WINNER,2.366337448559664,3,4,1,BULLISH
LONG,WINNER,2.3052757793764718,1,2,3,NEUTRAL
SHORT,WINNER,2.3512820512820514,1,4,2,BEARISH
LONG,LOSER,-1.3426160337554005,0,3,2,BULLISH
SHORT,WINNER,1.9893081761007223,0,3,2,BEARISH
LONG,LOSER,-1.474853801169429,2,1,2,NEUTRAL
LONG,LOSER,-1.3470085470084607,1,3,2,BULLISH
SHORT,LOSER,-1.4009876543208724,1,1,3,NEUTRAL
LONG,WINNER,2.1941619585688055,2,3,1,BULLISH
SHORT,WINNER,2.0562841530056764,1,3,2,BEARISH
LONG,WINNER,2.0703703703703704,2,1,3,BEARISH
SHORT,LOSER,-1.685232067510212,1,3,2,BEARISH
SHORT,LOSER,-1.4262467191600399,1,4,2,BEARISH
LONG,WINNER,1.930175438596142,1,3,2,BULLISH
LONG,LOSER,-1.535973597359427,0,3,2,BULLISH
SHORT,WINNER,1.8705426356591988,1,2,1,BEARISH
LONG,LOSER,-1.2834205933681797,2,3,3,BULLISH
LONG,WINNER,2.1484848484848484,2,4,1,BULLISH
SHORT,LOSER,-1.3492473118279134,2,2,2,NEUTRAL
LONG,LOSER,-1.3404612159329972,0,3,2,BULLISH
SHORT,LOSER,-1.3075757575757236,2,4,2,BEARISH
LONG,LOSER,-1.2602564102564588,0,2,3,NEUTRAL
SHORT,LOSER,-1.2615136876007176,0,4,2,BEARISH
SHORT,LOSER,-1.225555555555519,1,2,1,NEUTRAL
LONG,LOSER,-1.212287581699298,2,2,2,BULLISH
LONG,WINNER,2.389972899729006,3,1,2,BEARISH
LONG,LOSER,-1.2405925925925718,2,4,2,BULLISH
SHORT,LOSER,-1.1751887810140127,1,2,1,NEUTRAL
LONG,WINNER,2.4263492063492063,0,4,2,BULLISH
SHORT,WINNER,2.4324178110695014,1,2,1,NEUTRAL
LONG,LOSER,-1.0754997675499707,2,3,1,BULLISH
LONG,WINNER,2.272549019607843,1,4,1,BULLISH
LONG,WINNER,2.3421768707482995,1,3,2,BULLISH
LONG,LOSER,-1.3707762557078118,1,2,2,TRANSITION
SHORT,WINNER,2.1815686274510533,1,4,1,BEARISH
SHORT,WINNER,2.2346405228758424,0,4,2,BEARISH
LONG,WINNER,2.302433090024345,1,1,2,NEUTRAL
SHORT,LOSER,-1.128278041074238,0,4,2,BEARISH
SHORT,LOSER,-1.2098191214470442,2,2,1,NEUTRAL
SHORT,LOSER,-1.1645390070921986,1,2,2,TRANSITION
LONG,WINNER,2.3009803921568484,1,4,2,BULLISH
SHORT,WINNER,2.310722610722598,1,2,2,NEUTRAL
LONG,WINNER,2.3426356589147375,2,2,0,BULLISH
SHORT,WINNER,2.3666666666666667,0,4,2,BEARISH
LONG,WINNER,2.3944769330734323,2,3,2,BULLISH
SHORT,WINNER,2.402462462462469,2,2,2,TRANSITION
LONG,LOSER,-1.0787967006307595,0,4,2,BULLISH
SHORT,WINNER,2.409172259507833,2,4,2,BEARISH
SHORT,WINNER,2.419203980099498,0,4,2,BEARISH
LONG,LOSER,-1.090675600223333,1,1,2,NEUTRAL
SHORT,LOSER,-1.0835390946502133,0,4,2,BEARISH
SHORT,LOSER,-1.0719858156028312,0,4,2,BEARISH
SHORT,LOSER,-1.0821446636317629,0,4,2,BEARISH
LONG,LOSER,-1.1798449612403101,1,1,2,TRANSITION
SHORT,LOSER,-1.1071947194719431,1,2,2,BULLISH
LONG,LOSER,-1.073153153153157,2,3,1,BULLISH
SHORT,WINNER,2.3726274509803806,2,2,3,NEUTRAL
LONG,WINNER,2.3398422090729967,1,4,3,BULLISH
LONG,WINNER,2.4015757575757473,2,3,2,BULLISH
LONG,LOSER,-1.128278041074238,1,4,2,BULLISH
LONG,WINNER,2.32015503875969,1,3,2,BULLISH
LONG,WINNER,2.2941698352344284,2,3,1,BULLISH
SHORT,LOSER,-1.1244444444444388,0,4,2,BEARISH
LONG,WINNER,2.4213178294573687,3,2,2,BULLISH
LONG,WINNER,2.3932281393819976,2,4,1,BULLISH
LONG,WINNER,2.3359595959596056,1,2,2,NEUTRAL
SHORT,LOSER,-1.1573643410852625,2,1,1,TRANSITION
LONG,LOSER,-1.1792494481236089,1,2,2,NEUTRAL
SHORT,WINNER,2.3384079601989955,3,1,2,NEUTRAL
SHORT,LOSER,-1.0667488697081808,0,2,2,TRANSITION
LONG,WINNER,2.4488342785129182,1,1,2,NEUTRAL
SHORT,LOSER,-1.0619374523264697,2,2,2,NEUTRAL
SHORT,LOSER,-1.1398794142980049,1,4,2,BEARISH
LONG,LOSER,-1.0812812812812789,1,3,3,BULLISH
SHORT,WINNER,2.3426356589147375,1,4,2,BEARISH
LONG,LOSER,-1.1560038424592,1,4,2,BULLISH
LONG,LOSER,-1.1792494481236089,2,3,2,BULLISH
LONG,LOSER,-1.2942028985506626,1,3,2,BULLISH
SHORT,LOSER,-1.2405925925925718,1,4,2,BEARISH
SHORT,WINNER,2.1678936605317762,1,4,1,BEARISH
SHORT,LOSER,-1.085249343832026,1,2,2,NEUTRAL
LONG,LOSER,-1.0951376684241294,0,2,2,BULLISH
SHORT,LOSER,-1.0674979218620164,2,2,2,NEUTRAL
LONG,WINNER,2.4400516795865634,3,3,0,BULLISH
LONG,LOSER,-1.099876998769977,2,2,1,BULLISH
SHORT,LOSER,-1.1363560033585356,1,2,1,NEUTRAL
LONG,WINNER,2.337437437437409,1,2,3,BULLISH
LONG,LOSER,-1.13235533822329,2,2,3,BULLISH
SHORT,WINNER,2.3632996632996432,0,3,2,BEARISH
LONG,LOSER,-1.1298161470823522,2,4,2,BULLISH
SHORT,LOSER,-1.1089201877934272,1,1,3,NEUTRAL
LONG,LOSER,-1.1213751868460493,2,2,2,TRANSITION
SHORT,WINNER,2.423540489642187,1,2,2,NEUTRAL
LONG,LOSER,-1.0737511353315188,1,4,2,BULLISH
LONG,WINNER,2.3695582329317393,2,4,2,BULLISH
LONG,WINNER,2.347511737089185,1,3,2,BULLISH
LONG,LOSER,-1.2042767295597634,1,4,1,BULLISH
SHORT,WINNER,2.320750551876391,1,2,2,TRANSITION
LONG,WINNER,2.159538784067003,2,2,1,BEARISH
SHORT,WINNER,2.2860342555994895,2,2,2,BEARISH
LONG,WINNER,2.218055555555641,2,4,1,BULLISH
SHORT,WINNER,2.3369477911646874,1,1,2,NEUTRAL
LONG,WINNER,2.30871613663137,3,2,2,BEARISH
LONG,WINNER,2.323669923995646,2,4,2,BULLISH
LONG,WINNER,2.2917948717948873,1,3,2,BULLISH
SHORT,LOSER,-1.2427503736920988,1,2,2,TRANSITION
SHORT,LOSER,-1.1213751868460493,0,4,2,BEARISH
SHORT,WINNER,2.368608414239476,1,2,1,TRANSITION
SHORT,LOSER,-1.114932767162057,2,1,1,NEUTRAL
LONG,WINNER,2.359758203799662,2,4,1,BULLISH
LONG,WINNER,2.3120370370370495,2,3,2,BULLISH
LONG,LOSER,-1.279037800687341,2,2,2,NEUTRAL
SHORT,WINNER,2.2346405228758424,1,3,2,BEARISH
LONG,LOSER,-1.2236914600551503,2,2,1,TRANSITION
SHORT,LOSER,-1.088165038002177,1,1,2,NEUTRAL
LONG,LOSER,-1.0741552511415486,2,2,1,NEUTRAL
SHORT,WINNER,2.4377061756808605,0,3,2,BEARISH
LONG,WINNER,2.4336601307189496,2,4,2,BULLISH
LONG,WINNER,2.3906397306397222,0,3,2,BULLISH
SHORT,LOSER,-1.130756843800316,1,3,2,BEARISH
LONG,LOSER,-1.0887431693989043,1,2,3,TRANSITION
SHORT,WINNER,2.2941698352344284,1,4,3,BEARISH
LONG,LOSER,-1.2590111642743462,1,4,2,BULLISH
SHORT,WINNER,2.334959349593486,0,4,2,BEARISH
SHORT,LOSER,-1.1650406504065138,1,3,2,BEARISH
SHORT,LOSER,-1.356140350877284,1,2,1,NEUTRAL
LONG,WINNER,2.2422222222222223,0,3,2,BULLISH
LONG,LOSER,-1.150370370370346,3,1,0,NEUTRAL
SHORT,WINNER,2.3879227053140095,2,1,2,TRANSITION
LONG,LOSER,-1.116165951359099,2,4,2,BULLISH
LONG,WINNER,2.3354609929078016,2,4,1,BULLISH
SHORT,LOSER,-1.196848484848457,2,0,3,TRANSITION
LONG,LOSER,-1.1906103286385368,1,4,2,BULLISH
SHORT,LOSER,-1.1961352657004418,1,2,2,BULLISH
SHORT,WINNER,2.314611872146094,2,2,2,NEUTRAL
SHORT,WINNER,2.27630853994485,2,4,1,BEARISH
LONG,LOSER,-1.2074074074073766,1,4,2,BULLISH
SHORT,LOSER,-1.225555555555519,2,3,2,BEARISH
LONG,LOSER,-1.1546666666666667,2,3,3,BULLISH
SHORT,LOSER,-1.1906103286385368,1,2,2,TRANSITION
LONG,WINNER,2.3483660130718955,0,4,2,BULLISH
LONG,WINNER,2.260471976401221,1,4,1,BULLISH
SHORT,WINNER,2.280836707152531,0,3,2,BEARISH
LONG,LOSER,-1.2449472096531564,2,3,1,BULLISH
LONG,WINNER,2.2656565656565655,0,4,2,BULLISH
SHORT,WINNER,2.1214452214453754,2,2,1,NEUTRAL
SHORT,LOSER,-1.1841269841269841,1,3,1,BEARISH
LONG,LOSER,-1.1822671156004132,1,2,2,TRANSITION
