system,raw_signals,opportunities,trades,AvgR,PF,TotalR,MaxDD,win_rate
Phase58_raw,223162.0,87809,223162,-0.11633832953358729,0.8672077425339102,-25962.294295374406,29581.956525326765,0.35202229770301396
Phase58C_first,223162.0,87809,87809,0.07094031561493183,1.0877584131925835,6229.198173831549,6721.153291930218,0.4081358402897197
Phase58D_memory,223162.0,87809,87809,0.07094031561493183,1.0877584131925835,6229.198173831549,6721.153291930218,0.4081358402897197
Phase58D_HTF,223162.0,87809,68853,0.14493990096928605,1.185405869970849,9979.547001438252,4187.944997904453,0.4318766066838046
Phase58D_full,223162.0,87809,61953,0.17683026678103075,1.2299072609739146,10955.165517885198,3205.3629896516727,0.4410117347021129
