trade_id,capture_pct,mfe_spent_atr,total_mfe_atr
E-000001,1.0,0,3.230769230769231
E-000002,1.0,0,2.4499999999999997
E-000003,1.0,0,2.5
E-000004,1.0,0,2.6666666666666665
E-000005,1.0,0,6.222222222222221
E-000006,1.0,0,14.0
E-000007,1.0,0,1.9090909090909092
E-000008,1.0,0,4.666666666666667
E-000009,1.0,0,6.774193548387096
E-000010,1.0,0,0.48275862068965514
E-000011,1.0,0,12.833333333333334
E-000012,1.0,0,15.12
E-000013,1.0,0,5.703703703703703
E-000014,1.0,0,2.3902439024390247
E-000015,1.0,0,16.59259259259259
E-000016,1.0,0,1.375722543352601
E-000017,1.0,0,17.333333333333332
E-000018,1.0,0,2.9593495934959346
E-000019,1.0,0,4.76595744680851
E-000020,1.0,0,2.8000000000000003
E-000021,1.0,0,0.5436893203883495
E-000022,,0,0.0
E-000023,1.0,0,23.333333333333332
E-000024,1.0,0,8.842105263157894
E-000025,1.0,0,17.818181818181817
E-000026,1.0,0,2.2105263157894735
E-000027,1.0,0,15.272727272727273
E-000028,1.0,0,2.2105263157894735
E-000029,1.0,0,4.11764705882353
E-000030,1.0,0,3.5
E-000031,1.0,0,12.090909090909092
E-000032,1.0,0,4.666666666666666
E-000033,1.0,0,5.25
E-000034,1.0,0,1.849056603773585
E-000035,1.0,0,1.4
E-000036,1.0,0,14.000000000000002
E-000037,1.0,0,0.9655172413793103
E-000038,1.0,0,3.85
E-000039,1.0,0,18.869565217391305
E-000040,1.0,0,2.9302325581395348
E-000041,1.0,0,20.8
E-000042,1.0,0,3.098360655737705
E-000043,1.0,0,3.92
E-000044,1.0,0,3.6
E-000045,1.0,0,1.2727272727272727
E-000046,1.0,0,1.719298245614035
E-000047,1.0,0,0.835820895522388
E-000048,1.0,0,2.3333333333333335
E-000049,1.0,0,1.8983050847457628
E-000050,1.0,0,5.283018867924529
E-000051,1.0,0,2.290909090909091
E-000052,1.0,0,1.5555555555555554
E-000053,1.0,0,2.041666666666667
E-000054,1.0,0,16.8
E-000055,1.0,0,3.5
E-000056,1.0,0,2.5454545454545454
E-000057,1.0,0,0.9333333333333333
E-000058,1.0,0,3.7333333333333334
E-000059,1.0,0,8.555555555555555
E-000060,1.0,0,8.166666666666668
E-000061,1.0,0,11.2
E-000062,1.0,0,6.222222222222221
E-000063,1.0,0,2.2105263157894735
E-000064,1.0,0,12.0
E-000065,1.0,0,5.25
E-000066,1.0,0,3.92
E-000067,1.0,0,1.2173913043478262
E-000068,1.0,0,5.25
E-000069,1.0,0,13.125
E-000070,1.0,0,9.0
E-000071,1.0,0,14.96551724137931
E-000072,1.0,0,8.13953488372093
E-000073,1.0,0,2.3719008264462813
E-000074,1.0,0,6.672897196261682
E-000075,1.0,0,5.419354838709677
E-000076,1.0,0,1.4736842105263157
E-000077,,0,0.0
E-000078,1.0,0,6.363636363636364
E-000079,1.0,0,11.666666666666668
E-000080,1.0,0,4.375
E-000081,1.0,0,8.555555555555555
E-000082,1.0,0,15.076923076923077
E-000083,1.0,0,3.3333333333333335
E-000084,1.0,0,14.0
E-000085,,0,-0.7777777777777777
E-000086,1.0,0,17.11111111111111
E-000087,1.0,0,18.666666666666668
E-000088,1.0,0,7.0
E-000089,1.0,0,5.5
E-000090,1.0,0,4.666666666666667
E-000091,1.0,0,41.0
E-000092,1.0,0,14.222222222222221
E-000093,1.0,0,1.5107913669064748
E-000094,1.0,0,2.735632183908046
E-000095,1.0,0,1.3793103448275863
E-000096,1.0,0,0.8521739130434783
E-000097,1.0,0,0.4666666666666667
E-000098,1.0,0,11.96116504854369
E-000099,1.0,0,3.6206896551724133
E-000100,1.0,0,12.419354838709676
E-000101,1.0,0,16.0
E-000102,1.0,0,9.0
E-000103,1.0,0,3.8888888888888884
E-000104,1.0,0,5.833333333333334
E-000105,1.0,0,1.4736842105263157
E-000106,1.0,0,5.333333333333333
E-000107,1.0,0,10.769230769230768
E-000108,1.0,0,4.11764705882353
E-000109,1.0,0,2.1538461538461537
E-000110,1.0,0,3.5
E-000111,1.0,0,7.0
E-000112,1.0,0,9.882352941176471
E-000113,1.0,0,5.894736842105263
E-000114,1.0,0,11.666666666666668
E-000115,1.0,0,5.133333333333334
E-000116,1.0,0,4.666666666666667
E-000117,1.0,0,0.7466666666666667
E-000118,1.0,0,6.0375
E-000119,1.0,0,7.714285714285714
E-000120,1.0,0,0.6666666666666666
E-000121,1.0,0,1.7872340425531914
E-000122,1.0,0,6.514851485148514
E-000123,1.0,0,6.32258064516129
E-000124,1.0,0,0.21538461538461537
E-000125,1.0,0,2.8000000000000003
E-000126,1.0,0,2.9615384615384612
E-000127,1.0,0,2.75
E-000128,1.0,0,7.3559322033898304
E-000129,1.0,0,7.162790697674418
E-000130,1.0,0,4.8999999999999995
E-000131,1.0,0,14.0
E-000132,1.0,0,18.666666666666668
E-000133,1.0,0,4.083333333333334
E-000134,1.0,0,4.0
E-000135,1.0,0,5.090909090909091
E-000136,1.0,0,1.2727272727272727
E-000137,1.0,0,25.2
E-000138,1.0,0,2.0
E-000139,1.0,0,8.23529411764706
E-000140,1.0,0,1.5555555555555554
E-000141,1.0,0,6.125
E-000142,1.0,0,3.230769230769231
E-000143,1.0,0,5.25
E-000144,1.0,0,4.5
E-000145,1.0,0,20.125
E-000146,1.0,0,8.5
E-000147,1.0,0,19.6875
E-000148,1.0,0,2.0851063829787235
E-000149,1.0,0,3.176470588235294
E-000150,1.0,0,4.7804878048780495
E-000151,1.0,0,4.11764705882353
E-000152,1.0,0,4.508474576271186
E-000153,1.0,0,2.8636363636363638
E-000154,1.0,0,3.0377358490566038
E-000155,1.0,0,10.278481012658228
E-000156,1.0,0,8.909090909090908
E-000157,1.0,0,2.3333333333333335
E-000158,1.0,0,1.3884297520661157
