session,trades,AvgR,TotalR
afternoon,24347,0.01954292225357097,475.8115281076924
cash_open,2492,0.5373162755128943,1338.9921585781326
midday,5259,0.33566844735400847,1765.2803646347306
morning,5105,0.378830241367514,1933.928382181159
overnight,16413,0.17124618226438107,2810.6635895052864
premarket,8337,0.31551991062470885,2630.4894948781975
