cost_mult,sample_n,N,AvgR,PF,TotalR,WinRate,MaxDD
1.0,5000,5000,-0.41527832449891094,0.6338675389372709,-2076.3916224945547,0.4258,2094.688958310835
1.5,5000,5000,-0.9302926636110648,0.3795022951204045,-4651.463318055324,0.383,4660.659321779773
2.0,5000,5000,-1.4453070027232187,0.2405454160907785,-7226.535013616093,0.3352,7226.996623026227
