opportunity_id,direction,wait_signal_i,immediate_entry_i,system,location_score,direction_score,reaction_score,total_evidence
OPP_00023182_SHORT,SHORT,23182,23183,E,1,0,2,2
OPP_00023273_LONG,LONG,23273,23274,E,2,0,1,2
OPP_00023610_LONG,LONG,23610,23611,E,2,0,2,3
OPP_00023694_LONG,LONG,23694,23695,E,1,-1,3,2
OPP_00023943_SHORT,SHORT,23943,23944,E,2,-1,2,2
OPP_00024903_LONG,LONG,24903,24904,E,1,-1,3,2
OPP_00025067_LONG,LONG,25067,25068,E,2,-1,2,2
OPP_00025601_SHORT,SHORT,25601,25602,E,2,-1,2,2
OPP_00025666_SHORT,SHORT,25666,25667,E,1,0,2,2
OPP_00025695_SHORT,SHORT,25695,25696,E,3,-1,1,2
OPP_00026008_SHORT,SHORT,26008,26009,E,1,1,1,2
OPP_00026371_SHORT,SHORT,26371,26372,E,2,1,0,3
OPP_00026494_SHORT,SHORT,26494,26495,E,1,0,2,2
OPP_00027827_LONG,LONG,27827,27828,E,1,0,2,2
OPP_00028226_SHORT,SHORT,28226,28227,E,2,1,1,3
OPP_00028584_SHORT,SHORT,28584,28585,E,2,-1,2,2
OPP_00028671_LONG,LONG,28671,28672,E,1,0,1,2
OPP_00028979_LONG,LONG,28979,28980,E,1,0,2,2
OPP_00029035_LONG,LONG,29035,29036,E,1,0,2,2
OPP_00029294_SHORT,SHORT,29294,29295,E,0,1,2,3
OPP_00029559_SHORT,SHORT,29559,29560,E,2,1,0,2
OPP_00029799_SHORT,SHORT,29799,29800,E,1,0,2,2
OPP_00029914_SHORT,SHORT,29914,29915,E,2,2,0,3
OPP_00030018_SHORT,SHORT,30018,30019,E,0,1,2,2
OPP_00030166_SHORT,SHORT,30166,30167,E,0,1,2,3
OPP_00030258_LONG,LONG,30258,30259,E,2,0,2,3
OPP_00030502_LONG,LONG,30502,30503,E,2,0,2,3
OPP_00031105_SHORT,SHORT,31105,31106,E,2,0,3,3
OPP_00031174_SHORT,SHORT,31174,31175,E,1,0,2,2
OPP_00031455_LONG,LONG,31455,31456,E,2,-1,2,2
OPP_00031479_SHORT,SHORT,31479,31480,E,1,0,2,2
OPP_00031518_LONG,LONG,31518,31519,E,3,-1,2,3
OPP_00031589_SHORT,SHORT,31589,31590,E,1,-1,3,2
OPP_00031730_LONG,LONG,31730,31731,E,1,0,2,2
OPP_00031852_LONG,LONG,31852,31853,E,2,0,1,2
OPP_00032034_SHORT,SHORT,32034,32035,E,0,1,3,3
OPP_00032068_LONG,LONG,32068,32069,E,2,1,1,3
OPP_00032431_LONG,LONG,32431,32432,E,2,1,1,3
OPP_00032613_SHORT,SHORT,32613,32614,E,1,1,1,3
OPP_00033234_SHORT,SHORT,33234,33235,E,0,2,2,3
OPP_00033866_SHORT,SHORT,33866,33867,E,1,1,1,2
OPP_00034020_LONG,LONG,34020,34021,E,1,0,2,2
OPP_00034205_LONG,LONG,34205,34206,E,1,1,1,2
OPP_00034524_LONG,LONG,34524,34525,E,1,0,2,2
OPP_00035033_SHORT,SHORT,35033,35034,E,1,2,1,3
OPP_00035055_LONG,LONG,35055,35056,E,2,-1,2,2
OPP_00035103_SHORT,SHORT,35103,35104,E,2,-1,2,2
OPP_00035810_LONG,LONG,35810,35811,E,2,-1,2,2
OPP_00036012_SHORT,SHORT,36012,36013,E,1,0,2,2
OPP_00036758_SHORT,SHORT,36758,36759,E,0,0,3,2
OPP_00036819_SHORT,SHORT,36819,36820,E,2,0,2,3
OPP_00036911_LONG,LONG,36911,36912,E,2,0,1,2
