threshold,trades,N,AvgR,PF,TotalR,WinRate,MaxDD
4,61953,61953,0.17683026678103075,1.2299072609739146,10955.165517885198,0.4410117347021129,3205.3629896516727
5,51929,51929,0.23283697983402196,1.3119650368440003,12090.991525800926,0.4560264977180381,1928.7372179648225
6,37937,37937,0.3211972639923414,1.4522989348302744,12185.260604077455,0.47903102512059464,970.3877839295133
7,19090,19090,0.4019904727535621,1.592830986452059,7673.9981248655,0.49869041382922996,421.72570991515374
8,5286,5286,0.5165131567402146,1.8217046364407097,2730.2885465287745,0.5232690124858116,74.38506838367005
9,746,746,0.7514376553212376,2.3887452769810964,560.5724908696433,0.5764075067024129,13.978512902649857
10,27,27,0.48314289302452873,1.756184007358101,13.044858111662275,0.48148148148148145,5.945624150762715
