signal_id,marker_bar_timestamp,signal_type,exit_type,exit_timestamp,exit_price,realized_R,MFE_R,MAE_R
1,2017-10-02 10:00:00-05:00,S,TARGET,2017-10-02 10:30:00-05:00,5989.040989497162,3.0,5.2679943700231675,0.8152848429797759
2,2017-10-03 11:15:00-05:00,L,TIME,2017-10-03 12:15:00-05:00,5994.25,-0.3141237715964441,0.6282475431928882,0.6806015051256289
3,2017-10-03 12:15:00-05:00,RS,TIME,2017-10-03 13:00:00-05:00,5996.25,-0.4043515781760511,0.30433912209316444,0.8177544866664269
4,2017-10-04 10:00:00-05:00,L,TARGET,2017-10-04 10:30:00-05:00,6004.331739888781,3.0,3.039504345824473,0.0
5,2017-10-04 11:45:00-05:00,S,TARGET,2017-10-04 12:30:00-05:00,5991.255613095055,3.0,4.233840353453747,0.3215574951990188
6,2017-10-05 10:30:00-05:00,L,TARGET,2017-10-05 11:15:00-05:00,6046.81783857787,3.0,3.446151766499721,0.5407024407628621
7,2017-10-05 13:45:00-05:00,L,TIME,2017-10-05 14:45:00-05:00,6061.25,1.1493781106980525,1.8966634377237406,0.07830492655843528
8,2017-10-06 10:30:00-05:00,L,TIME,2017-10-06 11:30:00-05:00,6068.0,2.6189668009522356,2.714201957350499,0.2380878909956578
9,2017-10-06 10:45:00-05:00,RS,STOP,2017-10-06 11:30:00-05:00,6063.12961472222,-1.0,0.9747320745827786,2.0469373566238347
10,2017-10-06 15:00:00-05:00,L,STOP,2017-10-08 17:00:00-05:00,6060.1583643006115,-1.0,1.266803661296294,1.15163969208754
11,2017-10-06 15:30:00-05:00,RS,STOP,2017-10-08 17:00:00-05:00,6068.652054578004,-1.0,1.2042230914998227,1.3246454006498047
12,2017-10-09 11:30:00-05:00,S,TIME,2017-10-09 12:30:00-05:00,6073.75,-0.4434097944269615,0.517311426831455,0.7390163240449358
13,2017-10-09 14:00:00-05:00,S,TIME,2017-10-09 15:00:00-05:00,6064.25,-0.054985434541626785,2.5197515460349718,0.5292790888583686
14,2017-10-10 09:45:00-05:00,L,STOP,2017-10-10 10:00:00-05:00,6059.817004516244,-1.0,0.3585946974662255,2.0918024018863157
