year,L,S,RL,RS,total
2017,65,47,18,26,156
2018,237,233,81,65,616
2019,242,205,89,64,600
2020,251,206,72,73,602
2021,249,206,77,74,606
2022,208,234,77,52,571
2023,237,203,72,77,589
2024,244,208,85,71,608
2025,227,193,66,86,572
2026,115,101,40,34,290
