window_id,timestamp,open,high,low,close,continuation_state,reversal_state,L,S,RL,RS,entry_price,stop,target
JUN_20_26_2026,2026-06-22 09:30:00-05:00,28060.5,28066.0,27916.25,27929.75,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 09:45:00-05:00,27930.0,27985.75,27848.75,27942.75,ACTIVE,WAIT_RECLAIM,False,True,False,False,27942.75,28001.60464850537,27766.18605448389
JUN_20_26_2026,2026-06-22 10:00:00-05:00,27943.5,27983.75,27906.75,27932.25,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 10:15:00-05:00,27933.5,27959.75,27887.0,27901.5,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 10:30:00-05:00,27901.25,27976.75,27879.5,27952.25,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 10:45:00-05:00,27952.75,27977.5,27845.0,27861.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 11:00:00-05:00,27860.5,27890.25,27806.75,27884.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 11:15:00-05:00,27883.5,27919.0,27856.0,27893.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 11:30:00-05:00,27893.25,27894.0,27829.75,27847.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 11:45:00-05:00,27848.0,27908.0,27825.75,27893.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 12:00:00-05:00,27893.0,27906.5,27835.75,27871.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 12:15:00-05:00,27871.5,27917.5,27871.0,27901.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 12:30:00-05:00,27901.0,27909.25,27862.75,27884.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 12:45:00-05:00,27884.5,27953.75,27877.5,27918.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 13:00:00-05:00,27918.25,27942.0,27904.75,27929.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 13:15:00-05:00,27929.25,27968.75,27919.5,27931.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 13:30:00-05:00,27931.5,27950.75,27884.5,27886.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 13:45:00-05:00,27886.5,27909.0,27854.25,27862.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 14:00:00-05:00,27864.25,27900.5,27838.25,27878.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 14:15:00-05:00,27877.25,27891.5,27853.5,27856.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 14:30:00-05:00,27856.25,27901.5,27856.0,27868.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 14:45:00-05:00,27868.5,27977.25,27865.5,27958.0,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 15:00:00-05:00,27957.0,27981.5,27942.75,27956.0,ACTIVE,WAIT_RECLAIM,True,False,False,False,27956.0,27906.168353735848,28105.494938792457
JUN_20_26_2026,2026-06-22 15:15:00-05:00,27956.75,27977.5,27948.0,27952.5,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 15:30:00-05:00,27953.0,27961.75,27951.25,27960.75,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-22 15:45:00-05:00,27961.0,27976.5,27952.5,27966.25,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 09:30:00-05:00,27287.25,27302.0,27176.25,27187.75,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 09:45:00-05:00,27188.75,27232.75,27116.25,27158.25,ACTIVE,WAIT_RECLAIM,False,True,False,False,27167.205032888534,27236.437839557664,26959.50661288115
JUN_20_26_2026,2026-06-23 10:00:00-05:00,27158.0,27190.0,27068.75,27095.75,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 10:15:00-05:00,27095.75,27107.5,27014.25,27031.0,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 10:30:00-05:00,27031.0,27091.75,26999.0,27038.0,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 10:45:00-05:00,27037.25,27125.0,27023.25,27101.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 11:00:00-05:00,27101.75,27218.75,27094.0,27208.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 11:15:00-05:00,27209.0,27219.5,27137.0,27179.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 11:30:00-05:00,27181.0,27207.5,27141.5,27204.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 11:45:00-05:00,27206.25,27211.0,27134.75,27167.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 12:00:00-05:00,27167.75,27186.75,27095.5,27154.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 12:15:00-05:00,27154.75,27195.5,27124.75,27170.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 12:30:00-05:00,27170.25,27200.25,27128.0,27133.0,IDLE,IDLE,False,False,False,False,,,
