year,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
2024,344,0.9690140845070423,1.3285216323439948,2.371417260490859,4.9071915800610615,457.01144152633424,4.67994813475363,0.7005813953488372,0.7289762324066165,2.3564212647286076,183,1.2429014119974764,4.381643983496358,161,1.4258415101291675,5.6183408994278174
2025,283,0.7839335180055401,1.1214567897119805,2.352094717668504,3.783955125981964,317.37227148849047,5.2642428064745985,0.6360424028268551,0.8140703395939469,2.37504283002081,151,0.9592858688684459,3.1245568537047506,132,1.3069704946163265,4.765124759303761
2026,145,0.847953216374269,1.3748675717787333,2.406343713956183,5.223438169540273,199.35579790791633,4.527349463336037,0.7034482758620689,0.7550993724349941,2.624818723226675,78,1.336496875742314,4.963769812739034,67,1.4195379343285943,5.550159889592666
