direction,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
LONG,995,0.421431596781025,1.1503067425440747,2.341251221896365,3.892243061937915,1144.5552088313543,9.06350773615543,0.6532663316582915,0.8023286378579713,2.289982190578988,995,1.1503067425440747,3.892243061937915,0,,
SHORT,890,0.3769589157136806,1.2797295782504798,2.3567901234567903,4.597401300150939,1138.959324642927,7.367459779491469,0.6910112359550562,0.7382932813594142,2.5110738944147406,0,,,890,1.2797295782504798,4.597401300150939
