MODEL,MEANINGFUL MOVES,CAPTURED,CAPTURE RATE,FALSE SIGNALS,SIGNALS/DAY
CORE,89720,1964,0.0218903254569772,,0.357
S52,89720,3024,0.0337048595630851,,0.7983905124947056
CORE+S52,89720,4988,0.055595185020062415,,1.1553905124947055
