family,context,rth_only,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
A1,C0,False,148232,46.48228284728755,-0.425254913989068,-1.1582846003898726,0.5800496925234678,-63036.38641042753,63041.237195904,0.2744481623401155,1.3026190254126653,1.4959079913533584,76271,-0.40906021954021055,0.5941161756960642,71961,-0.44241956623554607,0.5652857327461035
A1,C0,True,38477,12.065537786139856,-0.2428167893564799,-1.0977135980746056,0.7219964232081375,-9342.861604069278,9344.055858485739,0.27574914884216545,1.2773216890009795,1.4591391504296223,20085,-0.21062149854126044,0.756589724621164,18392,-0.277975685399525,0.6849475764040601
A1,C1,False,6934,2.174349325807463,-0.3218047084308003,-1.1413402959094885,0.6676379733056534,-2231.3938482591693,2255.953662907377,0.30011537352177675,1.2179683494365952,1.552462795166872,3656,-0.3101960922770815,0.6790607560888513,3278,-0.33475196305496024,0.6549454709374509
A1,C1,True,2013,0.6318267419962336,-0.1373759759749533,-1.0908277404921878,0.8352220372088741,-276.537839637581,295.5208622849223,0.30402384500745155,1.1987754742395722,1.549701357193863,1060,-0.18049245327759778,0.7886846545428455,953,-0.0894185090905849,0.8897394855522778
A1,C2,False,17360,5.443712762621511,0.42843999756480633,-1.0222521644120195,1.6460862581439175,7437.718357725038,502.1455460112508,0.4973502304147465,1.0078195608403975,2.1386945214135147,9016,0.4492340969981153,1.6815645979386382,8344,0.40597120555968735,1.6082297123135878
A1,C2,True,4187,1.312950768265914,0.7095286021053645,2.0703703703703704,2.312523403126925,2970.7962570151612,36.91915123562046,0.5385717697635538,0.9257351619077208,2.0826172675975783,2193,0.7478941083408179,2.4089753029003025,1994,0.6673342414361823,2.2103953978438917
A1,C3,False,46882,14.701160238319222,-0.01374172860501716,-1.1078353253652142,0.9839000550347462,-644.2397204604144,5689.322669631653,0.39059767074783497,1.165615856750288,1.837459203236785,24179,-0.001564670616285876,0.998160407733993,22703,-0.026710458953849225,0.9688214430872034
A1,C3,True,11214,3.5164628410159926,0.2033416850401185,-1.070948012232416,1.2825837151396426,2280.273656039889,204.13780025331607,0.4012841091492777,1.1114531354769006,1.7556211622968865,5903,0.23189172177688214,1.3260905355687314,5311,0.17160926800808765,1.235411360344781
A1,C4,False,100665,31.56632173095014,-0.17868731109790145,-1.1285827395090995,0.8043031071116188,-17987.55817167025,18738.473042176327,0.3415785029553469,1.1830120906288955,1.6786464626966415,53513,-0.1696617919061028,0.8137524780784464,47152,-0.1889304101925469,0.7936323463117476
A1,C4,True,26497,8.30887425525243,0.0027746831544206924,-1.0843198338525493,1.0035199509656494,73.52077954268509,1204.6827955583415,0.3452843718156772,1.179300258273183,1.6572945019359504,14416,0.013537866013882271,1.0171862111716548,12081,-0.010068793718520127,0.9872375238066873
A1,C5,False,14,0.031180400890868598,-0.9351901523642733,-1.257690336197785,0.4084903899050763,-13.092662133099825,13.88398976842484,0.2857142857142857,1.516076659137365,1.7096656882179058,0,,,14,-0.9351901523642733,0.4084903899050763
A1,C5,True,9,0.020089285714285716,-0.11602108154110516,-1.0792581747193741,0.8643628192650153,-1.0441897338699464,3.246115822232756,0.3333333333333333,1.2154923819685353,1.5719459012294816,0,,,9,-0.11602108154110516,0.8643628192650153
A2,C0,False,147691,46.3126371903418,-0.4223392279189491,-1.1578231292517007,0.581755371654582,-62375.702910577515,62380.553061471386,0.2742076362134456,1.3016720452305204,1.4943629594432961,75999,-0.40684735836988045,0.5954167187415245,71692,-0.4387617938099785,0.5673966645880845
