fold,train_start,train_end,test_start,test_end,family,context,rth_only,train_N,train_AvgR
1,2018-01-01,2019-12-31,2020-01-01,2020-12-31,G3,C4,True,384,1.071887562300002
2,2018-01-01,2020-12-31,2021-01-01,2021-12-31,G3,C4,True,623,1.1436632057095342
3,2018-01-01,2021-12-31,2022-01-01,2022-12-31,G3,C4,True,897,1.1864945015508261
4,2018-01-01,2022-12-31,2023-01-01,2023-12-31,G3,C4,True,1162,1.2104226435353949
5,2018-01-01,2023-12-31,2024-01-01,2024-12-31,G3,C4,True,1499,1.146339922296356
6,2018-01-01,2024-12-31,2025-01-01,2025-12-31,G3,C4,True,1843,1.1803445388217968
7,2018-01-01,2025-12-31,2026-01-01,2026-06-26,G3,C4,True,2127,1.173098729603729
