segment,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
RTH,1885,0.7983905124947056,1.2114135456096984,2.3487895716945504,4.20565770113345,2283.5145334742815,13.145932437721513,0.6710875331564987,0.7720944377074588,2.39437031599746,995,1.1503067425440747,3.892243061937915,890,1.2797295782504798,4.597401300150939
open,261,0.11125319693094629,1.619438697836892,2.407936507936508,7.545434023544433,422.6735001354288,5.460568363025999,0.7739463601532567,0.6160491927538803,2.5508244512240927,147,1.5292477070556139,6.5243179671210605,114,1.7357376070022246,9.285275297674326
midday,594,0.25158831003811943,1.2628106888121697,2.3407843137254947,4.5075085994928985,750.1095491544288,9.303041427561823,0.6851851851851852,0.7494238237378258,2.3935893896500957,303,1.2203197828233712,4.25874083569092,291,1.3070537971097849,4.788673628477642
afternoon,565,0.24093816631130063,0.8537674250421617,2.222393162393135,2.7165905418347944,482.3785951488214,10.443832151330156,0.5787610619469027,0.9116796211640029,2.3126672825228014,297,0.872373050440607,2.7708743941532696,268,0.8331485043580639,2.6576286219894865
