family,context,N,AvgR,PF
G1,C3,9102,0.2736,1.405
G1,C4,28949,-0.0147,0.981
G1,C5,0,0.0,0.0
G3,C3,4416,-0.3651,0.586
G3,C4,1885,1.2114,4.206
G3,C5,0,0.0,0.0
