definition,meaningful_moves_est,core_captured,s52_captured,core_capture_rate,s52_capture_rate
M1_60,89720,1964,3024,0.021890325456977264,0.03370485956308515
M1.5_90,82839,1815,2784,0.02190996994169413,0.0336073588527143
