strategy,timeframe_minutes,year,N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross
CONTROL,5,2018,1020,0.3843137254901961,0.00267443608253607,-0.09964969737682178,2.7279248041867916,-101.64269132435821,1.0048967617188205,0.8365281796089551,109.6038254933956,-0.9273644497972645,54.03921568627451,35.0,0.10232413345935785,3826.0078125452005
CONTROL,5,2019,1008,0.3948412698412698,0.004388696206315253,-0.10400593870025356,4.423805775965775,-104.83798620985559,1.008438254058219,0.822455132731724,117.44676274428292,-0.892642621730831,63.095238095238095,40.0,0.10839463490656884,2469.859607748446
CONTROL,5,2020,1008,0.39880952380952384,0.0009376806729221684,-0.04645471528446974,0.9451821183055458,-46.8263530067455,1.0017532271251897,0.9175133624300633,84.46303334485967,-0.5544005602493,52.33134920634921,35.0,0.047392395957391927,5054.214865034944
CONTROL,5,2021,1117,0.39838854073410923,-0.0030533065181673215,-0.057088297101573614,-3.410543380792898,-63.76762786245773,0.9942249215701341,0.8982285944925901,87.75504116296798,-0.7266548681122063,53.733213965980305,35.0,0.054034990583406294,
CONTROL,5,2022,1086,0.39134438305709024,-0.04633168543341457,-0.08057037802697378,-50.316210380688226,-87.49943053729353,0.9135299381823017,0.8553522683263713,99.20807608834285,-0.8819789072351025,39.82504604051565,40.0,0.03423869259355923,
CONTROL,5,2023,1057,0.42857142857142855,0.06761116568839344,0.017782519534689983,71.46500213263187,18.79612314816731,1.1349426334077366,1.0335760993775247,46.909165667691084,0.4006919091531238,47.147587511825925,40.0,0.04982864615370346,73.6988419684315
CONTROL,5,2024,1128,0.4122340425531915,0.00602773073711728,-0.03974861671634596,6.799280271468292,-44.836439656038245,1.0117033257747827,0.9268173145355522,63.50892228171368,-0.7059864668644856,62.5,40.0,0.045776347453463255,759.4292022963765
CONTROL,5,2025,1070,0.40841121495327104,-0.0060174950155546265,-0.0396775935066011,-6.4387196666434505,-42.45502505206318,0.9885534644139616,0.9272927911180392,54.527125995071856,-0.778603755053957,58.228971962616825,35.0,0.03366009849104648,
CONTROL,5,2026,526,0.3840304182509506,-0.05077615007114556,-0.07329217078318477,-26.708254937422566,-38.551681831955186,0.9070201106904537,0.8691553728799153,60.44637019904035,-0.6377832400028419,78.47908745247149,40.0,0.022516020712039186,
RETEST_GATED,5,2018,263,0.40304182509505704,0.025156775250593236,-0.07335386491251498,6.616231890906021,-19.29206647199144,1.048527840403785,0.8732367644680727,27.913598261228888,-0.691135062253422,84.52471482889734,35.0,0.09851064016310822,391.5869151821642
RETEST_GATED,5,2019,282,0.41134751773049644,0.0063228501728805776,-0.09506808003537998,1.783043748752323,-26.809198569977152,1.0130079290734921,0.8255636420433701,29.38550280348211,-0.9123273727615212,75.39007092198581,45.0,0.10139093020826054,1603.563700483332
RETEST_GATED,5,2020,278,0.37050359712230213,-0.07928005283640938,-0.12473171800410593,-22.039854688521807,-34.67541760514145,0.8558412885285009,0.7838200559620108,44.7189644590874,-0.7754074367456648,82.93165467625899,37.5,0.04545166516769653,
RETEST_GATED,5,2021,275,0.4072727272727273,0.0013316468677866409,-0.0497582757357728,0.3662028886413262,-13.68352582733752,1.0025744075844387,0.9091993587473794,34.27694079500533,-0.399204990584557,83.41818181818182,35.0,0.051089922603559434,3836.5969116479882
RETEST_GATED,5,2022,271,0.36162361623616235,-0.0960619937242333,-0.12711908110733605,-26.032800299267222,-34.44927098008807,0.8253068119723199,0.7768456354020181,39.26498313925666,-0.8773535151641542,62.638376383763834,40.0,0.031057087383102804,
RETEST_GATED,5,2023,277,0.4007220216606498,-0.050983203449963155,-0.09659589553618053,-14.122347355639794,-26.757063063522008,0.9023200910099901,0.824107638030761,39.92519503122827,-0.6701798962432982,84.71119133574007,45.0,0.04561269208621736,
RETEST_GATED,5,2024,292,0.3801369863013699,-0.06206693697408517,-0.10294656672279034,-18.12354559643287,-30.060397483054782,0.8858248242732158,0.8192230147862737,42.17226121858839,-0.7128002296875885,98.6986301369863,45.0,0.040879629748705175,
RETEST_GATED,5,2025,266,0.40977443609022557,-0.022508192470017098,-0.05331765095381562,-5.987179197024548,-14.182495153714955,0.9553328566337925,0.8980336797639392,25.077221202338684,-0.5655528991542454,64.83082706766918,45.0,0.030809458483798523,
RETEST_GATED,5,2026,143,0.43356643356643354,-0.004065160812141868,-0.02523897204180033,-0.5813179961362871,-3.609173001977447,0.992075979237445,0.9519342067872321,16.249594157834398,-0.2221085011060021,80.45454545454545,45.0,0.021173811229658453,
BOS_ONLY,5,2018,732,0.40437158469945356,0.04948816053360578,-0.04824061969336199,36.225333510599434,-35.31213361554098,1.094644135839339,0.9167559947897966,51.27144392785322,-0.6887290645691696,53.53142076502732,35.0,0.09772878022696779,197.47911252551688
