strategy,timeframe_minutes,avg_gross_R,avg_cost_R,cost_pct_of_gross
CONTROL,5,-5.682186951095855e-05,0.056663922291531166,
RETEST_GATED,5,-0.03328571223038894,0.05342865000088707,
BOS_ONLY,5,0.01739619725939449,0.05432808748442158,312.2986401817369
SEQUENTIAL_BOS,5,0.03464961028307336,0.061924176222582186,178.715361346597
CRT_V2_B_LEGACY_EXP6,5,0.07949563679362089,0.050201158399056534,63.14957703827705
CONTROL,15,-0.007097927399287037,0.02945307694766894,
RETEST_GATED,15,-0.018807253639116263,0.028054958102484758,
BOS_ONLY,15,-0.01949614533633019,0.028991053070100373,
SEQUENTIAL_BOS,15,0.28776635263064576,0.0269185904765976,9.354321737242222
CRT_V2_B_LEGACY_EXP6,15,0.12048922730790526,0.02620369175432973,21.747746532864117
CONTROL,30,-0.028211811943071766,0.019741699204295065,
RETEST_GATED,30,0.06678075741673643,0.018707130341061605,28.0127555671797
BOS_ONLY,30,-0.01447252732511482,0.019221001534722868,
SEQUENTIAL_BOS,30,0.010049738726382755,0.019767164768076474,196.69332015750177
CRT_V2_B_LEGACY_EXP6,30,-0.0513727716022712,0.01794076430622401,
CONTROL,60,-0.01396624369776539,0.013420954951865304,
RETEST_GATED,60,0.05782694652296749,0.012603916637173281,21.795922826683064
BOS_ONLY,60,-0.02147278703227156,0.013204672177322572,
SEQUENTIAL_BOS,60,-0.08183643355397341,0.015627680313502194,
CRT_V2_B_LEGACY_EXP6,60,-0.06110702325276954,0.013861857897240188,
