strategy,timeframe_minutes,scenario,N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross
CONTROL,5,full,9020,0.401219512195122,-5.682186951095855e-05,-0.05672074416104212,-0.5125332629888462,-511.6211123325999,0.9998921714527723,0.8989383089245205,524.5623344284553,-0.975329486609145,55.28381374722838,35.0,0.056663922291531166,
CONTROL,5,exclude_best,9019,0.40115312118860186,-0.0002785822444826315,-0.056948515023369874,-2.5125332629888533,-513.6186569957729,0.9994714044313363,0.8985437293483599,526.5598790916281,-0.975423076064625,55.28883468233729,35.0,0.05666993277888724,
CONTROL,5,exclude_top3,9017,0.40102029499833647,-0.0007222505559486378,-0.05740382921924476,-6.5125332629888675,-517.61032806993,0.9986298703884644,0.8977552454112289,530.5515501657854,-0.975607983631729,55.296661860929355,35.0,0.05668157866329612,
CONTROL,5,exclude_top1pct,8930,0.3951847704367301,-0.02021416945834142,-0.07734555688254423,-180.51253326298888,-690.6958229611199,0.9620231395235292,0.8635652708525395,693.9869393042975,-0.995257668182521,55.02351623740201,35.0,0.05713138742420281,
RETEST_GATED,5,full,2347,0.3953983809118023,-0.03328571223038894,-0.08671436223127602,-78.12156660472284,-203.51860815680482,0.9363975836225998,0.8439200322942889,207.85757225643064,-0.979125301750985,79.88708990200256,40.0,0.05342865000088707,
RETEST_GATED,5,exclude_best,2346,0.39514066496163686,-0.03415241543253318,-0.08760134540421359,-80.12156660472284,-205.51275631828508,0.9347692902039793,0.8423907049101097,209.8517204179109,-0.9793236667729721,79.90622335890878,40.0,0.05344892997168041,
RETEST_GATED,5,exclude_top3,2344,0.3946245733788396,-0.03588804036037664,-0.08937604692101925,-84.12156660472284,-209.49745398286913,0.9315127033667381,0.8393348099802165,213.836418082495,-0.9797089563202843,79.93387372013652,40.0,0.053488006560642606,
RETEST_GATED,5,exclude_top1pct,2324,0.38941480206540446,-0.053408591482238754,-0.10725272376509382,-124.12156660472286,-249.25533003007803,0.8989468349943263,0.8088441926077011,252.8909083658006,-0.9856239263039706,79.03614457831326,40.0,0.05384413228285506,
BOS_ONLY,5,full,6238,0.4086245591535749,0.01739619725939449,-0.036931890225027096,108.51747850410283,-230.38113122371902,1.0336072489472536,0.9328219883474335,248.75667427606305,-0.9261304521544159,58.19814042962488,40.0,0.05432808748442158,312.2986401817369
BOS_ONLY,5,exclude_best,6237,0.40852974186307517,0.017078319465143953,-0.037257740284486245,106.51747850410283,-232.37652615434072,1.032987860266084,0.9322401409401014,248.75667427606305,-0.9341519250914888,58.20185986852653,40.0,0.054336059749630204,318.15811772655707
BOS_ONLY,5,exclude_top3,6235,0.4083400160384924,0.016442257979807993,-0.03790930855706892,102.51747850410284,-236.36453885332475,1.0317490829037448,0.9310772559323757,250.75056924930902,-0.9426281246776316,58.21170809943865,40.0,0.054351566536876915,330.56023451051345
BOS_ONLY,5,exclude_top1pct,6176,0.4026878238341969,-0.0025068849572372365,-0.05727612028847953,-15.482521495897174,-353.7373189016496,0.9952051507147381,0.8968519270441185,357.01354125116427,-0.9908232546641422,58.4520725388601,40.0,0.054769235331242304,
SEQUENTIAL_BOS,5,full,113,0.45132743362831856,0.03464961028307336,-0.027274565939508867,3.9154059619872896,-3.082025951164502,1.071882093600595,0.9468593753148938,16.866257044717244,-0.18273324917278178,71.90265486725664,55.0,0.061924176222582186,178.715361346597
SEQUENTIAL_BOS,5,exclude_best,112,0.44642857142857145,0.017101838946315086,-0.045171540826451265,1.9154059619872896,-5.059212572562542,1.0351645249507733,0.9127685098111732,16.866257044717244,-0.2999605993878269,72.41071428571429,55.0,0.062273379772766306,364.13265244895945
SEQUENTIAL_BOS,5,exclude_top3,110,0.43636363636363634,-0.018950854891024667,-0.08167558599868255,-2.0845940380127135,-8.98431445985508,0.9617293876511295,0.8450914786802043,18.83656316105146,-0.4769614490201712,73.36363636363636,55.0,0.06272473110765787,
