strategy,timeframe_minutes,trades_per_day,trades_per_week,trades_per_month
CONTROL,5,2.911555842479019,20.380890897353133,88.62048095545514
RETEST_GATED,5,0.7575855390574564,5.303098773402195,23.05900984506133
BOS_ONLY,5,2.013557133634603,14.094899935442221,61.28764525500323
SEQUENTIAL_BOS,5,0.03647514525500323,0.2553260167850226,1.1102122336991607
CRT_V2_B_LEGACY_EXP6,5,0.19819238218205293,1.3873466752743706,6.032480632666236
CONTROL,15,1.0558424790187217,7.390897353131052,32.137205455132346
RETEST_GATED,15,0.24435119431891542,1.7104583602324082,7.4374394770819885
BOS_ONLY,15,0.6681730148482892,4.677211103938025,20.3375161394448
SEQUENTIAL_BOS,15,0.015171078114912848,0.10619754680438993,0.4617696901226598
CRT_V2_B_LEGACY_EXP6,15,0.06778566817301485,0.474499677211104,2.0632262750161394
CONTROL,30,0.565526145900581,3.958683021304067,17.213202065848936
RETEST_GATED,30,0.12007746933505488,0.8405422853453841,3.6548579728857327
BOS_ONLY,30,0.34151065203357006,2.3905745642349903,10.394730471271789
SEQUENTIAL_BOS,30,0.01065203357004519,0.07456423499031634,0.3242212717882505
CRT_V2_B_LEGACY_EXP6,30,0.03195610071013557,0.223692704970949,0.9726638153647514
CONTROL,60,0.24564234990316333,1.7194964493221434,7.476739025177534
RETEST_GATED,60,0.056810845706907684,0.3976759199483538,1.7291801162040026
BOS_ONLY,60,0.16268560361523562,1.1387992253066495,4.951743060038734
SEQUENTIAL_BOS,60,0.0032278889606197547,0.022595222724338282,0.09824887023886378
CRT_V2_B_LEGACY_EXP6,60,0.016785022595222725,0.11749515816655907,0.5108941252420917
