model,scope,retention_pct,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
Current BOS 5/5 (same-bar allowed),All,100.0,705,100.0,289,415,1,40.99290780141844,-0.03634126434069508,-0.6087169597707835,-25.620591360190033,0.9304045369352899,42.43787130874263,284,421,0,40.283687943262414,-0.06957314333917415,-0.661561303094527,-49.04906605411777,0.8717849563156026,60.29673416610867,1.0192036899220243,0.9002764811316044
Current BOS 5/5 (same-bar allowed),Long,51.347517730496456,362,51.347517730496456,155,206,1,42.81767955801105,-0.046083697371847025,-0.5107645514584898,-16.682298448608623,0.9081052039754833,27.122678931948105,153,209,0,42.26519337016575,-0.07918715063492883,-0.5384508455502213,-28.665748529844237,0.8481279008208226,36.58567197245706,0.9470253953625475,0.9086052151015405
Current BOS 5/5 (same-bar allowed),Short,48.652482269503544,343,48.652482269503544,134,209,0,39.067055393586,-0.026059163007525962,-1.0,-8.938292911581405,0.9520989289043768,24.790051472734717,131,212,0,38.19241982507289,-0.0594265817034214,-1.0065409858650949,-20.38331752427354,0.8948250144577898,30.824540366654986,1.0953801990489356,0.8914863887201852
Structural BOS 2/2 (later only),All,36.170212765957444,255,36.170212765957444,111,144,0,43.529411764705884,0.0515341330144098,-0.29658504589255247,13.141203918674499,1.106226988226138,20.678426822844266,110,145,0,43.13725490196079,0.014783322354502146,-0.35859430753750293,3.7697472003980472,1.0291094442662823,23.979796701505276,1.0415206664805596,0.8702219962309125
Structural BOS 2/2 (later only),Long,20.141843971631207,142,20.141843971631207,67,75,0,47.183098591549296,0.06424760645952092,-0.15824739078700484,9.12316011725197,1.1480502162651522,10.964833026136331,67,75,0,47.183098591549296,0.026410215468800007,-0.17787116678931056,3.7502505965696007,1.0578931370893754,12.00934784051788,0.9431405188487757,0.8535438427969336
Structural BOS 2/2 (later only),Short,16.02836879432624,113,16.02836879432624,44,69,0,38.93805309734513,0.035557909747101976,-1.0,4.0180438014225235,1.0647167146142669,16.68961360308358,43,70,0,38.05309734513274,0.00017253631706591328,-1.0085282392056065,0.0194966038284482,1.0003012281927084,18.14807989860381,1.1651488166019166,0.8911803837320185
Structural BOS 3/3 (later only),All,23.404255319148938,165,23.404255319148938,71,94,0,43.03030303030303,0.004125874357575482,-1.0,0.6807692689999545,1.0078241318601135,15.325763870250197,71,94,0,43.03030303030303,-0.03430139044300135,-1.0071404289247086,-5.659729423095223,0.9378960345955872,17.371169350260672,1.0017000542337107,0.9038486527513296
Structural BOS 3/3 (later only),Long,12.340425531914894,87,12.340425531914894,41,46,0,47.12643678160919,0.03981912329506462,-0.0878283198351195,3.464263726670622,1.0874071624452954,7.308334019450163,41,46,0,47.12643678160919,0.00032479846506531867,-0.11966608577535214,0.028257466460682723,1.0006791510440887,8.594009719151469,0.893862342272552,0.8930123375265158
Structural BOS 3/3 (later only),Short,11.063829787234043,78,11.063829787234043,30,48,0,38.46153846153847,-0.03568582638039319,-1.0,-2.783494457670669,0.941245851782631,17.715499166962104,30,48,0,38.46153846153847,-0.07292290884046035,-1.0166477972367116,-5.687986889555908,0.8851517259939448,18.869598300726665,1.1219805791134643,0.9159353120405452
Structural BOS 5/5 (later only),All,10.638297872340425,75,10.638297872340425,30,45,0,40.0,-0.08728021389535985,-1.0,-6.546016042151989,0.8538510774541486,11.155125131292746,29,46,0,38.666666666666664,-0.12583108752139416,-1.0165279123342885,-9.437331564104563,0.7984084915517564,12.082229018589615,0.962206647763022,0.951448246879952
Structural BOS 5/5 (later only),Long,5.1063829787234045,36,5.1063829787234045,16,20,0,44.44444444444444,-0.03319541211583817,-1.0,-1.1950348361701741,0.9396143284898947,6.760194589533558,15,21,0,41.66666666666667,-0.07515322600436468,-1.0162345662460432,-2.7055161361571285,0.8693480279599816,7.6312480419306485,0.8732711576598278,0.9158822587678004
Structural BOS 5/5 (later only),Short,5.531914893617022,39,5.531914893617022,14,25,0,35.8974358974359,-0.13720464630722604,-1.0,-5.350981205981816,0.7859607517607273,9.60770737302473,14,25,0,35.8974358974359,-0.17261065199865222,-1.0198962485123844,-6.731815427947437,0.7421385066475576,10.337769769946648,1.0443009463198165,0.9842783897527073
