Index,model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,trade_id,cost_R,gross_R,net_R,outcome,MFE_R,MAE_R
0,Structural BOS 2/2,Short,2024-01-01 19:40:00-06:00,2024-01-01 20:15:00-06:00,2024-01-01 20:20:00-06:00,2024-01-01 20:25:00-06:00,2024-01-01 20:25:00-06:00,2024-01-01 21:25:00-06:00,16798.25,16806.015119457545,16782.719761084907,16795.75,0.3219525486591993,75.0,-1,0,TIME,C20001,0.09336623911118136,0.3219525486591993,0.22858630954801795,Win,1.3522007043688336,0.22536678406147226
1,Structural BOS 2/2,Short,2024-01-12 01:05:00-06:00,2024-01-12 01:25:00-06:00,2024-01-12 01:30:00-06:00,2024-01-12 01:35:00-06:00,2024-01-12 01:35:00-06:00,2024-01-12 02:05:00-06:00,16715.0,16726.55671930783,16691.886561384337,16726.55671930783,-1.0,75.0,1,0,STOP,C20002,0.0627340667094602,-1.0,-1.0627340667094602,Loss,1.1248867134110105,1.514270575745591
2,Structural BOS 2/2,Long,2024-01-14 23:35:00-06:00,2024-01-15 00:00:00-06:00,2024-01-15 00:05:00-06:00,2024-01-15 00:10:00-06:00,2024-01-15 00:10:00-06:00,2024-01-15 00:25:00-06:00,16779.5,16774.004179800184,16790.491640399632,16790.491640399632,2.0,75.0,1,0,TARGET,C20003,0.13191843503618667,2.0,1.8680815649638134,Win,2.137988429896818,0.13646734658915863
3,Structural BOS 2/2,Short,2024-01-19 08:10:00-06:00,2024-01-19 08:25:00-06:00,2024-01-19 08:40:00-06:00,2024-01-19 08:45:00-06:00,2024-01-19 08:45:00-06:00,2024-01-19 08:50:00-06:00,16972.0,16995.96847279662,16924.063054406764,16995.96847279662,-1.0,90.0,1,1,STOP,C20004,0.030248068208261075,-1.0,-1.030248068208261,Loss,0.4693665756454305,1.1473405182443857
4,Structural BOS 2/2,Long,2024-01-19 11:20:00-06:00,2024-01-19 11:50:00-06:00,2024-01-19 11:55:00-06:00,2024-01-19 12:05:00-06:00,2024-01-19 12:05:00-06:00,2024-01-19 12:55:00-06:00,17116.25,17087.09911817391,17174.551763652187,17174.551763652187,2.0,75.0,1,4,TARGET,C20005,0.02487060269137661,2.0,1.9751293973086235,Win,2.2640824519046294,0.18009746776514096
5,Structural BOS 2/2,Long,2024-01-19 15:00:00-06:00,2024-01-19 15:25:00-06:00,2024-01-19 15:30:00-06:00,2024-01-19 15:35:00-06:00,2024-01-19 15:35:00-06:00,2024-01-21 17:35:00-06:00,17255.25,17235.16088458047,17295.42823083906,17272.75,0.8711184954906435,75.0,1,5,TIME,C20006,0.03608919481318512,0.8711184954906435,0.8350293006774583,Win,1.5431241920120535,0.3360028482606891
6,Structural BOS 2/2,Short,2024-01-24 12:15:00-06:00,2024-01-24 12:35:00-06:00,2024-01-24 12:40:00-06:00,2024-01-24 12:45:00-06:00,2024-01-24 12:45:00-06:00,2024-01-24 13:20:00-06:00,17492.0,17524.060082929973,17427.879834140054,17427.879834140054,2.0,85.0,1,4,TARGET,C20007,0.02261379053770944,2.0,1.9773862094622905,Win,2.284772630189264,0.47566938717250895
7,Structural BOS 2/2,Short,2024-01-25 11:30:00-06:00,2024-01-25 12:15:00-06:00,2024-01-25 12:20:00-06:00,2024-01-25 12:30:00-06:00,2024-01-25 12:30:00-06:00,2024-01-25 12:45:00-06:00,17394.25,17431.384399905404,17319.981200189195,17431.384399905404,-1.0,75.0,0,4,STOP,C20008,0.019523676209844677,-1.0,-1.0195236762098447,Loss,0.18177215781579528,1.0165776233401884
8,Structural BOS 2/2,Short,2024-01-26 15:05:00-06:00,2024-01-26 15:30:00-06:00,2024-01-26 15:55:00-06:00,2024-01-28 17:00:00-06:00,2024-01-28 17:00:00-06:00,2024-01-28 17:20:00-06:00,17258.0,17277.566118161183,17218.867763677637,17277.566118161183,-1.0,85.0,-1,6,STOP,C20009,0.03705384962042778,-1.0,-1.0370538496204278,Loss,0.5749735285928449,1.00939797241855
9,Structural BOS 2/2,Short,2024-01-31 13:40:00-06:00,2024-01-31 14:00:00-06:00,2024-01-31 14:10:00-06:00,2024-01-31 14:15:00-06:00,2024-01-31 14:15:00-06:00,2024-01-31 15:15:00-06:00,17062.25,17129.424524488873,16927.90095102225,17049.5,0.18980409756546457,70.0,-1,5,TIME,C20010,0.010792782018428529,0.18980409756546457,0.17901131554703603,Win,0.8038761779243317,0.8001545289524599
10,Structural BOS 2/2,Short,2024-02-02 14:55:00-06:00,2024-02-02 15:35:00-06:00,2024-02-02 15:40:00-06:00,2024-02-02 15:50:00-06:00,2024-02-02 15:50:00-06:00,2024-02-04 17:00:00-06:00,17484.75,17507.633343361005,17438.983313277993,17507.633343361005,-1.0,100.0,1,5,STOP,C20011,0.03168243331240874,-1.0,-1.0316824333124088,Loss,0.6008737352353382,1.0706477464193298
11,Structural BOS 2/2,Long,2024-02-05 07:40:00-06:00,2024-02-05 08:15:00-06:00,2024-02-05 08:25:00-06:00,2024-02-05 08:30:00-06:00,2024-02-05 08:30:00-06:00,2024-02-05 08:35:00-06:00,17519.0,17501.90426177012,17553.191476459764,17501.90426177012,-1.0,75.0,1,1,STOP,C20012,0.04240823006594898,-1.0,-1.042408230065949,Loss,0.2485999693521147,1.8864350615542822
12,Structural BOS 2/2,Short,2024-02-08 01:50:00-06:00,2024-02-08 02:10:00-06:00,2024-02-08 02:15:00-06:00,2024-02-08 02:20:00-06:00,2024-02-08 02:20:00-06:00,2024-02-08 02:30:00-06:00,17615.0,17624.380663876804,17596.238672246393,17624.380663876804,-1.0,90.0,1,0,STOP,C20013,0.07728664085201488,-1.0,-1.077286640852015,Loss,0.15990339486623767,1.1459743298747034
13,Structural BOS 2/2,Long,2024-02-09 01:15:00-06:00,2024-02-09 01:45:00-06:00,2024-02-09 01:50:00-06:00,2024-02-09 01:55:00-06:00,2024-02-09 01:55:00-06:00,2024-02-09 02:00:00-06:00,17673.5,17666.988003862152,17686.523992275692,17686.523992275692,2.0,75.0,1,0,TARGET,C20014,0.11133298986255494,2.0,1.888667010137445,Win,3.60872449899316,0.1919534307975085
14,Structural BOS 2/2,Long,2024-02-09 09:30:00-06:00,2024-02-09 10:00:00-06:00,2024-02-09 10:05:00-06:00,2024-02-09 10:10:00-06:00,2024-02-09 10:10:00-06:00,2024-02-09 10:35:00-06:00,17786.5,17761.597106120607,17836.305787758785,17761.597106120607,-1.0,85.0,1,2,STOP,C20015,0.029113082339396044,-1.0,-1.0291130823393961,Loss,0.11042893301150224,1.3151082022278904
15,Structural BOS 2/2,Long,2024-02-09 11:40:00-06:00,2024-02-09 11:45:00-06:00,2024-02-09 11:50:00-06:00,2024-02-09 11:55:00-06:00,2024-02-09 11:55:00-06:00,2024-02-09 12:55:00-06:00,17810.75,17791.16328180978,17849.923436380446,17825.75,0.7658250787254336,75.0,1,3,TIME,C20016,0.03701487880506484,0.7658250787254336,0.7288101999203688,Win,1.05939135890358,0.20422002099346118
16,Structural BOS 2/2,Long,2024-02-12 09:40:00-06:00,2024-02-12 10:20:00-06:00,2024-02-12 10:25:00-06:00,2024-02-12 10:30:00-06:00,2024-02-12 10:30:00-06:00,2024-02-12 10:45:00-06:00,17899.5,17877.557354124285,17943.385291751427,17877.557354124285,-1.0,85.0,1,3,STOP,C20017,0.03304068270100394,-1.0,-1.033040682701004,Loss,0.3987668601845303,1.3216273080401575
17,Structural BOS 2/2,Long,2024-02-13 14:55:00-06:00,2024-02-13 15:40:00-06:00,2024-02-13 15:45:00-06:00,2024-02-13 15:50:00-06:00,2024-02-13 15:50:00-06:00,2024-02-13 17:50:00-06:00,17488.25,17466.217763222474,17532.314473555056,17477.75,-0.476574398960248,100.0,-1,5,TIME,C20018,0.032906327547257155,-0.476574398960248,-0.5094807265075052,Loss,0.15885813298675866,0.9077607599243352
18,Structural BOS 2/2,Long,2024-02-20 23:20:00-06:00,2024-02-20 23:35:00-06:00,2024-02-20 23:40:00-06:00,2024-02-20 23:55:00-06:00,2024-02-20 23:55:00-06:00,2024-02-21 00:25:00-06:00,17348.25,17341.125430030555,17362.49913993889,17341.125430030555,-1.0,75.0,-1,0,STOP,C20019,0.10176052773842312,-1.0,-1.101760527738423,Loss,1.8246715318613802,1.1579646259889527
19,Structural BOS 2/2,Short,2024-02-23 09:40:00-06:00,2024-02-23 09:55:00-06:00,2024-02-23 10:00:00-06:00,2024-02-23 10:10:00-06:00,2024-02-23 10:10:00-06:00,2024-02-23 10:25:00-06:00,17753.5,17796.90958671497,17666.68082657006,17796.90958671497,-1.0,100.0,1,2,STOP,C20020,0.016701379922375113,-1.0,-1.0167013799223752,Loss,0.17853199227366498,1.0193600849173776
20,Structural BOS 2/2,Short,2024-02-26 14:55:00-06:00,2024-02-26 15:40:00-06:00,2024-02-26 15:45:00-06:00,2024-02-26 15:50:00-06:00,2024-02-26 15:50:00-06:00,2024-02-26 17:40:00-06:00,17739.0,17756.05990438743,17704.880191225133,17756.05990438743,-1.0,75.0,0,5,STOP,C20021,0.04249730734330007,-1.0,-1.0424973073433002,Loss,0.5715155125478284,1.0404513177152774
21,Structural BOS 2/2,Short,2024-02-27 23:25:00-06:00,2024-02-28 00:05:00-06:00,2024-02-28 00:10:00-06:00,2024-02-28 00:15:00-06:00,2024-02-28 00:15:00-06:00,2024-02-28 01:00:00-06:00,17778.75,17784.69672682966,17766.85654634068,17784.69672682966,-1.0,90.0,0,0,STOP,C20022,0.12191580692488356,-1.0,-1.1219158069248836,Loss,1.6815973368949455,2.101996671118682
22,Structural BOS 2/2,Long,2024-02-28 10:00:00-06:00,2024-02-28 10:20:00-06:00,2024-02-28 10:25:00-06:00,2024-02-28 10:35:00-06:00,2024-02-28 10:35:00-06:00,2024-02-28 11:15:00-06:00,17752.5,17726.37528573309,17804.74942853382,17726.37528573309,-1.0,75.0,-1,3,STOP,C20023,0.027751499694613886,-1.0,-1.027751499694614,Loss,0.35407085817265993,1.0143651612514042
23,Structural BOS 2/2,Long,2024-03-01 08:30:00-06:00,2024-03-01 09:05:00-06:00,2024-03-01 09:30:00-06:00,2024-03-01 09:35:00-06:00,2024-03-01 09:35:00-06:00,2024-03-01 10:05:00-06:00,17945.0,17909.104698882555,18016.79060223489,18016.79060223489,2.0,90.0,1,2,TARGET,C20024,0.020197629701667146,2.0,1.979802370298333,Win,2.1451275683149937,0.13929399794253206
24,Structural BOS 2/2,Short,2024-03-04 03:25:00-06:00,2024-03-04 03:55:00-06:00,2024-03-04 04:00:00-06:00,2024-03-04 04:10:00-06:00,2024-03-04 04:10:00-06:00,2024-03-04 05:10:00-06:00,18112.5,18124.604705138685,18088.29058972263,18101.25,0.9293906684307487,90.0,1,1,TIME,C20025,0.05989406529887301,0.9293906684307487,0.8694966031318757,Win,1.2391875579077174,0.660900030884116
25,Structural BOS 2/2,Long,2024-03-07 10:20:00-06:00,2024-03-07 10:55:00-06:00,2024-03-07 11:00:00-06:00,2024-03-07 11:05:00-06:00,2024-03-07 11:05:00-06:00,2024-03-07 12:05:00-06:00,18097.75,18067.241028791195,18158.76794241761,18099.25,0.0491658663195797,75.0,1,3,TIME,C20026,0.02376350205446354,0.0491658663195797,0.02540236426511616,Win,0.5981847068882201,0.8112367942730656
26,Structural BOS 2/2,Long,2024-03-13 07:15:00-05:00,2024-03-13 08:00:00-05:00,2024-03-13 08:05:00-05:00,2024-03-13 08:10:00-05:00,2024-03-13 08:10:00-05:00,2024-03-13 08:30:00-05:00,17979.75,17963.105510865786,18013.038978268425,17963.105510865786,-1.0,75.0,0,1,STOP,C20027,0.043557960484932594,-1.0,-1.0435579604849325,Loss,0.1201598909929175,3.409536906924034
27,Structural BOS 2/2,Long,2024-03-15 02:55:00-05:00,2024-03-15 03:05:00-05:00,2024-03-15 03:10:00-05:00,2024-03-15 03:20:00-05:00,2024-03-15 03:20:00-05:00,2024-03-15 04:05:00-05:00,17785.5,17770.724309713318,17815.051380573364,17815.051380573364,2.0,75.0,-1,0,TARGET,C20028,0.049067081532797464,2.0,1.9509329184672026,Win,2.0303619944605846,0.6767873314868615
28,Structural BOS 2/2,Long,2024-03-19 03:05:00-05:00,2024-03-19 03:35:00-05:00,2024-03-19 04:05:00-05:00,2024-03-19 04:10:00-05:00,2024-03-19 04:10:00-05:00,2024-03-19 04:35:00-05:00,17754.25,17730.36491111151,17802.02017777698,17730.36491111151,-1.0,75.0,0,1,STOP,C20029,0.030353665560328643,-1.0,-1.0303536655603287,Loss,0.052333906138497664,1.2036798411854461
29,Structural BOS 2/2,Short,2024-03-22 01:30:00-05:00,2024-03-22 02:00:00-05:00,2024-03-22 02:05:00-05:00,2024-03-22 02:10:00-05:00,2024-03-22 02:10:00-05:00,2024-03-22 02:45:00-05:00,18094.25,18105.324893792553,18072.100212414894,18105.324893792553,-1.0,90.0,0,0,STOP,C20030,0.06546338173351349,-1.0,-1.0654633817335135,Loss,1.4898562739351344,1.151252575313513
30,Structural BOS 2/2,Long,2024-04-01 21:30:00-05:00,2024-04-01 21:50:00-05:00,2024-04-01 22:05:00-05:00,2024-04-01 22:10:00-05:00,2024-04-01 22:10:00-05:00,2024-04-01 22:40:00-05:00,18028.75,18019.980343345822,18046.289313308353,18019.980343345822,-1.0,90.0,-1,0,STOP,C20031,0.08267142359040817,-1.0,-1.0826714235904082,Loss,0.2280590995597467,1.254325047578607
31,Structural BOS 2/2,Short,2024-04-04 11:50:00-05:00,2024-04-04 12:25:00-05:00,2024-04-04 12:30:00-05:00,2024-04-04 12:35:00-05:00,2024-04-04 12:35:00-05:00,2024-04-04 12:45:00-05:00,18077.75,18093.650535789777,18045.948928420443,18045.948928420443,2.0,70.0,1,4,TARGET,C20032,0.04559594780863535,2.0,1.9544040521913646,Win,2.201183687313431,0.06289096249466945
32,Structural BOS 2/2,Long,2024-04-10 20:50:00-05:00,2024-04-10 21:10:00-05:00,2024-04-10 21:15:00-05:00,2024-04-10 21:30:00-05:00,2024-04-10 21:30:00-05:00,2024-04-10 22:30:00-05:00,17731.5,17720.443266001123,17753.61346799776,17742.25,0.9722581732625776,75.0,-1,0,TIME,C20033,0.0655709000572507,0.9722581732625776,0.9066872732053268,Win,1.2888073459528586,0.5652663798038854
33,Structural BOS 2/2,Long,2024-04-11 07:30:00-05:00,2024-04-11 08:05:00-05:00,2024-04-11 08:15:00-05:00,2024-04-11 08:25:00-05:00,2024-04-11 08:25:00-05:00,2024-04-11 08:30:00-05:00,17805.25,17768.625670197667,17878.49865960467,17768.625670197667,-1.0,90.0,0,1,STOP,C20034,0.01979558408066271,-1.0,-1.0197955840806627,Loss,0.24573828513926124,1.085344092698404
34,Structural BOS 2/2,Short,2024-04-12 02:20:00-05:00,2024-04-12 02:50:00-05:00,2024-04-12 02:55:00-05:00,2024-04-12 03:05:00-05:00,2024-04-12 03:05:00-05:00,2024-04-12 03:25:00-05:00,18005.5,18019.02128446206,17978.457431075887,18019.02128446206,-1.0,90.0,1,0,STOP,C20035,0.0536191662881145,-1.0,-1.0536191662881145,Loss,0.5916597659378152,1.2202982672467437
35,Structural BOS 2/2,Long,2024-04-16 06:10:00-05:00,2024-04-16 06:30:00-05:00,2024-04-16 06:35:00-05:00,2024-04-16 06:45:00-05:00,2024-04-16 06:45:00-05:00,2024-04-16 07:05:00-05:00,17450.75,17425.29044336571,17501.66911326858,17425.29044336571,-1.0,90.0,-1,1,STOP,C20036,0.028476536744694348,-1.0,-1.0284765367446944,Loss,0.3142238537345583,1.3943683509471025
36,Structural BOS 2/2,Long,2024-04-18 00:30:00-05:00,2024-04-18 01:05:00-05:00,2024-04-18 01:10:00-05:00,2024-04-18 01:15:00-05:00,2024-04-18 01:15:00-05:00,2024-04-18 02:05:00-05:00,17305.25,17292.626373362786,17330.497253274425,17292.626373362786,-1.0,90.0,-1,0,STOP,C20037,0.057431990095675595,-1.0,-1.0574319900956757,Loss,0.45549509386225473,1.7625679719017684
