setup_id,setup_timestamp,direction,score,status,bos_timestamp,setup_to_bos_bars,opposite_bos_timestamp
S00057,2024-01-18 11:00:00-06:00,Short,100,Immediate same-bar,2024-01-18 11:00:00-06:00,0.0,
S00058,2024-01-18 12:00:00-06:00,Short,100,Immediate same-bar,2024-01-18 12:00:00-06:00,0.0,
S00059,2024-01-18 13:00:00-06:00,Long,100,Immediate same-bar,2024-01-18 13:00:00-06:00,0.0,
S00060,2024-01-18 15:15:00-06:00,Long,75,Immediate same-bar,2024-01-18 15:15:00-06:00,0.0,
S00061,2024-01-19 07:15:00-06:00,Short,75,Never within expiry,,,
S00062,2024-01-19 08:10:00-06:00,Short,90,Immediate same-bar,2024-01-19 08:10:00-06:00,0.0,
S00063,2024-01-19 10:05:00-06:00,Long,85,Immediate same-bar,2024-01-19 10:05:00-06:00,0.0,
S00064,2024-01-19 11:20:00-06:00,Long,75,Immediate same-bar,2024-01-19 11:20:00-06:00,0.0,
S00065,2024-01-19 15:00:00-06:00,Long,75,Immediate same-bar,2024-01-19 15:00:00-06:00,0.0,
S00066,2024-01-21 23:25:00-06:00,Short,90,Immediate same-bar,2024-01-21 23:25:00-06:00,0.0,
S00067,2024-01-22 07:30:00-06:00,Long,75,Opposite BOS first,,,2024-01-22 07:35:00-06:00
S00068,2024-01-22 08:35:00-06:00,Short,90,Later within expiry,2024-01-22 08:40:00-06:00,1.0,
S00069,2024-01-22 09:25:00-06:00,Short,75,Immediate same-bar,2024-01-22 09:25:00-06:00,0.0,
S00070,2024-01-23 01:00:00-06:00,Long,90,Immediate same-bar,2024-01-23 01:00:00-06:00,0.0,
S00071,2024-01-23 02:10:00-06:00,Short,90,Immediate same-bar,2024-01-23 02:10:00-06:00,0.0,
S00072,2024-01-23 08:30:00-06:00,Short,90,Immediate same-bar,2024-01-23 08:30:00-06:00,0.0,
S00073,2024-01-23 14:50:00-06:00,Long,75,Immediate same-bar,2024-01-23 14:50:00-06:00,0.0,
S00074,2024-01-23 19:15:00-06:00,Long,75,Never within expiry,,,
S00075,2024-01-24 06:35:00-06:00,Long,90,Immediate same-bar,2024-01-24 06:35:00-06:00,0.0,
S00076,2024-01-24 11:30:00-06:00,Long,75,Immediate same-bar,2024-01-24 11:30:00-06:00,0.0,
S00077,2024-01-24 12:15:00-06:00,Short,85,Immediate same-bar,2024-01-24 12:15:00-06:00,0.0,
S00078,2024-01-24 14:15:00-06:00,Short,75,Immediate same-bar,2024-01-24 14:15:00-06:00,0.0,
S00079,2024-01-25 06:55:00-06:00,Long,75,Later within expiry,2024-01-25 07:30:00-06:00,7.0,
S00080,2024-01-25 07:30:00-06:00,Long,90,Immediate same-bar,2024-01-25 07:30:00-06:00,0.0,
S00081,2024-01-25 11:05:00-06:00,Long,85,Opposite BOS first,,,2024-01-25 11:30:00-06:00
S00082,2024-01-25 11:30:00-06:00,Short,75,Immediate same-bar,2024-01-25 11:30:00-06:00,0.0,
S00083,2024-01-26 09:50:00-06:00,Long,85,Immediate same-bar,2024-01-26 09:50:00-06:00,0.0,
S00084,2024-01-26 12:45:00-06:00,Short,85,Immediate same-bar,2024-01-26 12:45:00-06:00,0.0,
S00085,2024-01-26 13:35:00-06:00,Short,85,Opposite BOS first,,,2024-01-26 13:40:00-06:00
S00086,2024-01-26 13:40:00-06:00,Long,85,Immediate same-bar,2024-01-26 13:40:00-06:00,0.0,
S00087,2024-01-26 15:05:00-06:00,Short,85,Immediate same-bar,2024-01-26 15:05:00-06:00,0.0,
S00088,2024-01-29 08:35:00-06:00,Long,90,Immediate same-bar,2024-01-29 08:35:00-06:00,0.0,
S00089,2024-01-29 10:00:00-06:00,Long,85,Never within expiry,,,
