model,period_type,period,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
Current BOS 5/5 (same-bar allowed),Year,2024,296,41.98581560283688,116,179,1,39.189189189189186,-0.06436518299672025,-0.8126700053069165,-19.052094167029196,0.8814685847358281,33.414588797716526,113,183,0,38.17567567567568,-0.10559931722441007,-0.8496125856371621,-31.25739789842538,0.8143583835450705,42.17226121858838,0.9853930765259971,0.9233573506617921
Current BOS 5/5 (same-bar allowed),Year,2025,266,37.730496453900706,111,155,0,41.72932330827068,-0.022508192470017098,-0.4115862954023387,-5.987179197024548,0.9553328566337925,20.60917736233287,109,157,0,40.97744360902256,-0.05331765095381562,-0.46187128475311845,-14.182495153714955,0.8980336797639392,25.077221202338684,1.0480050075275567,0.8606421943400083
Current BOS 5/5 (same-bar allowed),Year,2026,143,20.28368794326241,62,81,0,43.35664335664335,-0.004065160812141868,-0.5552848127424578,-0.5813179961362871,0.992075979237445,14.872319375713285,62,81,0,43.35664335664335,-0.02523897204180033,-0.5643826995049048,-3.609173001977447,0.9519342067872321,16.249594157834398,1.0356148163706427,0.9262260119401982
Current BOS 5/5 (same-bar allowed),Chronological half,First 50%,352,49.9290780141844,142,209,1,40.340909090909086,-0.03473906628190133,-0.6865034574558859,-12.228151331229268,0.9345812507243747,33.414588797716526,139,213,0,39.48863636363637,-0.07406184308408799,-0.7146849612568633,-26.069768765598972,0.8666499278539006,42.17226121858838,1.0199068326751315,0.9131412974817998
Current BOS 5/5 (same-bar allowed),Chronological half,Second 50%,353,50.0709219858156,147,206,0,41.64305949008499,-0.037938923594789696,-0.5505182411634763,-13.392440028960763,0.9260962981446628,21.378351545297278,145,208,0,41.07648725212464,-0.06509715945756034,-0.5643826995049048,-22.9792972885188,0.8771517986592211,26.238814339924627,1.018502539074733,0.8874481090203614
Structural BOS 2/2 (later only),Year,2024,107,15.177304964539006,42,65,0,39.25233644859813,-0.05038517753927227,-1.0,-5.391213996702133,0.9086059181228264,20.678426822844266,42,65,0,39.25233644859813,-0.09638309736136703,-1.0139681699757401,-10.312991417666273,0.8339575855122016,23.979796701505276,1.0163116058084936,0.8979982678656265
Structural BOS 2/2 (later only),Year,2025,99,14.042553191489361,49,50,0,49.494949494949495,0.18255625375383625,-0.029003462052983462,18.07306912162979,1.4541983570267356,6.2442502483983375,48,51,0,48.484848484848484,0.14805956414261895,-0.045825470043713235,14.657896850119275,1.3504979487430782,6.8688586742069795,1.1111644930005076,0.7770607966775704
Structural BOS 2/2 (later only),Year,2026,49,6.950354609929078,20,29,0,40.816326530612244,0.009374465178506965,-0.6881443644012437,0.45934879374684123,1.01842634172053,4.337234414264497,20,29,0,40.816326530612244,-0.011737923103162328,-0.7098358715399794,-0.5751582320549541,0.9775080667695724,4.610244844869027,0.9558600678364007,0.9977913368608392
Structural BOS 2/2 (later only),Chronological half,First 50%,127,18.01418439716312,52,75,0,40.94488188976378,-0.015694450282040157,-1.0,-1.9931951858191002,0.9705215644910591,20.678426822844266,52,75,0,40.94488188976378,-0.05984244342508825,-1.0098539501316426,-7.599990314986208,0.8932398031796889,23.979796701505276,1.0443443771603753,0.8807191333844452
Structural BOS 2/2 (later only),Chronological half,Second 50%,128,18.156028368794328,59,69,0,46.09375,0.11823749300385625,-0.10450884272608166,15.1343991044936,1.2698073824015903,7.255421193620943,58,70,0,45.3125,0.08882607433893949,-0.12521261896276725,11.369737515384255,1.1949708649927289,8.172919492477607,1.0387190160404298,0.8598068679613913
Structural BOS 3/3 (later only),Year,2024,68,9.645390070921986,27,41,0,39.705882352941174,-0.05526881184202101,-1.0,-3.7582792052574288,0.9038182632616287,15.325763870250197,27,41,0,39.705882352941174,-0.1045432238764547,-1.0177324481838212,-7.10893922359892,0.827527060051312,17.371169350260672,1.0281197975558383,0.9602961805478868
Structural BOS 3/3 (later only),Year,2025,64,9.078014184397164,30,34,0,46.875,0.07304843068058257,-0.2566119545747345,4.675099563557285,1.15554483385614,6.926812881133773,30,34,0,46.875,0.03847886358425305,-0.29606053559564804,2.4626472693921952,1.0780751099294865,8.1191639854522,1.0056962609192588,0.8426567093949896
Structural BOS 3/3 (later only),Year,2026,33,4.680851063829787,14,19,0,42.42424242424242,-0.00715306331211824,-1.0,-0.23605108929990193,0.9867964631403877,8.3593722781037,14,19,0,42.42424242424242,-0.030710226329954536,-1.0071404289247086,-1.0134374688884997,0.9448421542362153,8.674925422100921,0.9395091519979596,0.9062078189525374
Structural BOS 3/3 (later only),Chronological half,First 50%,82,11.631205673758865,35,47,0,42.68292682926829,-0.005658170935602886,-1.0,-0.4639700167194366,0.9895571592734967,15.325763870250197,35,47,0,42.68292682926829,-0.051411842546757354,-1.0119110600536914,-4.215771088834103,0.9099724594725896,17.371169350260672,1.0351164289271315,0.9414077098158715
Structural BOS 3/3 (later only),Chronological half,Second 50%,83,11.77304964539007,36,47,0,43.373493975903614,0.013792039586980612,-0.6726446666752075,1.1447392857193908,1.0268847911501382,8.3593722781037,36,47,0,43.373493975903614,-0.01739708836459186,-0.6990050657746404,-1.4439583342611244,0.9674091010122436,9.635677265733085,0.9686862864643069,0.8667421144466014
Structural BOS 5/5 (later only),Year,2024,29,4.113475177304965,9,20,0,31.03448275862069,-0.2795194108053243,-1.0,-8.106062913354403,0.5946968543322798,11.155125131292746,8,21,0,27.586206896551722,-0.3255814573349215,-1.0309767855543104,-9.441862262712723,0.5491187258375255,12.082229018589615,0.9416327951384154,1.115099612732463
