trade_id,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,exit_timestamp,setup_to_bos_bars,bos_to_retest_bars,retest_to_confirm_bars,same_bar_setup_bos,confirm_equals_entry,confirm_to_entry_bars,setup_not_after_bos,retest_after_bos,confirm_after_retest,event_order_pass,bos_equals_retest,retest_equals_confirm,setup_equals_bos_equals_retest,bos_equals_retest_equals_confirm
A0022,Short,2024-01-22 09:25:00-06:00,2024-01-22 09:25:00-06:00,2024-01-22 09:35:00-06:00,2024-01-22 09:40:00-06:00,2024-01-22 09:40:00-06:00,2024-01-22 10:40:00-06:00,0,2,1,True,True,0,True,True,True,True,False,False,False,False
A0023,Long,2024-01-24 06:35:00-06:00,2024-01-24 06:35:00-06:00,2024-01-24 06:40:00-06:00,2024-01-24 06:45:00-06:00,2024-01-24 06:45:00-06:00,2024-01-24 07:10:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0024,Short,2024-01-26 15:05:00-06:00,2024-01-26 15:05:00-06:00,2024-01-26 15:10:00-06:00,2024-01-26 15:20:00-06:00,2024-01-26 15:20:00-06:00,2024-01-28 17:00:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0025,Long,2024-01-29 08:35:00-06:00,2024-01-29 08:35:00-06:00,2024-01-29 08:40:00-06:00,2024-01-29 08:50:00-06:00,2024-01-29 08:50:00-06:00,2024-01-29 09:00:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0026,Short,2024-01-30 00:20:00-06:00,2024-01-30 00:20:00-06:00,2024-01-30 00:25:00-06:00,2024-01-30 00:30:00-06:00,2024-01-30 00:30:00-06:00,2024-01-30 01:10:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0027,Long,2024-01-31 01:25:00-06:00,2024-01-31 01:25:00-06:00,2024-01-31 01:40:00-06:00,2024-01-31 01:45:00-06:00,2024-01-31 01:45:00-06:00,2024-01-31 02:35:00-06:00,0,3,1,True,True,0,True,True,True,True,False,False,False,False
A0028,Long,2024-01-31 11:00:00-06:00,2024-01-31 11:00:00-06:00,2024-01-31 11:15:00-06:00,2024-01-31 11:25:00-06:00,2024-01-31 11:25:00-06:00,2024-01-31 12:25:00-06:00,0,3,2,True,True,0,True,True,True,True,False,False,False,False
A0029,Long,2024-02-02 02:35:00-06:00,2024-02-02 02:35:00-06:00,2024-02-02 02:40:00-06:00,2024-02-02 02:45:00-06:00,2024-02-02 02:45:00-06:00,2024-02-02 03:40:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0030,Long,2024-02-02 13:00:00-06:00,2024-02-02 13:00:00-06:00,2024-02-02 13:05:00-06:00,2024-02-02 13:10:00-06:00,2024-02-02 13:10:00-06:00,2024-02-02 14:10:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0031,Long,2024-02-05 06:10:00-06:00,2024-02-05 06:10:00-06:00,2024-02-05 06:15:00-06:00,2024-02-05 06:20:00-06:00,2024-02-05 06:20:00-06:00,2024-02-05 07:20:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
