timing,swing_model,diagnostic_state,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
All,2/2,Break,533,75.60283687943263,218,315,0,40.90056285178236,-0.03044517104156586,-0.6070784591013549,-16.227276165154603,0.9413680800044625,34.904672841265,216,317,0,40.52532833020638,-0.06310090486794341,-0.658995187666252,-33.63278229461384,0.8830476879358299,47.662113629026166,1.034065394625502,0.8957899954094438
All,2/2,No break,172,24.397163120567377,71,100,1,41.27906976744186,-0.05461229764555481,-1.0,-9.393315195035427,0.8971955692654318,15.28287624625084,68,104,0,39.53488372093023,-0.08962955674130198,-1.0054920189182206,-15.41628375950394,0.8376827278564668,19.976942606576056,0.9731496863932235,0.9141793700264393
All,3/3,Break,615,87.23404255319149,246,369,0,40.0,-0.0602224732169206,-0.6412533393558586,-37.036821028406166,0.8859996989279897,52.746123622665515,243,372,0,39.51219512195122,-0.09288970955415894,-0.6747910564626521,-57.12717137580775,0.8307764595324,67.9321082006456,1.0024853334310422,0.908920752818785
All,3/3,No break,90,12.76595744680851,43,46,1,47.77777777777778,0.1268469963135125,-0.11558397352692995,11.416229668216126,1.263944389656682,6.0,41,49,0,45.55555555555556,0.08975672579655523,-0.14877149987652336,8.078105321689971,1.179636965192004,6.821848217657021,1.133445792610402,0.8412072912692028
All,5/5,Break,705,100.0,289,415,1,40.99290780141844,-0.03634126434069508,-0.6087169597707835,-25.620591360190033,0.9304045369352899,42.43787130874263,284,421,0,40.283687943262414,-0.06957314333917415,-0.661561303094527,-49.04906605411777,0.8717849563156026,60.29673416610867,1.0192036899220243,0.9002764811316044
All,5/5,No break,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Same-bar Setup+BOS,2/2,Break,502,71.20567375886525,207,295,0,41.235059760956176,-0.023253616463554578,-0.5522074835678209,-11.673315464704398,0.9545370065303505,30.410364331536673,205,297,0,40.83665338645419,-0.055759947698385014,-0.5763937075148069,-27.991493744589278,0.895083972000375,42.31610053087594,1.038266321107607,0.8897049225341361
Same-bar Setup+BOS,2/2,No break,162,22.97872340425532,66,95,1,40.74074074074074,-0.053771880373630614,-1.0,-8.71104462052816,0.899143549025228,13.282958072853235,64,98,0,39.50617283950617,-0.08802215149709738,-1.0054920189182206,-14.259588542529777,0.8410154787623538,16.897800900693824,0.980692100125478,0.9191923695508993
Same-bar Setup+BOS,3/3,Break,577,81.84397163120568,232,345,0,40.20797227036395,-0.05510096840141128,-0.6057615931193918,-31.793258767614308,0.8943336711362402,44.92805501374166,229,348,0,39.68804159445407,-0.08740722658919825,-0.6281156321151274,-50.43396974196739,0.8386495099443303,58.97458641020421,1.005703970935517,0.9044031179162043
Same-bar Setup+BOS,3/3,No break,87,12.340425531914894,41,45,1,47.12643678160919,0.131136766464158,-0.21661119776113372,11.408898682381746,1.270017733958573,6.0,40,47,0,45.97701149425287,0.094056177641935,-0.24077167751141287,8.182887454848345,1.1863275055562552,6.132028677718861,1.147018645822446,0.8471314476061174
Same-bar Setup+BOS,5/5,Break,664,94.18439716312056,273,390,1,41.1144578313253,-0.030699337477759887,-0.562068696597739,-20.384360085232565,0.940593923325686,34.62785408230198,269,395,0,40.51204819277108,-0.06363114802276967,-0.607136449036045,-42.25108228711906,0.8814805487154832,50.28684400978257,1.0242195985185938,0.8968991490653344
Same-bar Setup+BOS,5/5,No break,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delayed BOS,2/2,Break,31,4.397163120567376,11,20,0,35.483870967741936,-0.1469019580790389,-1.0,-4.553960700450206,0.7723019649774898,9.0,11,20,0,35.483870967741936,-0.18197705000079212,-1.0166717964652916,-5.641288550024556,0.7284953152759492,9.41892494330093,0.9660374883669007,0.9943289174547449
Delayed BOS,2/2,No break,10,1.4184397163120568,5,5,0,50.0,-0.0682270574507267,-0.47623157741067185,-0.682270574507267,0.8635458850985465,4.691126933101331,4,6,0,40.0,-0.11566952169741643,-0.5228179697410726,-1.1566952169741642,0.7811179275350429,5.057671602710396,0.850962583930702,0.83296877773019
Delayed BOS,3/3,Break,38,5.390070921985815,14,24,0,36.84210526315789,-0.13798848054715393,-1.0,-5.243562260791849,0.7815182391336729,9.0,14,24,0,36.84210526315789,-0.1761368851010618,-1.0182840224888379,-6.693201633840348,0.7323796119779409,9.41892494330093,0.9536128639551985,0.9775174722606037
Delayed BOS,3/3,No break,3,0.425531914893617,2,1,0,66.66666666666666,0.0024436619447923713,0.04753684517865634,0.007330985834377114,1.007330985834377,1.0,1,2,0,33.33333333333333,-0.03492737771945684,-0.021391580330388273,-0.10478213315837051,0.9004320763003143,1.0523683658846987,0.7398330494611333,0.6694067574986805
Delayed BOS,5/5,Break,41,5.815602836879433,16,25,0,39.02439024390244,-0.127712957925792,-1.0,-5.236231274957472,0.790550749001701,9.952463154821343,15,26,0,36.58536585365854,-0.16580448212192,-1.0166717964652916,-6.79798376699872,0.7391653612984207,10.471293309185628,0.9379704385044132,0.9549727858146095
Delayed BOS,5/5,No break,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
