case_category,case_number,trade_id,direction,same_bar_setup_bos,setup_type,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,exit_timestamp,setup_to_bos_bars,bos_to_retest_bars,retest_to_confirm_bars,bos_reference_level,bos_reference_source,bos_reference_pivot_timestamp,bos_reference_timestamp,bos_reference_confirmation_timestamp,bos_reference_pivot_bar,bos_reference_confirmation_bar,bars_pivot_to_bos,bars_confirmation_to_bos,bos_break_type,bos_bias_before,setup_open,setup_high,setup_low,setup_close,setup_atr,bos_open,bos_high,bos_low,bos_close,bos_atr,setup_close_minus_reference_signed_points,setup_close_minus_reference_signed_atr,bos_close_beyond_reference_points,bos_close_beyond_reference_atr,distance_setup_close_to_bos_level_points,distance_setup_close_to_bos_level_atr,bos_break_points,bos_break_atr,bos_body_atr,bos_range_atr,bars_setup_to_bos,prior_confirmed_swing_high,prior_confirmed_swing_low,prior_swing_high,prior_swing_low,prior_high_used_before_bar,prior_low_used_before_bar,did_current_bos_break_current_confirmed_swing,did_bos_break_prior_swing,bars_since_prior_swing,nearest_prior_swing_distance_atr,prior_bar_close,reference_already_crossed_on_prior_bar,stop_price,target_price,entry_price,exit_price,exit_reason,gross_R,R_result,cost_R,net_R,MFE_R,MAE_R,swing_2_2_break_same_bar,swing_2_2_level,swing_2_2_pivot_timestamp,swing_2_2_confirmation_timestamp,swing_2_2_close_distance_atr,swing_2_2_bars_confirmation_to_break,swing_3_3_break_same_bar,swing_3_3_level,swing_3_3_pivot_timestamp,swing_3_3_confirmation_timestamp,swing_3_3_close_distance_atr,swing_3_3_bars_confirmation_to_break,swing_5_5_break_same_bar,swing_5_5_level,swing_5_5_pivot_timestamp,swing_5_5_confirmation_timestamp,swing_5_5_close_distance_atr,swing_5_5_bars_confirmation_to_break
Same-bar winners,1,A0001,Short,True,Matching BOS only,2024-01-01 19:40:00-06:00,2024-01-01 19:40:00-06:00,2024-01-01 19:45:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 20:55:00-06:00,0,1,2,16805.25,Most recent confirmed 5/5 pivot low,2024-01-01 18:30:00-06:00,2024-01-01 18:30:00-06:00,2024-01-01 18:55:00-06:00,5526,5531,14,9,BOS,-1,16807.0,16807.0,16797.5,16801.5,5.882695163358426,16807.0,16807.0,16797.5,16801.5,5.882695163358426,3.75,0.6374629138286213,3.75,0.6374629138286213,3.75,0.6374629138286213,3.75,0.6374629138286213,0.9349456069486446,1.6149060483658406,0,16825.25,16805.25,16825.25,16805.25,False,False,True,True,14,0.6374629138286213,16807.0,False,16810.07618327655,16783.597633446905,16801.25,16795.0,TIME,0.708120351024983,0.708120351024983,0.08214196071888613,0.6259783903060969,1.5295399582137417,0.5098466527379139,True,16805.25,2024-01-01 18:30:00-06:00,2024-01-01 18:40:00-06:00,0.6374629138286213,12.0,True,16805.25,2024-01-01 18:30:00-06:00,2024-01-01 18:45:00-06:00,0.6374629138286213,11.0,True,16805.25,2024-01-01 18:30:00-06:00,2024-01-01 18:55:00-06:00,0.6374629138286213,9
Same-bar winners,2,A0071,Long,True,Matching BOS only,2024-03-19 10:30:00-05:00,2024-03-19 10:30:00-05:00,2024-03-19 10:35:00-05:00,2024-03-19 10:45:00-05:00,2024-03-19 10:45:00-05:00,2024-03-19 11:35:00-05:00,0,1,2,17687.0,Most recent confirmed 5/5 pivot high,2024-03-19 09:50:00-05:00,2024-03-19 09:50:00-05:00,2024-03-19 10:15:00-05:00,20794,20799,8,3,BOS,1,17671.25,17697.75,17671.25,17693.0,23.588392631879923,17671.25,17697.75,17671.25,17693.0,23.588392631879923,6.0,0.25436239313275405,6.0,0.25436239313275405,6.0,0.25436239313275405,6.0,0.25436239313275405,0.9220636751062334,1.123433903002997,0,17687.0,17608.0,17687.0,17608.0,False,False,True,True,8,0.25436239313275405,17670.75,False,17660.103982172608,17760.29203565478,17693.5,17760.29203565478,TARGET,2.0,2.0,0.021709175140197226,1.9782908248598028,2.10354421186049,0.6138456418952319,True,17683.25,2024-03-19 10:05:00-05:00,2024-03-19 10:15:00-05:00,0.41333888884072534,3.0,True,17687.0,2024-03-19 09:50:00-05:00,2024-03-19 10:05:00-05:00,0.25436239313275405,5.0,True,17687.0,2024-03-19 09:50:00-05:00,2024-03-19 10:15:00-05:00,0.25436239313275405,3
Same-bar winners,3,A0160,Long,True,Matching BOS only,2024-07-08 14:50:00-05:00,2024-07-08 14:50:00-05:00,2024-07-08 14:55:00-05:00,2024-07-08 15:00:00-05:00,2024-07-08 15:00:00-05:00,2024-07-08 17:00:00-05:00,0,1,1,19918.75,Most recent confirmed 5/5 pivot high,2024-07-08 13:25:00-05:00,2024-07-08 13:25:00-05:00,2024-07-08 13:50:00-05:00,42176,42181,17,12,CHoCH,-1,19906.25,19928.75,19906.25,19928.25,13.242487628424398,19906.25,19928.75,19906.25,19928.25,13.242487628424398,9.5,0.7173878705092147,9.5,0.7173878705092147,9.5,0.7173878705092147,9.5,0.7173878705092147,1.661319279073971,1.6990765354165613,0,19918.75,19871.5,19918.75,19871.5,False,False,True,True,17,0.7173878705092147,19906.0,False,19915.23611931732,19985.777761365363,19938.75,19942.25,TIME,0.1488482504114185,0.1488482504114185,0.030832851870938878,0.11801539854047963,0.4678087870073485,0.15948026829795972,True,19911.75,2024-07-08 13:55:00-05:00,2024-07-08 14:05:00-05:00,1.2459894593054783,9.0,True,19911.75,2024-07-08 13:55:00-05:00,2024-07-08 14:10:00-05:00,1.2459894593054783,8.0,True,19918.75,2024-07-08 13:25:00-05:00,2024-07-08 13:50:00-05:00,0.7173878705092147,12
Same-bar winners,4,A0246,Short,True,Matching BOS only,2024-10-23 12:00:00-05:00,2024-10-23 12:00:00-05:00,2024-10-23 12:05:00-05:00,2024-10-23 12:10:00-05:00,2024-10-23 12:10:00-05:00,2024-10-23 13:10:00-05:00,0,1,1,19258.0,Most recent confirmed 5/5 pivot low,2024-10-23 11:30:00-05:00,2024-10-23 11:30:00-05:00,2024-10-23 11:55:00-05:00,63357,63362,6,1,BOS,-1,19274.25,19274.25,19236.0,19242.5,28.72218708695247,19274.25,19274.25,19236.0,19242.5,28.72218708695247,15.5,0.5396524976693412,15.5,0.5396524976693412,15.5,0.5396524976693412,15.5,0.5396524976693412,1.1054172129678441,1.3317230990872453,0,19387.5,19258.0,19387.5,19258.0,False,False,True,True,6,0.5396524976693412,19274.0,False,19240.747190951748,19105.005618096504,19195.5,19124.75,TIME,1.5636329794583197,1.5636329794583197,0.016023094135791668,1.547609885322528,1.6851874866953305,0.5193692581946264,True,19258.0,2024-10-23 11:30:00-05:00,2024-10-23 11:40:00-05:00,0.5396524976693412,4.0,True,19258.0,2024-10-23 11:30:00-05:00,2024-10-23 11:45:00-05:00,0.5396524976693412,3.0,True,19258.0,2024-10-23 11:30:00-05:00,2024-10-23 11:55:00-05:00,0.5396524976693412,1
Same-bar winners,5,A0316,Long,True,Matching BOS only,2025-01-28 09:00:00-06:00,2025-01-28 09:00:00-06:00,2025-01-28 09:05:00-06:00,2025-01-28 09:10:00-06:00,2025-01-28 09:10:00-06:00,2025-01-28 10:10:00-06:00,0,1,1,20072.0,Most recent confirmed 5/5 pivot high,2025-01-28 08:30:00-06:00,2025-01-28 08:30:00-06:00,2025-01-28 08:55:00-06:00,81537,81542,6,1,CHoCH,-1,20037.25,20115.0,20033.5,20109.0,39.37856167381181,20037.25,20115.0,20033.5,20109.0,39.37856167381181,37.0,0.9395975481909579,37.0,0.9395975481909579,37.0,0.9395975481909579,37.0,0.9395975481909579,1.8220574076405738,2.069654058853056,0,20072.0,20010.25,20072.0,20010.25,False,True,True,True,6,0.9395975481909579,20035.5,False,20063.862421508617,20253.275156982767,20127.0,20202.0,TIME,1.1878821106551405,1.1878821106551405,0.011482860402999815,1.1763992502521408,1.6986714182368692,0.24549563620206502,True,20072.0,2025-01-28 08:30:00-06:00,2025-01-28 08:40:00-06:00,0.9395975481909579,4.0,True,20072.0,2025-01-28 08:30:00-06:00,2025-01-28 08:45:00-06:00,0.9395975481909579,3.0,True,20072.0,2025-01-28 08:30:00-06:00,2025-01-28 08:55:00-06:00,0.9395975481909579,1
Same-bar winners,6,A0384,Short,True,Matching BOS only,2025-04-28 10:05:00-05:00,2025-04-28 10:05:00-05:00,2025-04-28 10:10:00-05:00,2025-04-28 10:15:00-05:00,2025-04-28 10:15:00-05:00,2025-04-28 11:15:00-05:00,0,1,1,17990.75,Most recent confirmed 5/5 pivot low,2025-04-28 09:30:00-05:00,2025-04-28 09:30:00-05:00,2025-04-28 09:55:00-05:00,98889,98894,7,2,BOS,-1,18016.75,18023.75,17956.75,17964.75,43.09236573468231,18016.75,18023.75,17956.75,17964.75,43.09236573468231,26.0,0.603355131627741,26.0,0.603355131627741,26.0,0.603355131627741,26.0,0.603355131627741,1.206710263255482,1.5547997622714864,0,18167.5,17990.75,18167.5,17990.75,False,False,True,True,7,0.603355131627741,18016.0,False,18011.740636294602,17812.268727410796,17945.25,17856.75,TIME,1.3310144846242806,1.3310144846242806,0.010903790975735586,1.320110693648545,1.8574043937977172,0.05263899091734421,True,17990.75,2025-04-28 09:30:00-05:00,2025-04-28 09:40:00-05:00,0.603355131627741,5.0,True,17990.75,2025-04-28 09:30:00-05:00,2025-04-28 09:45:00-05:00,0.603355131627741,4.0,True,17990.75,2025-04-28 09:30:00-05:00,2025-04-28 09:55:00-05:00,0.603355131627741,2
Same-bar winners,7,A0455,Long,True,Matching BOS only,2025-08-04 02:05:00-05:00,2025-08-04 02:05:00-05:00,2025-08-04 02:10:00-05:00,2025-08-04 02:20:00-05:00,2025-08-04 02:20:00-05:00,2025-08-04 03:15:00-05:00,0,1,2,21320.5,Most recent confirmed 5/5 pivot high,2025-08-04 01:10:00-05:00,2025-08-04 01:10:00-05:00,2025-08-04 01:35:00-05:00,117920,117925,11,6,CHoCH,-1,21315.25,21329.75,21309.0,21327.5,15.276746049111898,21315.25,21329.75,21309.0,21327.5,15.276746049111898,7.0,0.4582127618994452,7.0,0.4582127618994452,7.0,0.4582127618994452,7.0,0.4582127618994452,0.8018723333240291,1.3582735442019267,0,21320.5,21267.5,21320.5,21267.5,False,False,True,True,11,0.4582127618994452,21315.25,False,21303.32251581456,21372.10496837088,21326.25,21372.10496837088,TARGET,2.0,2.0,0.03162143714225982,1.9683785628577402,2.0063256669571743,0.021807887684317115,True,21320.5,2025-08-04 01:10:00-05:00,2025-08-04 01:20:00-05:00,0.4582127618994452,9.0,True,21320.5,2025-08-04 01:10:00-05:00,2025-08-04 01:25:00-05:00,0.4582127618994452,8.0,True,21320.5,2025-08-04 01:10:00-05:00,2025-08-04 01:35:00-05:00,0.4582127618994452,6
Same-bar winners,8,A0558,Long,True,Matching BOS only,2025-12-29 21:30:00-06:00,2025-12-29 21:30:00-06:00,2025-12-29 22:00:00-06:00,2025-12-29 22:05:00-06:00,2025-12-29 22:05:00-06:00,2025-12-29 23:05:00-06:00,0,6,1,23568.0,Most recent confirmed 5/5 pivot high,2025-12-29 20:05:00-06:00,2025-12-29 20:05:00-06:00,2025-12-29 20:30:00-06:00,146524,146529,17,12,CHoCH,-1,23562.5,23581.5,23562.25,23578.75,8.130450015886838,23562.5,23581.5,23562.25,23578.75,8.130450015886838,10.75,1.3221900360981964,10.75,1.3221900360981964,10.75,1.3221900360981964,10.75,1.3221900360981964,1.9986593568926225,2.367642622780491,0,23568.0,23540.25,23568.0,23540.25,False,False,True,True,17,1.3221900360981964,23562.75,False,23571.621201597336,23606.507596805324,23583.25,23587.5,TIME,0.3654719819570372,0.3654719819570372,0.06234522045148833,0.30312676150554885,0.9674258345920603,0.3654719819570006,False,23556.75,2025-12-29 21:00:00-06:00,2025-12-29 21:10:00-06:00,2.705877283177704,,False,23556.75,2025-12-29 21:00:00-06:00,2025-12-29 21:15:00-06:00,2.705877283177704,,True,23568.0,2025-12-29 20:05:00-06:00,2025-12-29 20:30:00-06:00,1.3221900360981964,12
Same-bar winners,9,A0630,Long,True,Matching BOS only,2026-04-01 09:35:00-05:00,2026-04-01 09:35:00-05:00,2026-04-01 09:40:00-05:00,2026-04-01 09:45:00-05:00,2026-04-01 09:45:00-05:00,2026-04-01 10:45:00-05:00,0,1,1,21816.25,Most recent confirmed 5/5 pivot high,2026-04-01 08:35:00-05:00,2026-04-01 08:35:00-05:00,2026-04-01 09:00:00-05:00,164518,164523,12,7,BOS,1,21778.75,21866.0,21752.5,21834.75,54.65559264237201,21778.75,21866.0,21752.5,21834.75,54.65559264237201,18.5,0.3384832019122191,18.5,0.3384832019122191,18.5,0.3384832019122191,18.5,0.3384832019122191,1.0245978003829335,2.0766401847046954,0,21816.25,21657.5,21816.25,21657.5,False,False,True,True,12,0.3384832019122191,21780.25,False,21772.01304727122,22021.723905457566,21855.25,21910.0,TIME,0.6577607445385039,0.6577607445385039,0.008710073786126423,0.6490506707523774,0.8199483253836254,0.23427095010960727,True,21816.25,2026-04-01 08:35:00-05:00,2026-04-01 08:45:00-05:00,0.3384832019122191,10.0,True,21816.25,2026-04-01 08:35:00-05:00,2026-04-01 08:50:00-05:00,0.3384832019122191,9.0,True,21816.25,2026-04-01 08:35:00-05:00,2026-04-01 09:00:00-05:00,0.3384832019122191,7
Same-bar winners,10,A0705,Short,True,Matching BOS only,2026-06-26 14:55:00-05:00,2026-06-26 14:55:00-05:00,2026-06-26 15:00:00-05:00,2026-06-26 15:25:00-05:00,2026-06-26 15:25:00-05:00,2026-06-26 15:55:00-05:00,0,1,5,26692.5,Most recent confirmed 5/5 pivot low,2026-06-26 13:55:00-05:00,2026-06-26 13:55:00-05:00,2026-06-26 14:20:00-05:00,181505,181510,12,7,BOS,-1,26755.5,26772.5,26587.5,26619.75,67.23772451072098,26755.5,26772.5,26587.5,26619.75,67.23772451072098,72.75,1.0819818863501263,72.75,1.0819818863501263,72.75,1.0819818863501263,72.75,1.0819818863501263,2.0189558910244623,2.751431601027812,0,27003.75,26692.5,27003.75,26692.5,False,False,True,True,12,1.0819818863501263,26756.25,False,26740.88341713046,26453.233165739082,26645.0,26586.75,WINDOW_END,0.6075085947421485,0.6075085947421485,0.007561265771468762,0.5999473289706797,0.8995298935023183,0.07300532469004323,True,26723.75,2026-06-26 14:20:00-05:00,2026-06-26 14:30:00-05:00,1.5467507378750944,5.0,True,26692.5,2026-06-26 13:55:00-05:00,2026-06-26 14:10:00-05:00,1.0819818863501263,9.0,True,26692.5,2026-06-26 13:55:00-05:00,2026-06-26 14:20:00-05:00,1.0819818863501263,7
