setup_to_bos_bars,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
6+,17,2.4113475177304964,6,11,0,35.294117647058826,-0.07502289279564393,-1.0,-1.275389177525947,0.8840555293158231,5.0,6,11,0,35.294117647058826,-0.11507096932022179,-1.0166717964652916,-1.9562064784437705,0.8292029788524998,5.303035468869472,1.1052746774414228,0.8791258852004793
2,7,0.9929078014184397,4,3,0,57.14285714285714,0.13112981669114826,0.4149036790844295,0.9179087168380379,1.3059695722793458,3.0,4,3,0,57.14285714285714,0.09973434572736398,0.39379454453451945,0.6981404200915479,1.2229325849389592,3.131621249009898,1.102645502026628,1.1305719597775439
4-5,9,1.2765957446808511,2,7,0,22.22222222222222,-0.6658521126850692,-1.0,-5.992669014165623,0.14390442654776817,6.952463154821343,1,8,0,11.11111111111111,-0.7086366435882764,-1.0273616722731491,-6.377729792294487,0.12935772729663708,7.325316025020816,0.5055339431086667,1.013256039574702
1,5,0.7092198581560284,3,2,0,60.0,0.5705163956352093,0.8525819781760469,2.8525819781760466,2.4262909890880233,2.0,3,2,0,60.0,0.5389245548209196,0.8382901415476627,2.694622774104598,2.30276179062823,2.0683925438166044,1.1630097254133898,0.5447137675257533
3,3,0.425531914893617,1,2,0,33.33333333333333,-0.5795545927599958,-1.0,-1.7386637782799874,0.13066811086000624,2.0,1,2,0,33.33333333333333,-0.6189368968188695,-1.026786552232258,-1.8568106904566086,0.10888686894982762,2.0836980465862585,0.5279152776484711,1.483955752582317
