trade_id,direction,same_bar_setup_bos,setup_type,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,exit_timestamp,setup_to_bos_bars,bos_to_retest_bars,retest_to_confirm_bars,bos_reference_level,bos_reference_source,bos_reference_pivot_timestamp,bos_reference_timestamp,bos_reference_confirmation_timestamp,bos_reference_pivot_bar,bos_reference_confirmation_bar,bars_pivot_to_bos,bars_confirmation_to_bos,bos_break_type,bos_bias_before,setup_open,setup_high,setup_low,setup_close,setup_atr,bos_open,bos_high,bos_low,bos_close,bos_atr,setup_close_minus_reference_signed_points,setup_close_minus_reference_signed_atr,bos_close_beyond_reference_points,bos_close_beyond_reference_atr,distance_setup_close_to_bos_level_points,distance_setup_close_to_bos_level_atr,bos_break_points,bos_break_atr,bos_body_atr,bos_range_atr,bars_setup_to_bos,prior_confirmed_swing_high,prior_confirmed_swing_low,prior_swing_high,prior_swing_low,prior_high_used_before_bar,prior_low_used_before_bar,did_current_bos_break_current_confirmed_swing,did_bos_break_prior_swing,bars_since_prior_swing,nearest_prior_swing_distance_atr,prior_bar_close,reference_already_crossed_on_prior_bar,stop_price,target_price,entry_price,exit_price,exit_reason,gross_R,R_result,cost_R,net_R,MFE_R,MAE_R,swing_2_2_break_same_bar,swing_2_2_level,swing_2_2_pivot_timestamp,swing_2_2_confirmation_timestamp,swing_2_2_close_distance_atr,swing_2_2_bars_confirmation_to_break,swing_3_3_break_same_bar,swing_3_3_level,swing_3_3_pivot_timestamp,swing_3_3_confirmation_timestamp,swing_3_3_close_distance_atr,swing_3_3_bars_confirmation_to_break,swing_5_5_break_same_bar,swing_5_5_level,swing_5_5_pivot_timestamp,swing_5_5_confirmation_timestamp,swing_5_5_close_distance_atr,swing_5_5_bars_confirmation_to_break
A0001,Short,True,Matching BOS only,2024-01-01 19:40:00-06:00,2024-01-01 19:40:00-06:00,2024-01-01 19:45:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 20:55:00-06:00,0,1,2,16805.25,Most recent confirmed 5/5 pivot low,2024-01-01 18:30:00-06:00,2024-01-01 18:30:00-06:00,2024-01-01 18:55:00-06:00,5526,5531,14,9,BOS,-1,16807.0,16807.0,16797.5,16801.5,5.882695163358426,16807.0,16807.0,16797.5,16801.5,5.882695163358426,3.75,0.6374629138286213,3.75,0.6374629138286213,3.75,0.6374629138286213,3.75,0.6374629138286213,0.9349456069486446,1.6149060483658406,0,16825.25,16805.25,16825.25,16805.25,False,False,True,True,14,0.6374629138286213,16807.0,False,16810.07618327655,16783.597633446905,16801.25,16795.0,TIME,0.708120351024983,0.708120351024983,0.08214196071888613,0.6259783903060969,1.5295399582137417,0.5098466527379139,True,16805.25,2024-01-01 18:30:00-06:00,2024-01-01 18:40:00-06:00,0.6374629138286213,12.0,True,16805.25,2024-01-01 18:30:00-06:00,2024-01-01 18:45:00-06:00,0.6374629138286213,11.0,True,16805.25,2024-01-01 18:30:00-06:00,2024-01-01 18:55:00-06:00,0.6374629138286213,9
A0002,Short,True,Matching BOS only,2024-01-02 13:50:00-06:00,2024-01-02 13:50:00-06:00,2024-01-02 13:55:00-06:00,2024-01-02 14:00:00-06:00,2024-01-02 14:00:00-06:00,2024-01-02 14:30:00-06:00,0,1,1,16454.75,Most recent confirmed 5/5 pivot low,2024-01-02 13:05:00-06:00,2024-01-02 13:05:00-06:00,2024-01-02 13:30:00-06:00,5749,5754,9,4,BOS,-1,16466.25,16472.0,16450.25,16453.75,15.611683192530178,16466.25,16472.0,16450.25,16453.75,15.611683192530178,1.0,0.06405459217097592,1.0,0.06405459217097592,1.0,0.06405459217097592,1.0,0.06405459217097592,0.8006824021371991,1.3931873797187264,0,16528.75,16454.75,16528.75,16454.75,False,False,True,True,9,0.06405459217097592,16466.25,False,16440.666768822994,16364.416462354016,16415.25,16440.666768822994,STOP,-1.0,-1.0,0.028524475516499136,-1.028524475516499,0.23606462496413078,1.1999951769009982,True,16454.75,2024-01-02 13:05:00-06:00,2024-01-02 13:15:00-06:00,0.06405459217097592,7.0,True,16454.75,2024-01-02 13:05:00-06:00,2024-01-02 13:20:00-06:00,0.06405459217097592,6.0,True,16454.75,2024-01-02 13:05:00-06:00,2024-01-02 13:30:00-06:00,0.06405459217097592,4
A0003,Short,True,Matching BOS only,2024-01-02 18:40:00-06:00,2024-01-02 18:40:00-06:00,2024-01-02 18:45:00-06:00,2024-01-02 18:50:00-06:00,2024-01-02 18:50:00-06:00,2024-01-02 19:50:00-06:00,0,1,1,16507.0,Most recent confirmed 5/5 pivot low,2024-01-02 18:00:00-06:00,2024-01-02 18:00:00-06:00,2024-01-02 18:25:00-06:00,5796,5801,8,3,CHoCH,1,16509.5,16509.5,16505.25,16506.75,5.261816353237558,16509.5,16509.5,16505.25,16506.75,5.261816353237558,0.25,0.04751211049891105,0.25,0.04751211049891105,0.25,0.04751211049891105,0.25,0.04751211049891105,0.5226332154880214,0.8077058784814878,0,16524.0,16507.0,16524.0,16507.0,False,False,True,True,8,0.04751211049891105,16509.5,False,16512.81885431401,16490.11229137198,16505.25,16502.5,TIME,0.36333107837868867,0.36333107837868867,0.09578728429982683,0.26754379407886186,1.4533243135146139,0.33030098034423044,True,16507.0,2024-01-02 18:00:00-06:00,2024-01-02 18:10:00-06:00,0.04751211049891105,6.0,True,16507.0,2024-01-02 18:00:00-06:00,2024-01-02 18:15:00-06:00,0.04751211049891105,5.0,True,16507.0,2024-01-02 18:00:00-06:00,2024-01-02 18:25:00-06:00,0.04751211049891105,3
A0004,Short,True,Matching BOS only,2024-01-03 09:10:00-06:00,2024-01-03 09:10:00-06:00,2024-01-03 09:25:00-06:00,2024-01-03 09:30:00-06:00,2024-01-03 09:30:00-06:00,2024-01-03 10:00:00-06:00,0,3,1,16368.25,Most recent confirmed 5/5 pivot low,2024-01-03 08:30:00-06:00,2024-01-03 08:30:00-06:00,2024-01-03 08:55:00-06:00,5970,5975,8,3,BOS,-1,16394.5,16399.0,16355.75,16356.25,24.97324002097294,16394.5,16399.0,16355.75,16356.25,24.97324002097294,12.0,0.480514342148724,12.0,0.480514342148724,12.0,0.480514342148724,12.0,0.480514342148724,1.531639465599058,1.7318537748276928,0,16432.75,16368.25,16432.75,16368.25,False,False,True,True,8,0.480514342148724,16394.75,False,16396.75867314032,16289.48265371936,16361.0,16396.75867314032,STOP,-1.0,-1.0,0.020274801504939086,-1.020274801504939,0.8459486145164239,1.223479401160117,True,16380.25,2024-01-03 08:55:00-06:00,2024-01-03 09:05:00-06:00,0.961028684297448,1.0,True,16368.25,2024-01-03 08:30:00-06:00,2024-01-03 08:45:00-06:00,0.480514342148724,5.0,True,16368.25,2024-01-03 08:30:00-06:00,2024-01-03 08:55:00-06:00,0.480514342148724,3
A0005,Long,True,Matching BOS only,2024-01-04 09:05:00-06:00,2024-01-04 09:05:00-06:00,2024-01-04 09:10:00-06:00,2024-01-04 09:30:00-06:00,2024-01-04 09:30:00-06:00,2024-01-04 10:15:00-06:00,0,1,4,16287.0,Most recent confirmed 5/5 pivot high,2024-01-04 08:35:00-06:00,2024-01-04 08:35:00-06:00,2024-01-04 09:00:00-06:00,6247,6252,6,1,CHoCH,-1,16282.0,16301.25,16272.0,16300.25,23.783587596460247,16282.0,16301.25,16272.0,16300.25,23.783587596460247,13.25,0.5571068681821586,13.25,0.5571068681821586,13.25,0.5571068681821586,13.25,0.5571068681821586,0.7673358750433504,1.2298396901379727,0,16287.0,16230.0,16287.0,16230.0,False,False,True,True,6,0.5571068681821586,16281.5,False,16265.2643555156,16368.721288968803,16299.75,16368.721288968803,TARGET,2.0,2.0,0.021023240563995984,1.978976759436004,2.0370795167182316,0.26822755202339704,True,16287.0,2024-01-04 08:35:00-06:00,2024-01-04 08:45:00-06:00,0.5571068681821586,4.0,True,16287.0,2024-01-04 08:35:00-06:00,2024-01-04 08:50:00-06:00,0.5571068681821586,3.0,True,16287.0,2024-01-04 08:35:00-06:00,2024-01-04 09:00:00-06:00,0.5571068681821586,1
A0006,Long,True,Matching BOS only,2024-01-05 02:15:00-06:00,2024-01-05 02:15:00-06:00,2024-01-05 02:20:00-06:00,2024-01-05 02:25:00-06:00,2024-01-05 02:25:00-06:00,2024-01-05 02:45:00-06:00,0,1,1,16209.25,Most recent confirmed 5/5 pivot high,2024-01-05 01:20:00-06:00,2024-01-05 01:20:00-06:00,2024-01-05 01:45:00-06:00,6436,6441,11,6,CHoCH,-1,16209.25,16212.75,16207.0,16209.75,7.454161051926606,16209.25,16212.75,16207.0,16209.75,7.454161051926606,0.5,0.06707662961893877,0.5,0.06707662961893877,0.5,0.06707662961893877,0.5,0.06707662961893877,0.06707662961893877,0.7713812406177959,0,16209.25,16188.0,16209.25,16188.0,False,True,True,True,11,0.06707662961893877,16209.25,False,16203.806097823146,16238.887804353708,16215.5,16203.806097823146,STOP,-1.0,-1.0,0.061998124239059524,-1.0619981242390595,0.06413599059213054,1.1544478306583497,True,16209.25,2024-01-05 01:20:00-06:00,2024-01-05 01:30:00-06:00,0.06707662961893877,9.0,True,16209.25,2024-01-05 01:20:00-06:00,2024-01-05 01:35:00-06:00,0.06707662961893877,8.0,True,16209.25,2024-01-05 01:20:00-06:00,2024-01-05 01:45:00-06:00,0.06707662961893877,6
A0007,Long,True,Matching BOS only,2024-01-05 06:20:00-06:00,2024-01-05 06:20:00-06:00,2024-01-05 06:25:00-06:00,2024-01-05 06:35:00-06:00,2024-01-05 06:35:00-06:00,2024-01-05 06:50:00-06:00,0,1,2,16181.75,Most recent confirmed 5/5 pivot high,2024-01-05 05:05:00-06:00,2024-01-05 05:05:00-06:00,2024-01-05 05:30:00-06:00,6481,6486,15,10,CHoCH,-1,16181.0,16183.25,16176.0,16182.25,8.208174347655282,16181.0,16183.25,16176.0,16182.25,8.208174347655282,0.5,0.06091488543281592,0.5,0.06091488543281592,0.5,0.06091488543281592,0.5,0.06091488543281592,0.15228721358203978,0.8832658387758308,0,16181.75,16154.25,16181.75,16154.25,False,False,True,True,15,0.06091488543281592,16181.0,False,16172.107402127296,16208.535195745406,16184.25,16172.107402127296,STOP,-1.0,-1.0,0.05970715719984237,-1.0597071571998424,0.47353952261943943,1.111788444410858,False,16180.25,2024-01-05 06:00:00-06:00,2024-01-05 06:10:00-06:00,0.24365954173126367,,True,16181.75,2024-01-05 05:05:00-06:00,2024-01-05 05:20:00-06:00,0.06091488543281592,12.0,True,16181.75,2024-01-05 05:05:00-06:00,2024-01-05 05:30:00-06:00,0.06091488543281592,10
A0008,Long,True,Matching BOS only,2024-01-08 20:15:00-06:00,2024-01-08 20:15:00-06:00,2024-01-08 20:20:00-06:00,2024-01-08 20:25:00-06:00,2024-01-08 20:25:00-06:00,2024-01-08 21:20:00-06:00,0,1,1,16578.75,Most recent confirmed 5/5 pivot high,2024-01-08 19:25:00-06:00,2024-01-08 19:25:00-06:00,2024-01-08 19:50:00-06:00,6917,6922,10,5,BOS,1,16577.0,16580.5,16576.25,16579.5,4.21918970780152,16577.0,16580.5,16576.25,16579.5,4.21918970780152,0.75,0.17775925045825924,0.75,0.17775925045825924,0.75,0.17775925045825924,0.75,0.17775925045825924,0.5925308348608642,1.007302419263469,0,16578.75,16569.25,16578.75,16569.25,False,False,True,True,10,0.17775925045825924,16577.5,False,16575.14635412792,16593.45729174416,16581.25,16575.14635412792,STOP,-1.0,-1.0,0.1187814652413346,-1.1187814652413346,0.24575475567172675,1.0239781486321948,False,16576.75,2024-01-08 19:50:00-06:00,2024-01-08 20:00:00-06:00,0.6517839183469506,,False,16576.75,2024-01-08 19:50:00-06:00,2024-01-08 20:05:00-06:00,0.6517839183469506,,True,16578.75,2024-01-08 19:25:00-06:00,2024-01-08 19:50:00-06:00,0.17775925045825924,5
A0009,Long,True,Matching BOS only,2024-01-09 11:50:00-06:00,2024-01-09 11:50:00-06:00,2024-01-09 11:55:00-06:00,2024-01-09 12:00:00-06:00,2024-01-09 12:00:00-06:00,2024-01-09 12:05:00-06:00,0,1,1,16626.5,Most recent confirmed 5/5 pivot high,2024-01-09 11:05:00-06:00,2024-01-09 11:05:00-06:00,2024-01-09 11:30:00-06:00,7105,7110,9,4,BOS,1,16614.5,16633.75,16614.25,16631.0,15.057019661988246,16614.5,16633.75,16614.25,16631.0,15.057019661988246,4.5,0.29886392533313494,4.5,0.29886392533313494,4.5,0.29886392533313494,4.5,0.29886392533313494,1.0958343928881615,1.2950770097769182,0,16626.5,16447.25,16626.5,16447.25,False,False,True,True,9,0.29886392533313494,16614.5,False,16630.465155692276,16699.569688615447,16653.5,16630.465155692276,STOP,-1.0,-1.0,0.03147405688159586,-1.0314740568815959,0.07597186143833484,1.4326122442657427,True,16626.5,2024-01-09 11:05:00-06:00,2024-01-09 11:15:00-06:00,0.29886392533313494,7.0,True,16626.5,2024-01-09 11:05:00-06:00,2024-01-09 11:20:00-06:00,0.29886392533313494,6.0,True,16626.5,2024-01-09 11:05:00-06:00,2024-01-09 11:30:00-06:00,0.29886392533313494,4
A0010,Short,True,Matching BOS only,2024-01-09 12:30:00-06:00,2024-01-09 12:30:00-06:00,2024-01-09 12:35:00-06:00,2024-01-09 12:40:00-06:00,2024-01-09 12:40:00-06:00,2024-01-09 12:50:00-06:00,0,1,1,16600.75,Most recent confirmed 5/5 pivot low,2024-01-09 11:30:00-06:00,2024-01-09 11:30:00-06:00,2024-01-09 11:55:00-06:00,7110,7115,12,7,CHoCH,1,16617.25,16618.0,16585.25,16591.5,17.247534061693738,16617.25,16618.0,16585.25,16591.5,17.247534061693738,9.25,0.5363085509449131,9.25,0.5363085509449131,9.25,0.5363085509449131,9.25,0.5363085509449131,1.4929670472250283,1.8988221668590166,0,16626.5,16600.75,16626.5,16600.75,True,False,True,True,12,0.5363085509449131,16617.25,False,16623.137754513467,16546.97449097307,16597.75,16623.137754513467,STOP,-1.0,-1.0,0.02855707461703284,-1.028557074617033,0.20679260929575505,1.7626608125685788,False,16620.5,2024-01-09 12:05:00-06:00,2024-01-09 12:15:00-06:00,1.6813997813408086,,True,16600.75,2024-01-09 11:30:00-06:00,2024-01-09 11:45:00-06:00,0.5363085509449131,9.0,True,16600.75,2024-01-09 11:30:00-06:00,2024-01-09 11:55:00-06:00,0.5363085509449131,7
