time_bucket,horizon,event_N,event_mean_abs_atr,unconditional_bucket_abs_atr,uplift_pct
OTHER,1,8623,0.32241467365472865,1.1424535662203714,-71.77875029780098
OVERNIGHT,1,80539,0.48440647660619346,0.5786127757934669,-16.281406690007127
PREMARKET,1,28587,0.7253557660516591,0.7126719515930139,1.779754967245939
RTH_OPEN,1,3704,0.5654882661548325,1.01217757945544,-44.13151628402301
RTH_MID_MORNING,1,6245,0.45652284532272003,0.7768287922264053,-41.23250195009929
MIDDAY,1,12264,0.45927374808653604,0.7234298038133821,-36.51440047595668
RTH_AFTERNOON,1,13526,0.4423558970372943,0.7602939321272661,-41.817778842505874
OTHER,3,8623,0.5240667293858944,2.945721199805427,-82.20922165273107
OVERNIGHT,3,80539,0.8292908230366698,1.1284858651498528,-26.51296319723532
PREMARKET,3,28587,1.2580965443784788,1.361603040173702,-7.601811448806595
RTH_OPEN,3,3704,0.9817904441822404,2.2406108248447385,-56.18201816684194
RTH_MID_MORNING,3,6245,0.7653512065349336,1.7134471841503205,-55.33266425632706
MIDDAY,3,12264,0.7872736664561583,1.550375064607031,-49.2204380456992
RTH_AFTERNOON,3,13526,0.7963637303613357,1.7046853224626537,-53.2838278204403
OTHER,6,8623,0.7301306066064915,5.372060216227546,-86.40874120507875
OVERNIGHT,6,80539,1.175593906757187,1.7739918188802966,-33.731717686319705
PREMARKET,6,28587,1.8347051019579996,2.106346569757121,-12.896333001384653
RTH_OPEN,6,3704,1.3878133125306829,3.754324197112447,-63.03427089226636
RTH_MID_MORNING,6,6245,1.0777373439829783,2.8833277039053904,-62.6217532428516
MIDDAY,6,12264,1.116890015678899,2.564748949520186,-56.45226735007154
RTH_AFTERNOON,6,13526,1.1595779348922501,2.8815286166737994,-59.75823636862674
OTHER,12,8623,1.0002057561518827,9.572072866300221,-89.55079249685569
OVERNIGHT,12,80539,1.6985853197211462,2.8585153087315702,-40.57805761848895
PREMARKET,12,28587,2.7311505986859097,3.3969290309162576,-19.599421305860098
RTH_OPEN,12,3704,1.8128955498058434,6.394243838264239,-71.64800724430981
RTH_MID_MORNING,12,6245,1.505613383298077,4.8559557455018885,-68.9944994928601
MIDDAY,12,12264,1.6291776140358714,4.279553335982455,-61.9311295798616
RTH_AFTERNOON,12,13526,1.5598548047306633,4.823122743210102,-67.65882006783683
OTHER,24,8623,1.5924733443624894,13.81336906454864,-88.47150657510848
OVERNIGHT,24,80539,2.4643379992475554,4.770055315415558,-48.337328682888305
PREMARKET,24,28587,4.40321160822712,5.859268766686402,-24.8504927225369
RTH_OPEN,24,3704,2.385509335063859,9.4143396111435,-74.66089568045543
RTH_MID_MORNING,24,6245,2.206857503006947,7.659463899724337,-71.18783335363234
MIDDAY,24,12264,2.442931339234164,7.077630634194766,-65.48376899705079
RTH_AFTERNOON,24,13526,1.9405896161233056,7.867229521198465,-75.33325281925062
