horizon,minutes_approx,N,mean_signed_return_atr,mean_abs_return_atr,median_abs_return_atr,mean_future_rv,mean_cumulative_tr_atr
1,5,591895,0.002112740861499288,0.5038027810324421,0.36049522839476694,,1.0098806104364013
3,15,591893,0.005605668811824535,0.8859735994050857,0.6344170601623212,0.0008331167296831194,3.052519182044763
6,30,591890,0.012732653900617926,1.280313043234136,0.9129085471526739,0.0008934584666325277,6.162886672190548
12,60,591884,0.028455366598038614,1.8746719027334156,1.3189732961954168,0.0009203342005875946,12.524900945234211
24,120,591872,0.05841510672562318,2.7905107724964084,1.9177280910935002,0.0009397050761492525,25.76651975948101
