event_family,vol_measure,transition,compression_duration,shock_percentile_bin,transition_direction,horizon,orientation,N,sample_tier,mean_signed_return_atr,median_signed_return_atr,positive_signed_rate,mean_abs_return_atr,median_abs_return_atr,mfe_atr,mae_atr,future_rv,effect_value,uplift_pct_vs_baseline,standard_error,ci95_low,ci95_high,era1,era2,era3,same_sign_across_eras,replicated,raw_p_value,fdr_q_value,fdr_survivor_5pct
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,99+,UP,1,continuation,1082,STRONG_SAMPLE,0.03657107107091776,-0.0028214909025164065,0.488909426987061,1.1337844894990559,0.7314508293571609,1.1273896601743523,1.0385350736800103,,0.03657107107091776,,0.061988940675063824,-0.07957931273380482,0.14656247547533321,-0.000594359890652664,0.08418432393161444,0.02091686532626807,False,False,0.555216648899558,1.0,False
COMPRESSION,RV_RATIO,ENTER_LOW,1-3,n/a,DOWN,1,continuation,11052,STRONG_SAMPLE,0.014284262366098545,0.02536716499860504,0.510586319218241,0.4165258009410014,0.30808335298939926,0.41676525827597477,0.41905176117947124,,-0.014284262366098545,,0.005580045501162466,-0.025825246582298674,-0.0026198101035563907,-0.018172548870420347,-0.017705803067209994,-0.005613382872481948,True,False,1.0,1.0,False
COMPRESSION,RANGE_RATIO,ENTER_LOW,1-3,n/a,DOWN,1,continuation,6552,STRONG_SAMPLE,0.014764575586466214,0.02126973760611615,0.5112942612942613,0.36100919011964966,0.26326379694459046,0.3623372073959949,0.3590177229100181,,-0.014764575586466214,,0.00640457331157224,-0.026773280427982108,-0.002387589570172349,-0.022524773089061412,-0.0076148875929694555,-0.013352367089094104,True,False,1.0,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,90-95,UP,1,continuation,9635,STRONG_SAMPLE,-0.012189073133087891,-0.024549896595824322,0.4676699532952776,0.5412482624189132,0.37881331183401845,0.5276103564910167,0.5288929830384262,,-0.012189073133087891,,0.008564746336018886,-0.028500863926498785,0.0043011730592195305,-0.009020361238382481,-0.008016728516151794,-0.021573348848846017,True,False,1.0,1.0,False
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,n/a,n/a,NEUTRAL,1,continuation,61,INSUFFICIENT,-0.2992644294068574,0.0,0.39344262295081966,0.4920029918014848,0.177432470802514,0.0602578828081076,0.6195393433291765,,-0.2992644294068574,,0.1733351601628373,-0.6824073979358662,-0.023744575494405614,-0.3920519357019467,-0.22839099601116042,0.06996139026193049,False,False,1.0,1.0,False
COMPRESSION,ATR_RATIO,ENTER_LOW,1-3,n/a,NEUTRAL,1,continuation,587,ANALYZABLE,0.017558012826861605,0.014655057026451533,0.5008517887563884,0.4346888970441061,0.28848875320654715,0.37852055490071074,0.367521603117,,0.017558012826861605,,0.030377673088074167,-0.03910570483796894,0.07609699617791309,-0.04372271423215006,0.1816070254467342,-0.020303202525319954,False,False,0.5632703915218591,1.0,False
COMPRESSION,ATR_RATIO,ENTER_LOW,1-3,n/a,DOWN,1,continuation,4658,STRONG_SAMPLE,0.014252174272180469,0.019539146507264803,0.5088020609703735,0.36934099873594406,0.2554646787085915,0.36018368449330807,0.34767433678482584,,-0.014252174272180469,,0.008128777939242592,-0.02895637039496215,0.0014780952556694275,-0.029015275024549776,-0.016235160750927683,0.00598716370916766,False,False,1.0,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,80-90,UP,1,continuation,21535,STRONG_SAMPLE,0.008720563677032039,0.0,0.47917343858834455,0.5033165062338688,0.36371482305776925,0.5093779170942314,0.49113500940738325,,0.008720563677032039,,0.005079017237488389,-0.001394057385102825,0.018932802933019348,0.005752933509724394,0.005532046192745649,0.016281149237603754,True,False,0.08598309036010433,0.9329366427932821,False
COMPRESSION,ATR_RATIO,ENTER_LOW,1-3,n/a,UP,1,continuation,4864,STRONG_SAMPLE,-0.003561751994113156,0.0,0.48211348684210525,0.38427967442812694,0.25569377495884826,0.3492312043393482,0.3552897774263187,,-0.003561751994113156,,0.010241281595251428,-0.024043336412671305,0.01660138923046892,-0.007247010455366888,-0.007787956851158084,0.0053035048143201015,False,False,1.0,1.0,False
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,0,n/a,DOWN,1,continuation,2969,STRONG_SAMPLE,-0.028534345515509735,0.020303023793018387,0.5065678679690131,0.48908589138221686,0.35071838143495104,0.4535985641553113,0.5120060067819565,,0.028534345515509735,,0.01318622904484431,0.003561255899897797,0.05424327253404085,0.0628569403418615,0.031243511970728832,-0.011370230403207445,False,False,0.030468156850856014,0.5427140439058727,False
COMPRESSION,RANGE_RATIO,ENTER_LOW,1-3,n/a,UP,1,continuation,6912,STRONG_SAMPLE,0.000991999128494919,0.0,0.4774305555555556,0.37074651880012205,0.2641986603583794,0.35552263612916846,0.3634673561297798,,0.000991999128494919,,0.006568190979651619,-0.011568260262156049,0.013513428817444922,-0.003929367102655425,-0.01210295467933725,0.02147555599533041,False,False,0.879951420851425,1.0,False
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,0,n/a,DOWN,1,continuation,2260,STRONG_SAMPLE,-0.030164287811117338,0.027283060049930932,0.504424778761062,0.5446075375784067,0.4041062940190552,0.5046635849308522,0.5948965723485523,,0.030164287811117338,,0.01641241151469284,-0.0006394247473438211,0.062415979457490015,0.04340473103582324,0.021833042852294864,0.024724855012252283,True,True,0.06607789025798834,0.8187912488489859,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,90-95,DOWN,1,continuation,9857,STRONG_SAMPLE,0.007327832700927065,0.04801955050037109,0.5264279192452065,0.5934143272810063,0.42365996852513493,0.5630845679715635,0.6121809097835775,,-0.007327832700927065,,0.008723556605905907,-0.0247471997599232,0.010214734813609537,-0.02508645149433452,0.004022595850444284,-0.0005125177503145644,False,False,1.0,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,95-99,DOWN,1,continuation,6120,STRONG_SAMPLE,-0.0034614846554760757,0.051395728373126254,0.5251633986928105,0.7486897903732468,0.5273216456102457,0.688011123752736,0.7579089715845909,,0.0034614846554760757,,0.014230235424752862,-0.02256103662243293,0.030631640838216147,-0.014312666261726574,0.011883147419524056,0.013874681756446157,False,False,0.8078128301690181,1.0,False
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,0,n/a,UP,1,continuation,2861,STRONG_SAMPLE,-0.006172714750185325,0.0,0.47396015379238027,0.4211052943366783,0.3078375479903309,0.4115708006128294,0.4207550294913967,,-0.006172714750185325,,0.013647254270405536,-0.032061122677551096,0.019937565582963265,0.009197040956317922,-0.005257049317191335,-0.02343084957854245,False,False,1.0,1.0,False
COMPRESSION,RV_RATIO,ENTER_LOW,1-3,n/a,NEUTRAL,1,continuation,1019,STRONG_SAMPLE,0.02034412675083823,0.0,0.4975466143277723,0.41134187765695646,0.29981616147543094,0.4073785226835323,0.3954095001349404,,0.02034412675083823,,0.01855144476211588,-0.017078766371085716,0.05529344643394207,0.004700596210753396,0.04930106675729593,0.019049146773209052,True,False,0.2728018503732884,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,80-90,DOWN,1,continuation,21518,STRONG_SAMPLE,0.016538223183230293,0.03879094363878549,0.5187285063667627,0.5532701063493531,0.40032992859313266,0.5411761068096205,0.555023826729198,,-0.016538223183230293,,0.006611811968856554,-0.029401119785236556,-0.004184413548493682,-0.023038586063967748,-0.01726317460616625,-0.00783266639344118,True,False,1.0,1.0,False
COMPRESSION,RV_RATIO,ENTER_LOW,1-3,n/a,UP,1,continuation,12006,STRONG_SAMPLE,0.006520391548186224,0.0,0.4855905380643012,0.4094571629532728,0.29680235604043226,0.4079455552412073,0.40234688658242185,,0.006520391548186224,,0.005513838303198083,-0.00455919106704629,0.017453578844155233,0.011302389761704945,-0.005721187337844998,0.014842737031135462,False,False,0.23698739009293734,1.0,False
REGIME_TRANSITION,ATR_24,NORMAL->LOW,n/a,n/a,DOWN,1,continuation,920,ANALYZABLE,0.022278553083728104,0.03686265803800891,0.5141304347826087,0.3820757914294061,0.27865361720831683,0.39311055004608914,0.38765221826220336,,-0.022278553083728104,,0.017300872372224368,-0.05583991683288171,0.01213665342626074,-0.02104347248240753,-0.03067206342818829,-0.012320201819549008,True,False,1.0,1.0,False
COMPRESSION,ATR_24,ENTER_LOW,1-3,n/a,DOWN,1,continuation,1345,STRONG_SAMPLE,0.021435298271003045,0.0365648715409422,0.5137546468401487,0.4199395232361662,0.3096576556145521,0.42753350922789785,0.42403079463184357,,-0.021435298271003045,,0.01625074236102103,-0.05348701298242468,0.009467401593061362,-0.020021557071871903,-0.023141291735409863,-0.020676795748915767,True,False,1.0,1.0,False
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,0,n/a,UP,1,continuation,2828,STRONG_SAMPLE,0.02171388938038817,0.0,0.4900990099009901,0.4422670736339284,0.3255401485989221,0.4648342846497416,0.4265070791991461,,0.02171388938038817,,0.011771424906228088,-0.0005099319245203052,0.04467157060748442,0.024292977819245293,-0.002061374313949557,0.043522176663877116,False,False,0.0650918021269277,0.8187912488489859,False
COMPRESSION,ATR_24,ENTER_LOW,1-3,n/a,UP,1,continuation,1389,STRONG_SAMPLE,0.00705309329163269,0.0,0.4866810655147588,0.4040188457345921,0.30657523345384513,0.4126449894608668,0.4089956156837422,,0.00705309329163269,,0.015029099730446908,-0.02095012046578161,0.03849778122178148,-0.01221569062501048,-0.0012968752374570762,0.0400405707505897,False,False,0.6388582212029763,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,95-99,UP,1,continuation,5378,STRONG_SAMPLE,-0.009423460862591907,-0.024294646885192422,0.46671625139457046,0.6865549032405162,0.45958892833118525,0.6645496679436472,0.6428195386162148,,-0.009423460862591907,,0.014427813229006678,-0.03952107155006272,0.020516644267961362,-0.03321108319273714,0.010103472319550147,-0.002514437964939945,False,False,1.0,1.0,False
REGIME_TRANSITION,ATR_24,NORMAL->HIGH,n/a,n/a,DOWN,1,continuation,1020,STRONG_SAMPLE,-0.03129466158378643,0.05409283593810416,0.5284313725490196,0.927007444933368,0.6614958269665179,0.8815500018125043,0.9670003508241253,,0.03129466158378643,,0.04153725739438034,-0.05104274225920406,0.11192177192126856,0.17804010263656636,-0.062472619019289105,-0.03940640865664652,False,False,0.4512024692029106,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,99+,DOWN,1,continuation,1147,STRONG_SAMPLE,-0.0705908991444943,0.06711569120016615,0.5204882301656495,1.1524231480898708,0.7995313106793379,1.0455830618725699,1.237206251505121,,0.0705908991444943,,0.05200195324926978,-0.023262358653775322,0.17467159942630966,0.1196802074792136,0.08856265473082492,-0.0029981691456345007,False,False,0.174633093884254,1.0,False
COMPRESSION,RANGE_RATIO,ENTER_LOW,1-3,n/a,NEUTRAL,1,continuation,700,ANALYZABLE,-0.019498322116651853,0.0,0.48714285714285716,0.36566023268846953,0.26641646880189235,0.32879808644419206,0.3636769986544082,,-0.019498322116651853,,0.022409667201550257,-0.06226603505964118,0.023102325968334027,-0.023130234127283846,0.011525821430972062,-0.05860344874790626,False,False,1.0,1.0,False
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,n/a,n/a,UP,1,continuation,881,ANALYZABLE,-0.018438225197663107,-0.01350022088111833,0.4790011350737798,0.34181490927822966,0.23996743960383893,0.3236889463639366,0.33812892237273146,,-0.018438225197663107,,0.017158556613199403,-0.05308517848600526,0.012202391893527502,-0.0025220789516842926,-0.058790746824241645,0.016622307631522806,False,False,1.0,1.0,False
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,0,n/a,UP,1,continuation,2193,STRONG_SAMPLE,-0.00978078114206183,-0.04288838918379397,0.4523483812129503,0.49636965040635905,0.3565514710125762,0.5275177548430694,0.4994061728185046,,-0.00978078114206183,,0.015666000241521667,-0.04134020886575994,0.020508346709935794,0.00329494467562805,-0.03197985062691498,0.0012421881632812457,False,False,1.0,1.0,False
REGIME_TRANSITION,ATR_24,NORMAL->LOW,n/a,n/a,UP,1,continuation,940,ANALYZABLE,-0.014711414875001567,0.0,0.46382978723404256,0.36344809322621713,0.27226255275497924,0.36132328231223315,0.38471411448539755,,-0.014711414875001567,,0.016681365918720187,-0.04972338061019226,0.015259756789550818,-0.003007909003016676,-0.030961911530917208,-0.004212634950806947,True,False,1.0,1.0,False
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,0,n/a,DOWN,1,continuation,2876,STRONG_SAMPLE,-0.013731852827147837,0.025748176114525054,0.5069541029207232,0.4334190804563767,0.32212723028151624,0.41772013636875777,0.46334927967927814,,0.013731852827147837,,0.01131004089172101,-0.007227560764540848,0.037039150850786615,0.03597057844040164,0.0013907988871908472,0.004097254630143199,True,False,0.22469832606450363,1.0,False
REGIME_TRANSITION,ATR_24,LOW->NORMAL,n/a,n/a,DOWN,1,continuation,934,ANALYZABLE,-0.016029025560530936,0.03156769361409471,0.5085653104925053,0.8714751228557032,0.6274591585196412,0.802261908217761,0.9253447495176063,,0.016029025560530936,,0.042696435986249656,-0.0686657726235448,0.09698191122299067,-0.034650703338961364,0.036791680251099405,0.04570521778744471,False,False,0.7073493597069984,1.0,False
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,0,n/a,DOWN,1,continuation,934,ANALYZABLE,-0.016029025560530936,0.03156769361409471,0.5085653104925053,0.8714751228557032,0.6274591585196412,0.802261908217761,0.9253447495176063,,0.016029025560530936,,0.042696435986249656,-0.0686657726235448,0.09698191122299067,-0.034650703338961364,0.036791680251099405,0.04570521778744471,False,False,0.7073493597069984,1.0,False
COMPRESSION,ATR_24,ENTER_LOW,1-3,n/a,NEUTRAL,1,continuation,187,WEAK_SAMPLE,0.014997280147737475,0.05117300994616131,0.5240641711229946,0.4352741234662308,0.3601843790485638,0.3986759481751895,0.4168250321299811,,0.014997280147737475,,0.047759269973964326,-0.07986929694591956,0.10422559349924926,-0.02797955123099888,0.0037357280766673637,0.18282186160932518,False,False,0.7535072133274777,1.0,False
REGIME_TRANSITION,ATR_24,LOW->NORMAL,n/a,n/a,UP,1,continuation,935,ANALYZABLE,0.00984381702058546,-0.03097355008312212,0.47593582887700536,0.877704993128638,0.5727875159407042,0.9089501777249055,0.8483358709588884,,0.00984381702058546,,0.06138784644668833,-0.11312324731911885,0.14168985904498096,-0.025850326090167686,0.01993992142505907,0.04157071639057664,False,False,0.872601834638084,1.0,False
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,0,n/a,UP,1,continuation,935,ANALYZABLE,0.00984381702058546,-0.03097355008312212,0.47593582887700536,0.877704993128638,0.5727875159407042,0.9089501777249055,0.8483358709588884,,0.00984381702058546,,0.06138784644668833,-0.11312324731911885,0.14168985904498096,-0.025850326090167686,0.01993992142505907,0.04157071639057664,False,False,0.872601834638084,1.0,False
REGIME_TRANSITION,ATR_24,NORMAL->HIGH,n/a,n/a,UP,1,continuation,880,ANALYZABLE,-0.03189869830796904,0.0,0.48863636363636365,0.8002590425210381,0.5980021543881882,0.7587649073250798,0.8313585591739132,,-0.03189869830796904,,0.04157835876205758,-0.11394401518505175,0.04728499574446339,0.06989131465872181,-0.09435981384343534,-0.056295063504632904,False,False,1.0,1.0,False
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,n/a,n/a,DOWN,1,continuation,925,ANALYZABLE,0.011483115433613798,0.03501794184921928,0.5308108108108108,0.3618248444148374,0.25234126413636965,0.3356132444650984,0.341862308727802,,-0.011483115433613798,,0.017187506461620792,-0.047781185969218765,0.02469757679957994,-0.013569153522332162,0.019296474855844684,-0.0520765434930971,False,False,1.0,1.0,False
REGIME_TRANSITION,ATR_24,NORMAL->LOW,n/a,n/a,NEUTRAL,1,continuation,133,WEAK_SAMPLE,0.034429111587998294,0.08700323700930448,0.556390977443609,0.42066025096649695,0.3601843790485638,0.3852425847465666,0.3806040385651628,,0.034429111587998294,,0.05694464378814459,-0.08149899709321776,0.14114611595322876,-0.07586694983629444,0.15518666141661344,0.19357520876215922,False,False,0.5454403722131065,1.0,False
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,0,n/a,NEUTRAL,1,continuation,25,INSUFFICIENT,0.07335949727579966,-0.03853005808327189,0.44,0.3474271753353574,0.2978861677633554,0.4529144292596032,0.27758530133152914,,0.07335949727579966,,0.08957016363424129,-0.09148082677397072,0.2518298434334932,0.06086212128422462,0.20296886652153465,-0.04717909304267231,False,False,0.4127766471677973,1.0,False
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,0,n/a,NEUTRAL,1,continuation,72,INSUFFICIENT,-0.15307937223998502,-0.10691032209989805,0.4027777777777778,0.4511230715187264,0.319377149069737,0.3449130198073443,0.5218953102268,,-0.15307937223998502,,0.08361145326789521,-0.330243320177266,-0.0035657146015089496,-0.18997457678344404,-0.07171932334536957,-0.12536303491526582,True,False,1.0,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,90-95,NEUTRAL,1,continuation,35,INSUFFICIENT,-0.3761564205283898,-0.07570703516468821,0.2857142857142857,0.7212657863440348,0.4469866486206298,0.10567847529837224,0.6742186298441518,,-0.3761564205283898,,0.1759156260820636,-0.7027218847277044,-0.08206974385158235,-0.2378062468774828,-0.4803860742563645,-0.22846577708159355,True,False,1.0,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,80-90,NEUTRAL,1,continuation,106,WEAK_SAMPLE,0.08615544222460722,-0.017857231606200466,0.4716981132075472,0.5832696134582839,0.4215057280847785,0.5729441368406549,0.5485215671866104,,0.08615544222460722,,0.07903970198039752,-0.07142200361336917,0.23661444553757682,0.09226531850501583,0.07537983637411863,0.08511122133604206,True,False,0.27570106682191964,1.0,False
COMPRESSION_EXPANSION,RV_RATIO,LOW->HIGH,0,n/a,DOWN,1,continuation,58,INSUFFICIENT,-0.18015703462630553,0.025514280150130665,0.5,0.8298592215207203,0.5684091069875443,0.7344619548253474,0.9168769865949573,,0.18015703462630553,,0.1480341636754457,-0.09442696486679124,0.4810349012921114,0.7729306800022223,-0.33019197056112465,-0.1616773008288516,False,False,0.2236056103566794,1.0,False
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,95-99,NEUTRAL,1,continuation,23,INSUFFICIENT,0.4458085213647605,0.0028438066097908345,0.5217391304347826,1.0134021997650267,0.5205659001970334,0.9400696478081554,0.17148949893393095,,0.4458085213647605,,0.3173949828439311,-0.15593791646409658,1.1168693175177837,0.10734185683582294,0.9059962475382022,-0.09446876602240456,False,False,0.1601444483477847,1.0,False
REGIME_TRANSITION,ATR_24,NORMAL->HIGH,n/a,n/a,NEUTRAL,1,continuation,5,INSUFFICIENT,-0.36799276160354566,-0.39100366288737043,0.4,1.0684322881903774,0.7516568320399631,0.6982604522809054,1.4684226454315272,,-0.36799276160354566,,0.6175743783382648,,,-1.4239017376009706,0.8755494082335396,-0.7432591492828661,False,False,1.0,1.0,False
