event_family,vol_measure,transition,orientation,horizon,N,mean_directional_atr,era1,era2,era3,directional_replicated,uplift_pct
COMPRESSION,ATR_24,ENTER_LOW,continuation,1,2921,-0.005556055530569797,-0.017387928780318695,-0.011235114289951095,0.017246521049262085,False,
COMPRESSION,ATR_24,ENTER_LOW,reversal,1,2921,0.005556055530569797,0.017387928780318695,0.011235114289951095,-0.017246521049262085,False,
COMPRESSION,ATR_24,ENTER_LOW,magnitude,1,2921,0.41335059793432977,0.430160721535278,0.4095660759710457,0.39798048781953377,False,-17.953887216094532
COMPRESSION,ATR_RATIO,ENTER_LOW,continuation,1,10109,-0.0072612954723330955,-0.02035445432948748,-0.003467785772909907,0.004663385996418762,False,
COMPRESSION,ATR_RATIO,ENTER_LOW,reversal,1,10109,0.0072612954723330955,0.02035445432948748,0.003467785772909907,-0.004663385996418762,False,
COMPRESSION,ATR_RATIO,ENTER_LOW,magnitude,1,10109,0.3803233842215182,0.40157696950342514,0.3867176283203099,0.34675701942069037,False,-24.50947105886908
COMPRESSION,RANGE_RATIO,ENTER_LOW,continuation,1,14164,-0.007309349530360495,-0.013729350770551338,-0.009078763969694106,0.002610275576488281,False,
COMPRESSION,RANGE_RATIO,ENTER_LOW,reversal,1,14164,0.007309349530360495,0.013729350770551338,0.009078763969694106,-0.002610275576488281,False,
COMPRESSION,RANGE_RATIO,ENTER_LOW,magnitude,1,14164,0.365990844005388,0.38381452993093856,0.3659682712481518,0.34389180580419554,False,-27.354342257626364
COMPRESSION,RV_RATIO,ENTER_LOW,continuation,1,24077,-0.0024444566010505112,-0.002636158565107801,-0.009314884517058808,0.005666781668443424,False,
COMPRESSION,RV_RATIO,ENTER_LOW,reversal,1,24077,0.0024444566010505112,0.002636158565107801,0.009314884517058808,-0.005666781668443424,False,
COMPRESSION,RV_RATIO,ENTER_LOW,magnitude,1,24077,0.4127816266042023,0.42333078703060684,0.41356858115796524,0.3993586920678823,False,-18.06682254546319
COMPRESSION_EXPANSION,ATR_24,LOW->HIGH,continuation,1,1,1.8400041268475054,1.8400041268475054,,,False,
COMPRESSION_EXPANSION,ATR_24,LOW->HIGH,reversal,1,1,-1.8400041268475054,-1.8400041268475054,,,False,
COMPRESSION_EXPANSION,ATR_24,LOW->HIGH,magnitude,1,1,1.8400041268475054,1.8400041268475054,,,False,
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,continuation,1,1882,-0.003448645203633414,-0.07757445566349741,0.027766025263716992,0.043257075530191834,False,
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,reversal,1,1882,0.003448645203633414,0.07757445566349741,-0.027766025263716992,-0.043257075530191834,False,
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,magnitude,1,1882,0.8893346871724289,0.8779941228244623,0.8985033401324976,0.8903095807923147,True,76.52437037959912
COMPRESSION_EXPANSION,ATR_RATIO,LOW->HIGH,continuation,1,20,-2.1977435097719993,-2.237474408987842,-4.703192712269135,-0.10597616949943796,False,
COMPRESSION_EXPANSION,ATR_RATIO,LOW->HIGH,reversal,1,20,2.1977435097719993,2.237474408987842,4.703192712269135,0.10597616949943796,False,
COMPRESSION_EXPANSION,ATR_RATIO,LOW->HIGH,magnitude,1,20,3.4737306065899873,4.159281540848593,5.034279808692838,0.7170791895387711,False,
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,continuation,1,4478,0.009448789211749612,0.02263955560266711,-0.005235526544364255,0.010899745287940616,False,
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,reversal,1,4478,-0.009448789211749612,-0.02263955560266711,0.005235526544364255,-0.010899745287940616,False,
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,magnitude,1,4478,0.5203742849792163,0.5525635849802314,0.5061152372119553,0.4984973098570115,False,3.289283936228826
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->HIGH,continuation,1,9,-0.0530256245344562,0.11221307537706622,,-0.6313610742247846,False,
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->HIGH,reversal,1,9,0.0530256245344562,-0.11221307537706622,,0.6313610742247846,False,
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->HIGH,magnitude,1,9,2.2123483076174986,2.6640589457297024,,0.6313610742247846,False,
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,continuation,1,5869,0.023019873266656537,0.0383090663258161,0.014701470109471097,0.014261284087948425,False,
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,reversal,1,5869,-0.023019873266656537,-0.0383090663258161,-0.014701470109471097,-0.014261284087948425,False,
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,magnitude,1,5869,0.4660603436530754,0.47579811446923453,0.45582968766040477,0.4657419678956347,False,-7.49151032910561
COMPRESSION_EXPANSION,RV_RATIO,LOW->HIGH,continuation,1,110,-0.05903581077937048,0.41229999058707584,-0.7834330900484434,0.15006501931828667,False,
COMPRESSION_EXPANSION,RV_RATIO,LOW->HIGH,reversal,1,110,0.05903581077937048,-0.41229999058707584,0.7834330900484434,-0.15006501931828667,False,
COMPRESSION_EXPANSION,RV_RATIO,LOW->HIGH,magnitude,1,110,0.9782218915900553,1.1685571960335617,1.0263431103158869,0.6280412540600527,False,
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,continuation,1,5762,0.004107368841112797,0.02275609495855077,-0.0012027379209500763,-0.010108188554017902,False,
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,reversal,1,5762,-0.004107368841112797,-0.02275609495855077,0.0012027379209500763,0.010108188554017902,False,
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,magnitude,1,5762,0.4269318295510518,0.43704775852266997,0.4214534150046548,0.42214102016536703,False,-15.258143538600333
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,continuation,1,1867,-0.02416769596628402,-0.033286989834639805,-0.02200553720923724,-0.016200445554641667,False,
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,reversal,1,1867,0.02416769596628402,0.033286989834639805,0.02200553720923724,0.016200445554641667,False,
