event_family,year,abs_return_atr_12
COMPRESSION,2018,1.567938567618636
COMPRESSION,2019,1.5245153990885338
COMPRESSION,2020,1.6624725028450198
COMPRESSION,2021,1.4977153786576936
COMPRESSION,2022,1.5016793560173314
COMPRESSION,2023,1.3743519895377374
COMPRESSION,2024,1.40773379349451
COMPRESSION,2025,1.5197648624459184
COMPRESSION,2026,1.597405252207876
COMPRESSION_EXPANSION,2018,1.8385988877571955
COMPRESSION_EXPANSION,2019,1.8884092899163243
COMPRESSION_EXPANSION,2020,1.9715855420969566
COMPRESSION_EXPANSION,2021,1.7930379988641096
COMPRESSION_EXPANSION,2022,1.7715799891178878
COMPRESSION_EXPANSION,2023,1.5740257653838305
COMPRESSION_EXPANSION,2024,1.631639855406579
COMPRESSION_EXPANSION,2025,1.704324288735061
COMPRESSION_EXPANSION,2026,1.6603490643096828
REGIME_TRANSITION,2018,2.1430564318644585
REGIME_TRANSITION,2019,2.0012456546355004
REGIME_TRANSITION,2020,2.238472615163809
REGIME_TRANSITION,2021,1.9850208529728395
REGIME_TRANSITION,2022,2.1826744140512013
REGIME_TRANSITION,2023,1.8840103672645527
REGIME_TRANSITION,2024,2.082236548499354
REGIME_TRANSITION,2025,2.1319426503725842
REGIME_TRANSITION,2026,2.03523101614512
VOLATILITY_SHOCK,2018,2.0489776448754817
VOLATILITY_SHOCK,2019,2.061905436122497
VOLATILITY_SHOCK,2020,1.9542756828717505
VOLATILITY_SHOCK,2021,2.049109661866682
VOLATILITY_SHOCK,2022,2.0686024258155724
VOLATILITY_SHOCK,2023,1.9701732753592074
VOLATILITY_SHOCK,2024,2.0698239464395907
VOLATILITY_SHOCK,2025,2.0376050691354237
VOLATILITY_SHOCK,2026,1.993450447983083
