N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT,year
433,0.2748267898383372,-0.038991816234135133,0.946100959795365,-16.883456429380512,34.53262619980327,-1.0001138578459554,2.0,4.448036951501154,1.3386004066520456,1.2838133362649826,-0.03887605850654483,0.7228637413394919,0.27251732101616627,0.004618937644341801,2017
1795,0.2880222841225627,0.006069930611483391,1.008530391007699,10.895525447612687,57.820355246729264,-1.0001005732177979,3.0,5.285793871866296,1.4181983880745384,1.1854439543708735,0.006173806126590499,0.7114206128133704,0.28690807799442897,0.001671309192200557,2018
1832,0.2789301310043668,-0.027627205955220883,0.961648781576617,-50.61304130996466,92.83538283907399,-1.0000922846824412,3.0,5.084061135371179,1.3423222111218334,1.1828549516941413,-0.02753153746675862,0.7199781659388647,0.2762008733624454,0.003820960698689956,2019
1747,0.2770463651974814,-0.03146080575514709,0.9564860947738292,-54.962027654241965,110.5584238521274,-1.000063650031433,3.0,5.258156840297653,1.3190993748189048,1.165089764345152,-0.0313889484207185,0.7229536348025186,0.27647395535203206,0.0005724098454493417,2020
1945,0.29562982005141386,0.029871600052072077,1.0424068150399428,58.100262101280194,45.137353369666826,-1.0000474018862682,3.0,5.615424164524422,1.4125049354723187,1.136195252863602,0.029921956117782013,0.7043701799485861,0.29254498714652954,0.003084832904884319,2021
2003,0.27508736894658015,-0.03966557603640665,0.945180118766557,-79.45014880092252,98.27892550374101,-1.0000540827119149,3.0,6.08237643534698,1.35259208710984,1.1901027200284042,-0.03960787236648094,0.7229156265601597,0.27309036445332,0.00399400898652022,2022
1908,0.28459119496855345,-0.0046306165748852875,0.9935231367286914,-8.835216424881128,49.008903764819166,-1.0000475041317678,3.0,5.618972746331237,1.3986501712976647,1.1493851771710237,-0.004578969135382338,0.7148846960167715,0.28354297693920333,0.0015723270440251573,2023
1878,0.2779552715654952,-0.026759580023840553,0.9628552297243516,-50.254491284772556,73.25071082899527,-1.0000361671707667,3.0,5.413205537806177,1.3018051103230757,1.1404990983037386,-0.02672151768668289,0.7199148029818956,0.2774227902023429,0.0026624068157614484,2024
1870,0.3149732620320856,0.09925689208918966,1.1449293704203753,185.61038820678465,43.50495317388663,-1.0000297309354824,3.0,5.766310160427808,1.4640154112061297,1.1139683973115042,0.09928946092013022,0.6844919786096256,0.31336898395721924,0.0021390374331550803,2025
1253,0.286512370311253,-0.0009741253766920523,0.99863150510768,-1.2205790969951416,75.84970996357185,-1.0000247214272666,3.0,6.339185953711094,1.3819108209770978,1.3015627218153565,-0.000947310226674129,0.7110933758978452,0.2825219473264166,0.006384676775738229,2026
