control,N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT
REAL_SHORT,16664,0.28624579932789246,-0.00045684020916231943,0.9993593196545303,-7.612785245480891,236.03770517312256,-1.0000436015768988,3.0,5.558809409505521,1.3759063029821814,1.171909739295103,-0.0003959046859370753,0.7127340374459914,0.28444551128180506,0.0028204512722035525
RANDOM_DIRECTION,16664,,0.004506010912147815,1.0063413729532067,75.0881658400312,,,,,,,,,,
FLIPPED_LONG,16664,0.7137542006721075,0.00045684020916231943,1.0006410910799242,7.612785245480891,253.22646162826607,1.0000436015768988,3.0,5.558809409505521,1.3759063029821814,1.171909739295103,-0.0003959046859370753,0.7127340374459914,0.28444551128180506,0.0028204512722035525
