model_id,group,N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT
S0,KEPT,16664,0.28624579932789246,-0.00045684020916231943,0.9993593196545303,-7.612785245480891,236.03770517312256,-1.0000436015768988,3.0,5.558809409505521,1.3759063029821814,1.171909739295103,-0.0003959046859370753,0.7127340374459914,0.28444551128180506,0.0028204512722035525
S0,REJECTED,0,,,,,,,,,,,,,,
S1,KEPT,1044,0.2768199233716475,-0.03118854258698091,0.9568755916035444,-32.56083846080807,108.02163936216863,-1.0000419691317228,3.0,5.510536398467433,1.3314428331108588,1.2000375580011426,-0.031130268199233715,0.7231800766283525,0.2768199233716475,0.0
S1,REJECTED,15620,0.28687580025608195,0.0015971865054626852,1.002242057859533,24.948053215327143,169.68027578736792,-1.0000437277274816,3.0,5.562035851472471,1.3788781251682034,1.1700297493636618,0.0016582998920323042,0.7120358514724712,0.284955185659411,0.0030089628681177977
S2,KEPT,2898,0.2732919254658385,-0.04434426695590071,0.9389035795184303,-128.50968563820027,188.20102164969683,-1.000045136790304,3.0,5.063492063492063,1.3023859244426985,1.1653928977609984,-0.04428324074381686,0.7253278122843341,0.27191166321601107,0.0027605244996549345
S2,REJECTED,13766,0.28897283161412174,0.008782282463512956,1.0123629683409123,120.89690039271936,121.9041970690003,-1.0000428160745216,3.0,5.663082958012494,1.391383715230287,1.1732816561021515,0.008843198895040375,0.7100828127270086,0.2870841202963824,0.0028330669766090367
S3,KEPT,3206,0.28696194635059263,4.252041148398489e-05,1.0000597108441127,0.13632043921765558,153.9580296465657,-1.0000428045420464,3.0,5.836868371802869,1.361686298910127,1.2248915127014937,0.00010196664745564127,0.7117903930131004,0.28415470991890207,0.004054897067997504
S3,REJECTED,13458,0.28607519690890176,-0.0005757992037968912,0.9991927456385167,-7.749105684698563,164.41728755580993,-1.0000438217299212,3.0,5.492569475404964,1.3792938295875468,1.1592882825005648,-0.0005145088986623698,0.7129588348937435,0.28451478674394415,0.0025263783623123794
S4,KEPT,249,0.2971887550200803,0.04009705798963224,1.0570487662747763,9.984167439418428,35.50692444149546,-1.0000444470231988,3.0,4.903614457831325,1.3426605591825675,1.2344345528750553,0.040160642570281124,0.7028112449799196,0.2971887550200803,0.0
S4,REJECTED,16415,0.2860798050563509,-0.0010720044279560947,0.9984969291876044,-17.596952684899296,210.64594565065727,-1.0000435704128994,3.0,5.568748096253427,1.3764106094217858,1.1709612971031191,-0.0010111090884225057,0.7128845568077977,0.284252208346025,0.0028632348461772768
S5,KEPT,3242,0.2936458975940777,0.0266757098438406,1.0378363126960832,86.48265131373122,110.23129450809029,-1.0000399418386405,3.0,5.752621838371375,1.3855664418131481,1.1363319447054803,0.026733555607847986,0.7048118445404071,0.2917951881554596,0.003392967304133251
S5,REJECTED,13422,0.2844583519594695,-0.007010537666458956,0.990194960753294,-94.0954365592121,196.63659348268013,-1.0000442498855107,3.0,5.511995231709134,1.3735729569763706,1.1805033326537344,-0.00694885583125455,0.7146475935032037,0.28267024288481596,0.002682163611980331
S6,KEPT,4619,0.2749512881576099,-0.03818455822077032,0.9472915531366858,-176.3744744217381,220.88437510706126,-1.0000438281633732,3.0,5.090928772461572,1.3276421891385326,1.204253849160702,-0.03812409783788806,0.7239662264559429,0.27408529984845204,0.0019484736956051094
S6,REJECTED,12045,0.29057700290577004,0.014010933098900558,1.0197703096309882,168.76168917625722,158.12455264285109,-1.0000432097385812,3.0,5.738231631382316,1.3944145588430212,1.1595064646193698,0.014072050828289709,0.7084267330842673,0.2884184308841843,0.00315483603154836
S7,KEPT,6848,0.2844626168224299,-0.00745381290452785,0.9895720702744414,-51.043710770206715,248.59301326496077,-1.0000449165258671,3.0,5.29366238317757,1.362287516166489,1.1879291540542405,-0.007391623857405614,0.7143691588785047,0.28227219626168226,0.003358644859813084
S7,REJECTED,9816,0.28748981255093725,0.004424503415314367,1.006215568717131,43.43092552472583,110.44064189067612,-1.0000416204081826,3.0,5.7437856560717195,1.385407265911467,1.160734010661181,0.004484564434500635,0.7115933170334149,0.28596169519152403,0.0024449877750611247
S8,KEPT,2629,0.3149486496766831,0.10011296580274201,1.1462747443675558,263.19698709540876,37.10625519830584,-1.000040992585996,4.0,6.058197033092431,1.5052232354136232,1.1544898030360444,0.10017270944483522,0.6842906047926969,0.3130467858501331,0.0026626093571700264
S8,REJECTED,14035,0.28086925543284647,-0.01929531687501885,0.9731419778004977,-270.80977234088954,415.98833176206114,-1.000044026732685,3.0,5.4652654079088,1.3516829887419066,1.175172796824498,-0.019234158091694136,0.7180619878874243,0.2790879942999644,0.0028500178126113287
S9,KEPT,13122,0.28440786465477824,-0.007072162877115973,0.9901080771537804,-92.8009212735158,327.4506095677998,-1.0000438422924136,3.0,5.58862978204542,1.3675256585638043,1.1739893147129354,-0.007011325385907946,0.7146776406035665,0.28250266727632983,0.0028196921201036427
