model_id,retention_pct,N_short,N_val,short_AvgR,short_PF,short_TotalR,short_MaxDD,short_WinRate,delta_short_AvgR,delta_short_PF,delta_short_TotalR,port_AvgR,port_PF,port_TotalR,port_MaxDD,delta_port_AvgR,delta_port_TotalR,kept_AvgR,rejected_AvgR,kept_N,rejected_N,val_AvgR,val_N,val_pass,year_positive_frac
S8,15.77652424387902,2629,536,0.10011296580274201,1.1462747443675558,263.19698709540876,37.10625519830584,0.3149486496766831,0.10056980601190432,0.14691542471302554,270.80977234088965,0.03836242069085721,1.0547254880301924,849.3056316748878,79.37822261416126,0.02237038609877455,270.8097723408895,0.10011296580274201,-0.01929531687501885,2629,14035,0.05294934865303598,536,False,0.7
S4,1.4942390782525203,249,50,0.04009705798963224,1.0570487662747763,9.984167439418428,35.50692444149546,0.2971887550200803,0.04055389819879456,0.057689446620246,17.59695268489932,0.03016816701345703,1.0428996281492295,596.0928120188975,85.37136979226321,0.014176132421374367,17.59695268489918,0.04009705798963224,-0.0010720044279560947,249,16415,-0.0900448858627966,50,False,0.5
S5,19.45511281805089,3242,672,0.0266757098438406,1.0378363126960832,86.48265131373122,110.23129450809029,0.2936458975940777,0.02713255005300292,0.03847699304155294,94.09543655921212,0.02956185372245122,1.0420218498215894,672.5912958932101,89.68017717812603,0.013569819130368557,94.09543655921186,0.0266757098438406,-0.007010537666458956,3242,13422,-0.0815839669013092,672,False,0.5
S3,19.239078252520404,3206,645,4.252041148398489e-05,1.0000597108441127,0.13632043921765558,153.9580296465657,0.28696194635059263,0.0004993606206463043,0.0007003911895824277,7.749105684698547,0.025807579020016583,1.0366333123655382,586.2449650186967,90.0640771451285,0.00981554442793392,7.7491056846984065,4.252041148398489e-05,-0.0005757992037968912,3206,13458,0.009652304161955984,645,False,0.4
S0,100.0,16664,3333,-0.00045684020916231943,0.9993593196545303,-7.612785245480891,236.03770517312256,0.28624579932789246,0.0,0.0,0.0,0.015992034592082663,1.0225953830536263,578.4958593339983,170.24068076042175,0.0,0.0,-0.00045684020916231943,0.0,16664,0,-0.015297886781174051,3333,False,0.3
S9,78.74459913586173,13122,2647,-0.007072162877115973,0.9901080771537804,-92.8009212735158,327.4506095677998,0.28440786465477824,-0.006615322667953653,-0.009251242500749934,-85.1881360280349,0.015117299684541653,1.021353897216963,493.30772330596324,136.24422396941532,-0.0008747349075410096,-85.18813602803505,-0.007072162877115973,0.024050857150772133,13122,3542,-0.030920062598815627,2647,False,0.5
S7,41.09457513202112,6848,1344,-0.00745381290452785,0.9895720702744414,-51.043710770206715,248.59301326496077,0.2844626168224299,-0.0069969726953655305,-0.009787249380088903,-43.43092552472582,0.020299906434830883,1.0287438282493473,535.0649338092724,126.17528600507544,0.00430787184274822,-43.43092552472592,-0.00745381290452785,0.004424503415314367,6848,9816,-0.009422290852577671,1344,False,0.4
S14,40.32045127220355,6719,1379,-0.016325251089851507,0.9772527039807469,-109.68936207271227,218.04897951402504,0.28173835392171453,-0.015868410880689188,-0.02210661567378336,-102.07657682723138,0.018163837069913712,1.0256938807141995,476.41928250676676,99.80140474600063,0.0021718024778310495,-102.07657682723152,-0.016325251089851507,0.01026411028931436,6719,9945,-0.05569732137198474,1379,False,0.4
S11,23.481757081132983,3913,790,-0.018759327495200245,0.9738682150728856,-73.40524848871856,221.50546046948855,0.2813697929977,-0.018302487286037925,-0.02549110458164472,-65.79246324323766,0.02188888682452122,1.031018251824167,512.7033960907605,98.58443023377563,0.0058968522324385556,-65.79246324323776,-0.018759327495200245,0.00515978850625344,3913,12751,-0.05605139078573659,790,False,0.5
S12,33.83341334613538,5638,1100,-0.020405566319535884,0.9715975202247018,-115.0465829095433,281.9915616799604,0.28077332387371406,-0.019948726110373564,-0.027761799429828482,-107.43379766406241,0.018731591445440426,1.0265079002646378,471.0620616699359,154.56912054993984,0.0027395568533577636,-107.43379766406241,-0.020405566319535884,0.009743678366049547,5638,11026,6.493187512119389e-05,1100,False,0.4
S13,37.49399903984638,6248,1229,-0.027541965344940755,0.9617816678937192,-172.08219947518984,329.51543767768374,0.27864916773367476,-0.027085125135778435,-0.03757765176081107,-164.46941422970895,0.016073703125409167,1.022720423207261,414.02644510428934,169.0773992789558,8.16685333265045e-05,-164.46941422970895,-0.027541965344940755,0.01579007433080923,6248,10416,-0.036561598921624694,1229,False,0.5
S1,6.265002400384062,1044,225,-0.03118854258698091,0.9568755916035444,-32.56083846080807,108.02163936216863,0.2768199233716475,-0.030731702377818592,-0.04248372805098588,-24.948053215327178,0.02693139078129177,1.0382414042908905,553.547806118671,96.90977692349384,0.010939356189209107,-24.948053215327263,-0.03118854258698091,0.0015971865054626852,1044,15620,-0.23782139168873573,225,False,0.5
S10,22.92966874699952,3821,753,-0.037964747504587386,0.9475819501565573,-145.0633002150284,247.4111222680622,0.2750588851086103,-0.037507907295425066,-0.05177736949797296,-137.4505149695475,0.018903833713276353,1.0267503235602378,441.0453443644506,132.40993296976228,0.00291179912119369,-137.45051496954767,-0.037964747504587386,0.010702368213777742,3821,12843,-0.055335222812177405,753,False,0.4
S6,27.718434949591934,4619,886,-0.03818455822077032,0.9472915531366858,-176.3744744217381,220.88437510706126,0.2749512881576099,-0.037727718011608,-0.052067766517844505,-168.76168917625722,0.016980984299297154,1.0240084131232556,409.734170157741,171.03118483980805,0.0009889497072144912,-168.76168917625728,-0.03818455822077032,0.014010933098900558,4619,12045,0.016169560132517434,886,False,0.4
S2,17.39078252520403,2898,550,-0.04434426695590071,0.9389035795184303,-128.50968563820027,188.20102164969683,0.2732919254658385,-0.043887426746738394,-0.0604557401361,-120.89690039271937,0.020421231655715764,1.028919060224056,457.59895894127885,111.98651802965479,0.0044291970636331016,-120.89690039271943,-0.04434426695590071,0.008782282463512956,2898,13766,0.006984424751713011,550,False,0.4
