N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT,bucket,bucket_type
11804,0.28956286004744153,0.01080258971445301,1.0152201099096554,127.51376898940333,178.5139757708725,-1.0000438014243342,3.0,5.507285665875974,1.3936431158350004,1.1842140090972717,0.010863441837981805,0.7094205354117248,0.2876143680108438,0.002965096577431379,ETH,session
4860,0.2781893004115226,-0.02780381774380334,0.9614405135908809,-135.12655423488422,171.89216939092907,-1.000043081711068,3.0,5.6839506172839505,1.3328270151396564,1.1420250477838263,-0.02774267965884622,0.7207818930041152,0.2767489711934156,0.0024691358024691358,RTH,session
1274,0.26609105180533754,-0.08366326121483798,0.8853881907132443,-106.58699478770359,121.93653387484308,-1.0000422353351046,3.0,6.944270015698587,1.3524169701956228,1.2417979492732307,-0.08360310771095082,0.728414442700157,0.25588697017268447,0.015698587127158554,afternoon,tod_bucket
11194,0.29149544398785066,0.018611964810651457,1.026282877735596,208.34233409043242,128.7215307120005,-1.0000438258452018,3.0,5.377791674111131,1.3922188055918663,1.1763318340212374,0.018672922259411088,0.707879221011256,0.29015544041450775,0.001965338574236198,close_eth,tod_bucket
1284,0.29595015576323985,0.03638294732939794,1.0517189494965058,46.71570437094695,36.50349053186876,-1.0000407936789282,4.0,5.860591900311526,1.374613834046356,1.125731345580898,0.03644401685908009,0.7032710280373832,0.29595015576323985,0.000778816199376947,midday,tod_bucket
1340,0.27313432835820894,-0.044570373978369465,0.9386252357984554,-59.72430113101508,66.72033521721289,-1.0000424714316063,3.0,5.854477611940299,1.2716588303762515,1.0889415683286752,-0.044509438796174444,0.7261194029850746,0.27238805970149255,0.0014925373134328358,morning,tod_bucket
1572,0.2684478371501272,-0.061297409534441204,0.916141369108574,-96.35952778814158,134.3375179725526,-1.000045216088339,3.0,5.2264631043257,1.3687017222969478,1.1922226519843928,-0.06123610553100309,0.7309160305343512,0.2678117048346056,0.001272264631043257,open,tod_bucket
