setup_id,5m_take_j,5m_arm_j,direction,5m_take_m1_i,5m_arm_m1_i,5m_take_price,5m_take_ts,5m_arm_ts,matched_opportunity_id,classification
S58B-000046,438,436,SHORT,2155,2145,5984.0,2017-10-03 06:45:00-05:00,2017-10-03 06:35:00-05:00,OPP_00002107_SHORT,DIRECTION_DISAGREEMENT
S58B-000105,948,947,LONG,4612,4607,6006.75,2017-10-05 03:45:00-05:00,2017-10-05 03:40:00-05:00,OPP_00004656_LONG,DIRECTION_DISAGREEMENT
S58B-000136,1153,1152,LONG,5625,5620,6067.5,2017-10-05 22:05:00-05:00,2017-10-05 22:00:00-05:00,OPP_00005674_LONG,DIRECTION_DISAGREEMENT
S58B-000141,1202,1201,SHORT,5842,5837,6065.25,2017-10-06 02:10:00-05:00,2017-10-06 02:05:00-05:00,OPP_00005891_SHORT,DIRECTION_DISAGREEMENT
S58B-000168,1436,1434,SHORT,7002,6993,6075.25,2017-10-08 22:55:00-05:00,2017-10-08 22:45:00-05:00,OPP_00007035_SHORT,DIRECTION_DISAGREEMENT
S58B-000181,1548,1545,LONG,7547,7532,6081.25,2017-10-09 08:15:00-05:00,2017-10-09 08:00:00-05:00,OPP_00007585_LONG,DIRECTION_DISAGREEMENT
S58B-000207,1775,1774,SHORT,8644,8639,6070.5,2017-10-10 04:25:00-05:00,2017-10-10 04:20:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000251,2230,2229,SHORT,10854,10849,6079.75,2017-10-11 20:50:00-05:00,2017-10-11 20:45:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000260,2308,2306,LONG,11211,11201,6080.0,2017-10-12 03:20:00-05:00,2017-10-12 03:10:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000287,2545,2540,LONG,12383,12358,6077.5,2017-10-13 00:20:00-05:00,2017-10-12 23:55:00-05:00,OPP_00012416_LONG,DIRECTION_DISAGREEMENT
S58B-000366,3257,3242,SHORT,15874,15799,6117.75,2017-10-17 14:10:00-05:00,2017-10-17 12:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000403,3641,3640,LONG,17697,17692,6116.25,2017-10-19 00:40:00-05:00,2017-10-19 00:35:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000430,3892,3881,LONG,18947,18892,6118.75,2017-10-19 22:50:00-05:00,2017-10-19 21:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000453,4128,4124,LONG,20126,20106,6117.25,2017-10-22 19:45:00-05:00,2017-10-22 19:25:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000481,4379,4378,SHORT,21372,21367,6067.25,2017-10-23 17:55:00-05:00,2017-10-23 17:50:00-05:00,OPP_00021420_SHORT,DIRECTION_DISAGREEMENT
S58B-000513,4642,4641,SHORT,22678,22673,6072.75,2017-10-24 17:05:00-05:00,2017-10-24 17:00:00-05:00,OPP_00022644_SHORT,DIRECTION_DISAGREEMENT
S58B-000526,4778,4777,SHORT,23338,23333,6066.5,2017-10-25 04:25:00-05:00,2017-10-25 04:20:00-05:00,OPP_00023282_SHORT,DIRECTION_DISAGREEMENT
S58B-000527,4786,4785,SHORT,23378,23373,6067.0,2017-10-25 05:05:00-05:00,2017-10-25 05:00:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000602,5587,5579,LONG,27355,27315,6216.0,2017-10-30 03:35:00-05:00,2017-10-30 02:55:00-05:00,OPP_00027391_LONG,DIRECTION_DISAGREEMENT
S58B-000605,5621,5620,SHORT,27525,27520,6212.25,2017-10-30 06:25:00-05:00,2017-10-30 06:20:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000618,5802,5801,SHORT,28420,28416,6231.5,2017-10-30 22:45:00-05:00,2017-10-30 22:40:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000651,6092,6081,LONG,29851,29798,6266.75,2017-11-01 00:10:00-05:00,2017-10-31 23:15:00-05:00,OPP_00029887_LONG,DIRECTION_DISAGREEMENT
S58B-000781,7435,7430,LONG,36521,36498,6314.75,2017-11-07 22:20:00-06:00,2017-11-07 21:55:00-06:00,OPP_00036552_LONG,DIRECTION_DISAGREEMENT
S58B-000808,7640,7637,LONG,37533,37519,6342.25,2017-11-08 15:40:00-06:00,2017-11-08 15:10:00-06:00,,DIRECTION_DISAGREEMENT
S58B-000809,7645,7644,LONG,37558,37553,6342.75,2017-11-08 17:05:00-06:00,2017-11-08 17:00:00-06:00,OPP_00037615_LONG,DIRECTION_DISAGREEMENT
S58B-000858,8122,8117,SHORT,39933,39908,6296.75,2017-11-10 10:05:00-06:00,2017-11-10 09:40:00-06:00,,DIRECTION_DISAGREEMENT
S58B-000895,8525,8520,SHORT,41931,41909,6309.0,2017-11-13 22:10:00-06:00,2017-11-13 21:45:00-06:00,OPP_00041883_SHORT,DIRECTION_DISAGREEMENT
S58B-000901,8564,8558,SHORT,42112,42082,6310.0,2017-11-14 01:25:00-06:00,2017-11-14 00:55:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001013,9624,9616,SHORT,47406,47366,6298.75,2017-11-19 22:45:00-06:00,2017-11-19 22:05:00-06:00,OPP_00047364_SHORT,DIRECTION_DISAGREEMENT
S58B-001019,9663,9659,SHORT,47601,47581,6301.25,2017-11-20 02:00:00-06:00,2017-11-20 01:40:00-06:00,OPP_00047566_SHORT,DIRECTION_DISAGREEMENT
S58B-001041,9836,9835,LONG,48460,48456,6314.0,2017-11-20 17:40:00-06:00,2017-11-20 17:35:00-06:00,OPP_00048500_LONG,DIRECTION_DISAGREEMENT
S58B-001108,10395,10394,LONG,51231,51227,6388.75,2017-11-22 18:45:00-06:00,2017-11-22 18:40:00-06:00,OPP_00051263_LONG,DIRECTION_DISAGREEMENT
S58B-001152,10735,10726,SHORT,52862,52817,6393.25,2017-11-24 04:10:00-06:00,2017-11-24 03:25:00-06:00,OPP_00052812_SHORT,DIRECTION_DISAGREEMENT
S58B-001188,11108,11107,SHORT,54721,54716,6406.0,2017-11-27 17:15:00-06:00,2017-11-27 17:10:00-06:00,OPP_00054761_SHORT,DIRECTION_DISAGREEMENT
S58B-001220,11401,11400,SHORT,56180,56175,6419.75,2017-11-28 18:55:00-06:00,2017-11-28 18:50:00-06:00,OPP_00056216_SHORT,DIRECTION_DISAGREEMENT
S58B-001225,11437,11435,SHORT,56355,56346,6416.75,2017-11-28 21:55:00-06:00,2017-11-28 21:45:00-06:00,OPP_00056298_SHORT,DIRECTION_DISAGREEMENT
S58B-001234,11542,11536,LONG,56868,56838,6424.5,2017-11-29 06:40:00-06:00,2017-11-29 06:10:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001345,12482,12475,SHORT,61562,61527,6263.5,2017-12-04 18:00:00-06:00,2017-12-04 17:25:00-06:00,OPP_00061617_SHORT,DIRECTION_DISAGREEMENT
S58B-001376,12751,12749,SHORT,62906,62896,6275.25,2017-12-05 17:40:00-06:00,2017-12-05 17:30:00-06:00,OPP_00062849_SHORT,DIRECTION_DISAGREEMENT
S58B-001401,12958,12957,LONG,63941,63936,6285.0,2017-12-06 10:55:00-06:00,2017-12-06 10:50:00-06:00,OPP_00063982_LONG,DIRECTION_DISAGREEMENT
S58B-001415,13119,13109,LONG,64742,64692,6316.25,2017-12-07 01:35:00-06:00,2017-12-07 00:45:00-06:00,OPP_00064686_LONG,DIRECTION_DISAGREEMENT
S58B-001434,13279,13278,SHORT,65542,65537,6318.25,2017-12-07 14:55:00-06:00,2017-12-07 14:50:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001458,13507,13505,SHORT,66650,66640,6359.25,2017-12-08 11:10:00-06:00,2017-12-08 11:00:00-06:00,OPP_00066597_SHORT,DIRECTION_DISAGREEMENT
S58B-001474,13628,13627,LONG,67239,67234,6375.25,2017-12-10 22:30:00-06:00,2017-12-10 22:25:00-06:00,OPP_00067293_LONG,DIRECTION_DISAGREEMENT
S58B-001493,13820,13817,SHORT,68190,68175,6407.25,2017-12-11 14:30:00-06:00,2017-12-11 14:15:00-06:00,OPP_00068144_SHORT,DIRECTION_DISAGREEMENT
S58B-001514,14014,14009,LONG,69151,69126,6414.0,2017-12-12 07:55:00-06:00,2017-12-12 07:30:00-06:00,OPP_00069208_LONG,DIRECTION_DISAGREEMENT
S58B-001529,14176,14171,SHORT,69957,69932,6391.5,2017-12-12 22:40:00-06:00,2017-12-12 22:15:00-06:00,OPP_00069914_SHORT,DIRECTION_DISAGREEMENT
S58B-001530,14193,14186,SHORT,70041,70007,6398.75,2017-12-13 00:05:00-06:00,2017-12-12 23:30:00-06:00,OPP_00070076_SHORT,DIRECTION_DISAGREEMENT
S58B-001540,14267,14262,LONG,70406,70381,6408.5,2017-12-13 06:15:00-06:00,2017-12-13 05:50:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001578,14711,14707,SHORT,72613,72594,6407.5,2017-12-14 21:45:00-06:00,2017-12-14 21:25:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001627,15113,15112,SHORT,74618,74613,6522.0,2017-12-18 08:30:00-06:00,2017-12-18 08:25:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001639,15227,15223,SHORT,75188,75168,6536.0,2017-12-18 19:15:00-06:00,2017-12-18 18:55:00-06:00,OPP_00075136_SHORT,DIRECTION_DISAGREEMENT
S58B-001642,15248,15242,LONG,75291,75262,6537.75,2017-12-18 21:00:00-06:00,2017-12-18 20:30:00-06:00,OPP_00075343_LONG,DIRECTION_DISAGREEMENT
S58B-001703,15774,15768,SHORT,77877,77847,6486.5,2017-12-20 19:20:00-06:00,2017-12-20 18:50:00-06:00,OPP_00077836_SHORT,DIRECTION_DISAGREEMENT
S58B-001764,16267,16252,SHORT,80294,80219,6485.75,2017-12-22 13:40:00-06:00,2017-12-22 12:25:00-06:00,OPP_00080333_SHORT,DIRECTION_DISAGREEMENT
S58B-001766,16282,16280,LONG,80369,80359,6490.0,2017-12-22 14:55:00-06:00,2017-12-22 14:45:00-06:00,OPP_00080420_LONG,DIRECTION_DISAGREEMENT
S58B-001796,16545,16540,LONG,81577,81552,6459.25,2017-12-26 14:05:00-06:00,2017-12-26 13:40:00-06:00,OPP_00081610_LONG,DIRECTION_DISAGREEMENT
S58B-001830,16934,16933,SHORT,83483,83478,6458.75,2017-12-28 01:00:00-06:00,2017-12-28 00:55:00-06:00,OPP_00083535_SHORT,DIRECTION_DISAGREEMENT
S58B-001849,17144,17138,LONG,84524,84497,6450.75,2017-12-28 19:45:00-06:00,2017-12-28 19:15:00-06:00,OPP_00084482_LONG,DIRECTION_DISAGREEMENT
S58B-001880,17469,17468,LONG,86093,86088,6421.75,2018-01-02 00:05:00-06:00,2018-01-02 00:00:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001969,18356,18355,LONG,90479,90474,6629.25,2018-01-05 05:45:00-06:00,2018-01-05 05:40:00-06:00,OPP_00090510_LONG,DIRECTION_DISAGREEMENT
S58B-001970,18368,18367,SHORT,90539,90534,6627.5,2018-01-05 06:45:00-06:00,2018-01-05 06:40:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001975,18477,18476,LONG,91084,91079,6676.75,2018-01-07 17:05:00-06:00,2018-01-07 17:00:00-06:00,,DIRECTION_DISAGREEMENT
S58B-001980,18529,18519,SHORT,91344,91294,6671.0,2018-01-07 21:25:00-06:00,2018-01-07 20:35:00-06:00,OPP_00091378_SHORT,DIRECTION_DISAGREEMENT
S58B-002002,18697,18695,LONG,92171,92161,6683.75,2018-01-08 11:25:00-06:00,2018-01-08 11:15:00-06:00,OPP_00092221_LONG,DIRECTION_DISAGREEMENT
S58B-002036,19077,19076,LONG,94051,94046,6683.5,2018-01-09 21:35:00-06:00,2018-01-09 21:30:00-06:00,OPP_00094091_LONG,DIRECTION_DISAGREEMENT
S58B-002078,19479,19475,LONG,96050,96030,6688.0,2018-01-11 08:20:00-06:00,2018-01-11 08:00:00-06:00,OPP_00096085_LONG,DIRECTION_DISAGREEMENT
S58B-002098,19703,19690,LONG,97163,97098,6738.0,2018-01-12 04:15:00-06:00,2018-01-12 03:10:00-06:00,OPP_00097213_LONG,DIRECTION_DISAGREEMENT
S58B-002106,19774,19773,SHORT,97517,97512,6749.5,2018-01-12 10:10:00-06:00,2018-01-12 10:05:00-06:00,,DIRECTION_DISAGREEMENT
S58B-002116,19853,19852,LONG,97912,97907,6788.25,2018-01-14 18:00:00-06:00,2018-01-14 17:55:00-06:00,OPP_00097956_LONG,DIRECTION_DISAGREEMENT
S58B-002178,20421,20417,SHORT,100739,100719,6762.0,2018-01-16 23:35:00-06:00,2018-01-16 23:15:00-06:00,OPP_00100687_SHORT,DIRECTION_DISAGREEMENT
S58B-002202,20631,20628,SHORT,101789,101774,6829.25,2018-01-17 18:20:00-06:00,2018-01-17 18:05:00-06:00,OPP_00101833_SHORT,DIRECTION_DISAGREEMENT
S58B-002396,22406,22404,LONG,110644,110634,6966.25,2018-01-26 05:45:00-06:00,2018-01-26 05:35:00-06:00,OPP_00110701_LONG,DIRECTION_DISAGREEMENT
S58B-002415,22560,22558,LONG,111414,111404,7042.25,2018-01-28 19:50:00-06:00,2018-01-28 19:40:00-06:00,OPP_00111461_LONG,DIRECTION_DISAGREEMENT
S58B-002453,23026,23021,LONG,113743,113718,6933.5,2018-01-30 11:55:00-06:00,2018-01-30 11:30:00-06:00,OPP_00113778_LONG,DIRECTION_DISAGREEMENT
S58B-002513,23660,23659,SHORT,116910,116905,6926.0,2018-02-01 20:30:00-06:00,2018-02-01 20:25:00-06:00,OPP_00116945_SHORT,DIRECTION_DISAGREEMENT
S58B-002585,24447,24441,LONG,120845,120815,6634.5,2018-02-06 17:50:00-06:00,2018-02-06 17:20:00-06:00,OPP_00120883_LONG,DIRECTION_DISAGREEMENT
S58B-002590,24486,24477,LONG,121040,120995,6638.5,2018-02-06 21:05:00-06:00,2018-02-06 20:20:00-06:00,OPP_00121083_LONG,DIRECTION_DISAGREEMENT
S58B-002602,24650,24649,LONG,121860,121855,6691.25,2018-02-07 10:45:00-06:00,2018-02-07 10:40:00-06:00,,DIRECTION_DISAGREEMENT
S58B-002644,25075,25072,SHORT,123985,123970,6333.5,2018-02-09 00:40:00-06:00,2018-02-09 00:25:00-06:00,OPP_00124034_SHORT,DIRECTION_DISAGREEMENT
S58B-002679,25555,25553,SHORT,126383,126373,6519.5,2018-02-12 19:10:00-06:00,2018-02-12 19:00:00-06:00,,DIRECTION_DISAGREEMENT
S58B-002777,26493,26484,LONG,131072,131027,6838.75,2018-02-16 05:05:00-06:00,2018-02-16 04:20:00-06:00,OPP_00131131_LONG,DIRECTION_DISAGREEMENT
S58B-002801,26756,26750,SHORT,132378,132348,6802.5,2018-02-19 04:15:00-06:00,2018-02-19 03:45:00-06:00,,DIRECTION_DISAGREEMENT
S58B-002919,27860,27854,LONG,137890,137860,6815.0,2018-02-23 09:00:00-06:00,2018-02-23 08:30:00-06:00,OPP_00137921_LONG,DIRECTION_DISAGREEMENT
S58B-003023,28871,28863,SHORT,142945,142905,6883.5,2018-03-01 02:15:00-06:00,2018-03-01 01:35:00-06:00,OPP_00142976_SHORT,DIRECTION_DISAGREEMENT
S58B-003110,29962,29954,SHORT,148399,148359,6843.5,2018-03-07 02:10:00-06:00,2018-03-07 01:30:00-06:00,OPP_00148440_SHORT,DIRECTION_DISAGREEMENT
S58B-003123,30081,30080,SHORT,148994,148989,6868.5,2018-03-07 12:05:00-06:00,2018-03-07 12:00:00-06:00,,DIRECTION_DISAGREEMENT
S58B-003240,31125,31124,SHORT,154193,154188,7188.5,2018-03-13 08:05:00-05:00,2018-03-13 08:00:00-05:00,OPP_00154232_SHORT,DIRECTION_DISAGREEMENT
S58B-003286,31590,31589,SHORT,156517,156512,7066.5,2018-03-15 01:20:00-05:00,2018-03-15 01:15:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003299,31737,31735,SHORT,157252,157242,7042.5,2018-03-15 13:35:00-05:00,2018-03-15 13:25:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003348,32335,32334,SHORT,160242,160237,6882.5,2018-03-19 19:10:00-05:00,2018-03-19 19:05:00-05:00,OPP_00160279_SHORT,DIRECTION_DISAGREEMENT
S58B-003359,32422,32421,LONG,160677,160672,6905.5,2018-03-20 02:25:00-05:00,2018-03-20 02:20:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003392,32727,32723,SHORT,162192,162172,6891.75,2018-03-21 05:05:00-05:00,2018-03-21 04:45:00-05:00,OPP_00162238_SHORT,DIRECTION_DISAGREEMENT
S58B-003440,33219,33210,LONG,164652,164607,6621.75,2018-03-23 00:35:00-05:00,2018-03-22 23:50:00-05:00,OPP_00164697_LONG,DIRECTION_DISAGREEMENT
S58B-003444,33291,33279,SHORT,165012,164952,6650.75,2018-03-23 06:35:00-05:00,2018-03-23 05:35:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003542,34092,34090,SHORT,169017,169007,6517.75,2018-03-28 05:05:00-05:00,2018-03-28 04:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003605,34805,34804,LONG,172581,172576,6425.0,2018-04-02 20:15:00-05:00,2018-04-02 20:10:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003676,35440,35438,LONG,175755,175745,6625.5,2018-04-05 03:40:00-05:00,2018-04-05 03:30:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003682,35518,35515,SHORT,176145,176130,6627.75,2018-04-05 10:10:00-05:00,2018-04-05 09:55:00-05:00,OPP_00176192_SHORT,DIRECTION_DISAGREEMENT
S58B-003701,35718,35717,SHORT,177145,177140,6541.5,2018-04-06 04:05:00-05:00,2018-04-06 04:00:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003714,35850,35846,SHORT,177805,177785,6443.75,2018-04-06 15:05:00-05:00,2018-04-06 14:45:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003749,36263,36261,SHORT,179869,179859,6596.5,2018-04-10 04:00:00-05:00,2018-04-10 03:50:00-05:00,OPP_00179838_SHORT,DIRECTION_DISAGREEMENT
S58B-003759,36411,36405,LONG,180605,180575,6619.75,2018-04-10 17:30:00-05:00,2018-04-10 17:00:00-05:00,OPP_00180571_LONG,DIRECTION_DISAGREEMENT
S58B-003801,36783,36780,LONG,182463,182448,6601.5,2018-04-12 01:45:00-05:00,2018-04-12 01:30:00-05:00,OPP_00182499_LONG,DIRECTION_DISAGREEMENT
S58B-003861,37368,37367,LONG,185387,185382,6683.5,2018-04-16 05:00:00-05:00,2018-04-16 04:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-003862,37378,37373,LONG,185437,185412,6683.25,2018-04-16 05:50:00-05:00,2018-04-16 05:25:00-05:00,OPP_00185482_LONG,DIRECTION_DISAGREEMENT
S58B-003864,37394,37392,SHORT,185517,185507,6678.0,2018-04-16 07:10:00-05:00,2018-04-16 07:00:00-05:00,OPP_00185569_SHORT,DIRECTION_DISAGREEMENT
S58B-003904,37778,37777,SHORT,187437,187432,6827.25,2018-04-17 17:40:00-05:00,2018-04-17 17:35:00-05:00,OPP_00187388_SHORT,DIRECTION_DISAGREEMENT
S58B-003918,37992,37985,SHORT,188500,188465,6853.25,2018-04-18 11:30:00-05:00,2018-04-18 10:55:00-05:00,OPP_00188535_SHORT,DIRECTION_DISAGREEMENT
S58B-003922,38060,38053,SHORT,188840,188805,6857.75,2018-04-18 18:25:00-05:00,2018-04-18 17:50:00-05:00,OPP_00188785_SHORT,DIRECTION_DISAGREEMENT
S58B-003976,38482,38481,LONG,190944,190939,6777.25,2018-04-20 06:50:00-05:00,2018-04-20 06:45:00-05:00,OPP_00190999_LONG,DIRECTION_DISAGREEMENT
S58B-004061,39203,39199,SHORT,194541,194521,6514.25,2018-04-24 22:40:00-05:00,2018-04-24 22:20:00-05:00,OPP_00194576_SHORT,DIRECTION_DISAGREEMENT
S58B-004065,39223,39219,LONG,194641,194621,6516.5,2018-04-25 00:20:00-05:00,2018-04-25 00:00:00-05:00,OPP_00194672_LONG,DIRECTION_DISAGREEMENT
S58B-004136,39952,39944,SHORT,198284,198244,6670.5,2018-04-27 15:50:00-05:00,2018-04-27 14:55:00-05:00,OPP_00198321_SHORT,DIRECTION_DISAGREEMENT
S58B-004164,40214,40209,LONG,199593,199568,6612.75,2018-04-30 15:10:00-05:00,2018-04-30 14:45:00-05:00,OPP_00199553_LONG,DIRECTION_DISAGREEMENT
S58B-004222,40721,40719,SHORT,202122,202112,6674.75,2018-05-02 11:55:00-05:00,2018-05-02 11:45:00-05:00,OPP_00202161_SHORT,DIRECTION_DISAGREEMENT
S58B-004324,41863,41858,SHORT,207815,207790,6824.0,2018-05-08 17:10:00-05:00,2018-05-08 15:45:00-05:00,OPP_00207846_SHORT,DIRECTION_DISAGREEMENT
S58B-004348,42139,42136,LONG,209186,209171,6897.0,2018-05-09 17:20:00-05:00,2018-05-09 17:05:00-05:00,,DIRECTION_DISAGREEMENT
S58B-004441,42964,42956,SHORT,213272,213233,6971.5,2018-05-14 17:30:00-05:00,2018-05-14 15:50:00-05:00,OPP_00213323_SHORT,DIRECTION_DISAGREEMENT
S58B-004510,43616,43615,SHORT,216499,216494,6913.5,2018-05-17 02:05:00-05:00,2018-05-17 02:00:00-05:00,OPP_00216542_SHORT,DIRECTION_DISAGREEMENT
S58B-004520,43739,43726,LONG,217114,217049,6921.5,2018-05-17 12:20:00-05:00,2018-05-17 11:15:00-05:00,OPP_00217168_LONG,DIRECTION_DISAGREEMENT
S58B-004529,43862,43860,LONG,217717,217708,6928.25,2018-05-17 23:45:00-05:00,2018-05-17 23:35:00-05:00,OPP_00217764_LONG,DIRECTION_DISAGREEMENT
S58B-004605,44557,44555,SHORT,221141,221131,6910.25,2018-05-22 11:55:00-05:00,2018-05-22 11:45:00-05:00,OPP_00221108_SHORT,DIRECTION_DISAGREEMENT
S58B-004692,45300,45298,LONG,224837,224827,6983.0,2018-05-25 05:15:00-05:00,2018-05-25 05:05:00-05:00,OPP_00224806_LONG,DIRECTION_DISAGREEMENT
S58B-004693,45305,45304,LONG,224862,224857,6986.0,2018-05-25 05:40:00-05:00,2018-05-25 05:35:00-05:00,OPP_00224806_LONG,DIRECTION_DISAGREEMENT
S58B-004730,45653,45652,LONG,226576,226571,6997.0,2018-05-28 11:45:00-05:00,2018-05-28 11:40:00-05:00,OPP_00226533_LONG,DIRECTION_DISAGREEMENT
S58B-004738,45721,45720,SHORT,226912,226907,6972.5,2018-05-28 22:25:00-05:00,2018-05-28 22:20:00-05:00,OPP_00226950_SHORT,DIRECTION_DISAGREEMENT
S58B-004780,46189,46186,LONG,229237,229222,6985.0,2018-05-30 14:30:00-05:00,2018-05-30 14:15:00-05:00,OPP_00229269_LONG,DIRECTION_DISAGREEMENT
S58B-004803,46442,46439,LONG,230485,230470,6993.5,2018-05-31 12:40:00-05:00,2018-05-31 12:25:00-05:00,OPP_00230524_LONG,DIRECTION_DISAGREEMENT
S58B-004851,46862,46861,LONG,232569,232564,7107.25,2018-06-04 02:00:00-05:00,2018-06-04 01:55:00-05:00,OPP_00232601_LONG,DIRECTION_DISAGREEMENT
S58B-004859,46934,46933,SHORT,232929,232924,7106.0,2018-06-04 08:00:00-05:00,2018-06-04 07:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-004860,46939,46938,SHORT,232954,232949,7104.0,2018-06-04 08:25:00-05:00,2018-06-04 08:20:00-05:00,OPP_00232991_SHORT,DIRECTION_DISAGREEMENT
S58B-004877,47033,47029,LONG,233418,233400,7147.5,2018-06-04 17:25:00-05:00,2018-06-04 17:05:00-05:00,OPP_00233457_LONG,DIRECTION_DISAGREEMENT
S58B-004891,47196,47191,LONG,234224,234199,7163.0,2018-06-05 07:00:00-05:00,2018-06-05 06:35:00-05:00,OPP_00234180_LONG,DIRECTION_DISAGREEMENT
S58B-004923,47541,47540,SHORT,235938,235933,7173.0,2018-06-06 12:55:00-05:00,2018-06-06 12:50:00-05:00,OPP_00235901_SHORT,DIRECTION_DISAGREEMENT
S58B-004951,47837,47829,SHORT,237409,237369,7148.75,2018-06-07 14:45:00-05:00,2018-06-07 14:05:00-05:00,,DIRECTION_DISAGREEMENT
S58B-005107,49425,49423,SHORT,245274,245264,7275.5,2018-06-15 09:45:00-05:00,2018-06-15 09:35:00-05:00,OPP_00245311_SHORT,DIRECTION_DISAGREEMENT
S58B-005129,49616,49613,SHORT,246219,246204,7241.0,2018-06-18 02:45:00-05:00,2018-06-18 02:30:00-05:00,OPP_00246187_SHORT,DIRECTION_DISAGREEMENT
S58B-005159,49929,49924,LONG,247777,247752,7202.0,2018-06-19 06:00:00-05:00,2018-06-19 05:35:00-05:00,OPP_00247815_LONG,DIRECTION_DISAGREEMENT
S58B-005191,50323,50320,SHORT,249739,249724,7315.75,2018-06-20 17:10:00-05:00,2018-06-20 15:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-005222,50609,50608,SHORT,251158,251153,7229.25,2018-06-21 18:05:00-05:00,2018-06-21 18:00:00-05:00,OPP_00251206_SHORT,DIRECTION_DISAGREEMENT
S58B-005342,51705,51694,SHORT,256601,256546,7006.5,2018-06-27 17:55:00-05:00,2018-06-27 17:00:00-05:00,OPP_00256561_SHORT,DIRECTION_DISAGREEMENT
S58B-005343,51723,51716,LONG,256691,256656,7014.0,2018-06-27 19:25:00-05:00,2018-06-27 18:50:00-05:00,OPP_00256728_LONG,DIRECTION_DISAGREEMENT
S58B-005371,52078,52072,SHORT,258456,258426,7088.75,2018-06-29 02:05:00-05:00,2018-06-29 01:35:00-05:00,OPP_00258418_SHORT,DIRECTION_DISAGREEMENT
S58B-005381,52188,52186,LONG,259006,258996,7101.5,2018-06-29 11:15:00-05:00,2018-06-29 11:05:00-05:00,OPP_00259061_LONG,DIRECTION_DISAGREEMENT
S58B-005510,53297,53296,LONG,264524,264519,7117.5,2018-07-05 20:45:00-05:00,2018-07-05 20:40:00-05:00,OPP_00264573_LONG,DIRECTION_DISAGREEMENT
S58B-005518,53412,53408,LONG,265099,265079,7109.5,2018-07-06 06:20:00-05:00,2018-07-06 06:00:00-05:00,OPP_00265136_LONG,DIRECTION_DISAGREEMENT
S58B-005630,54457,54446,LONG,270297,270242,7287.75,2018-07-12 01:55:00-05:00,2018-07-12 01:00:00-05:00,,DIRECTION_DISAGREEMENT
S58B-005665,54707,54703,LONG,271537,271517,7410.25,2018-07-12 23:50:00-05:00,2018-07-12 23:30:00-05:00,OPP_00271590_LONG,DIRECTION_DISAGREEMENT
S58B-005666,54719,54713,SHORT,271597,271567,7412.0,2018-07-13 00:50:00-05:00,2018-07-13 00:20:00-05:00,OPP_00271633_SHORT,DIRECTION_DISAGREEMENT
S58B-005709,55110,55109,SHORT,273544,273539,7381.25,2018-07-16 10:30:00-05:00,2018-07-16 10:25:00-05:00,OPP_00273578_SHORT,DIRECTION_DISAGREEMENT
S58B-005711,55131,55129,LONG,273649,273639,7390.0,2018-07-16 12:15:00-05:00,2018-07-16 12:05:00-05:00,OPP_00273594_LONG,DIRECTION_DISAGREEMENT
S58B-005712,55141,55135,LONG,273699,273669,7385.75,2018-07-16 13:05:00-05:00,2018-07-16 12:35:00-05:00,,DIRECTION_DISAGREEMENT
S58B-005859,56622,56617,LONG,281051,281026,7444.0,2018-07-23 23:10:00-05:00,2018-07-23 22:45:00-05:00,OPP_00281000_LONG,DIRECTION_DISAGREEMENT
S58B-005878,56790,56789,SHORT,281891,281886,7397.0,2018-07-24 13:10:00-05:00,2018-07-24 13:05:00-05:00,,DIRECTION_DISAGREEMENT
S58B-005881,56824,56823,LONG,282053,282048,7413.0,2018-07-24 17:05:00-05:00,2018-07-24 17:00:00-05:00,OPP_00282103_LONG,DIRECTION_DISAGREEMENT
