setup_id,direction,armed_j,armed_m1_i,has_5m_take,matched_1m_opportunity,15m_state,tag
S58B-049835,LONG,505262,2522482,True,True,NEUTRAL,CONTINUATION
S58B-049836,LONG,505267,2522507,True,True,BULLISH,CONTINUATION
S58B-049837,LONG,505272,2522532,True,True,BULLISH,CONTINUATION
S58B-049838,LONG,505280,2522572,True,True,NEUTRAL,CONTINUATION
S58B-049839,LONG,505290,2522622,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049840,SHORT,505318,2522762,True,True,NEUTRAL,CONTINUATION
S58B-049841,SHORT,505325,2522797,False,False,BEARISH,CONTINUATION
S58B-049842,SHORT,505327,2522807,True,True,BEARISH,CONTINUATION
S58B-049843,SHORT,505332,2522832,True,True,BEARISH,CONTINUATION
S58B-049844,SHORT,505337,2522857,True,True,BEARISH,CONTINUATION
S58B-049845,SHORT,505363,2522987,True,True,NEUTRAL,CONTINUATION
S58B-049846,LONG,505376,2523052,True,True,BULLISH,CONTINUATION
S58B-049847,LONG,505381,2523077,True,True,BULLISH,CONTINUATION
S58B-049848,LONG,505386,2523102,True,True,BULLISH,CONTINUATION
S58B-049849,LONG,505393,2523137,False,False,BULLISH,CONTINUATION
S58B-049850,LONG,505395,2523147,True,True,BULLISH,CONTINUATION
S58B-049851,LONG,505410,2523222,True,True,BULLISH,CONTINUATION
S58B-049852,LONG,505415,2523247,False,False,BULLISH,CONTINUATION
S58B-049853,LONG,505417,2523257,True,True,NEUTRAL,CONTINUATION
S58B-049854,SHORT,505433,2523337,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049855,SHORT,505440,2523372,True,True,BEARISH,CONTINUATION
S58B-049856,SHORT,505445,2523397,True,True,BEARISH,CONTINUATION
S58B-049857,SHORT,505452,2523432,True,True,NEUTRAL,CONTINUATION
S58B-049858,SHORT,505458,2523462,True,True,BEARISH,CONTINUATION
S58B-049859,SHORT,505468,2523512,True,True,BEARISH,CONTINUATION
S58B-049860,SHORT,505473,2523537,False,False,BEARISH,CONTINUATION
S58B-049861,SHORT,505475,2523547,True,True,BEARISH,CONTINUATION
S58B-049862,SHORT,505488,2523612,True,True,BEARISH,CONTINUATION
S58B-049863,LONG,505516,2523752,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049864,SHORT,505526,2523802,True,True,NEUTRAL,CONTINUATION
S58B-049865,LONG,505537,2523857,True,True,BULLISH,CONTINUATION
S58B-049866,LONG,505546,2523902,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049867,LONG,505552,2523932,True,True,NEUTRAL,CONTINUATION
S58B-049868,LONG,505557,2523957,True,True,BULLISH,CONTINUATION
S58B-049869,SHORT,505569,2524017,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049870,LONG,505592,2524132,True,True,BULLISH,CONTINUATION
S58B-049871,LONG,505597,2524157,True,True,BULLISH,CONTINUATION
S58B-049872,LONG,505602,2524182,True,True,BULLISH,CONTINUATION
S58B-049873,LONG,505627,2524307,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049874,LONG,505634,2524342,True,True,BULLISH,CONTINUATION
S58B-049875,SHORT,505642,2524382,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049876,LONG,505661,2524477,True,True,BULLISH,CONTINUATION
S58B-049877,LONG,505666,2524502,True,True,NEUTRAL,CONTINUATION
S58B-049878,LONG,505671,2524527,True,True,BULLISH,CONTINUATION
S58B-049879,LONG,505676,2524551,True,True,BULLISH,CONTINUATION
S58B-049880,LONG,505681,2524576,True,True,BULLISH,CONTINUATION
S58B-049881,LONG,505686,2524601,True,True,BULLISH,CONTINUATION
S58B-049882,LONG,505700,2524671,False,False,NEUTRAL,CONTINUATION
S58B-049883,SHORT,505706,2524701,True,True,NEUTRAL,CONTINUATION
S58B-049884,SHORT,505712,2524731,False,False,TRANSITION,POTENTIAL_REVERSAL
S58B-049885,LONG,505717,2524756,True,True,BULLISH,CONTINUATION
S58B-049886,LONG,505722,2524781,True,True,BULLISH,CONTINUATION
S58B-049887,LONG,505727,2524806,False,False,BULLISH,CONTINUATION
S58B-049888,LONG,505729,2524816,True,True,BULLISH,CONTINUATION
S58B-049889,LONG,505734,2524841,True,True,NEUTRAL,CONTINUATION
S58B-049890,LONG,505739,2524866,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049891,LONG,505747,2524906,True,True,BULLISH,CONTINUATION
S58B-049892,LONG,505752,2524931,True,True,BULLISH,CONTINUATION
S58B-049893,LONG,505757,2524956,True,True,BULLISH,CONTINUATION
S58B-049894,LONG,505762,2524981,True,True,NEUTRAL,CONTINUATION
S58B-049895,LONG,505770,2525021,False,False,BULLISH,CONTINUATION
S58B-049896,LONG,505772,2525031,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049897,SHORT,505790,2525121,False,False,BEARISH,CONTINUATION
S58B-049898,SHORT,505792,2525131,True,True,BEARISH,CONTINUATION
S58B-049899,LONG,505824,2525291,True,True,BULLISH,CONTINUATION
S58B-049900,SHORT,505858,2525461,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-049901,SHORT,505883,2525586,True,True,BEARISH,CONTINUATION
S58B-049902,LONG,505901,2525676,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049903,LONG,505911,2525726,False,False,BULLISH,CONTINUATION
S58B-049904,LONG,505913,2525736,True,True,BULLISH,CONTINUATION
S58B-049905,SHORT,505918,2525761,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-049906,LONG,505932,2525831,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049907,SHORT,505944,2525891,True,True,BEARISH,CONTINUATION
S58B-049908,SHORT,505949,2525916,True,True,BEARISH,CONTINUATION
S58B-049909,SHORT,505959,2525966,True,True,NEUTRAL,CONTINUATION
S58B-049910,LONG,505983,2526086,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049911,SHORT,505997,2526156,True,True,NEUTRAL,CONTINUATION
S58B-049912,SHORT,506004,2526191,True,True,BEARISH,CONTINUATION
S58B-049913,LONG,506028,2526311,True,True,BULLISH,CONTINUATION
S58B-049914,LONG,506033,2526336,False,False,BULLISH,CONTINUATION
S58B-049915,LONG,506035,2526346,True,True,BULLISH,CONTINUATION
S58B-049916,LONG,506040,2526371,True,True,BULLISH,CONTINUATION
S58B-049917,LONG,506045,2526396,True,True,BULLISH,CONTINUATION
S58B-049918,LONG,506050,2526421,True,True,NEUTRAL,CONTINUATION
S58B-049919,LONG,506056,2526451,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049920,LONG,506076,2526551,False,False,NEUTRAL,CONTINUATION
S58B-049921,SHORT,506083,2526586,True,True,BEARISH,CONTINUATION
S58B-049922,SHORT,506094,2526641,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049923,LONG,506125,2526796,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049924,SHORT,506131,2526826,True,True,BEARISH,CONTINUATION
S58B-049925,SHORT,506157,2526956,False,False,BEARISH,CONTINUATION
S58B-049926,SHORT,506159,2526966,True,True,BEARISH,CONTINUATION
S58B-049927,SHORT,506170,2527021,True,True,NEUTRAL,CONTINUATION
S58B-049928,LONG,506196,2527151,False,False,TRANSITION,POTENTIAL_REVERSAL
S58B-049929,LONG,506198,2527161,False,False,BULLISH,CONTINUATION
S58B-049930,LONG,506200,2527171,True,True,BULLISH,CONTINUATION
S58B-049931,LONG,506205,2527196,True,True,BULLISH,CONTINUATION
S58B-049932,LONG,506214,2527241,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049933,SHORT,506238,2527361,True,True,BEARISH,CONTINUATION
S58B-049934,LONG,506255,2527446,True,True,BULLISH,CONTINUATION
S58B-049935,LONG,506267,2527506,False,False,BULLISH,CONTINUATION
S58B-049936,LONG,506269,2527516,True,True,BULLISH,CONTINUATION
S58B-049937,SHORT,506292,2527631,True,True,BEARISH,CONTINUATION
S58B-049938,SHORT,506299,2527666,False,False,BEARISH,CONTINUATION
S58B-049939,SHORT,506301,2527676,True,True,BEARISH,CONTINUATION
S58B-049940,SHORT,506306,2527701,True,True,BEARISH,CONTINUATION
S58B-049941,SHORT,506311,2527726,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-049942,LONG,506349,2527916,True,True,BULLISH,CONTINUATION
S58B-049943,LONG,506354,2527941,True,True,BULLISH,CONTINUATION
S58B-049944,LONG,506359,2527966,True,True,BEARISH,POTENTIAL_REVERSAL
