session,opportunities,matched,mean_signals,retention_pct
afternoon,33596,12074,2.467525895939993,35.93880223836171
cash_open,3814,1352,2.5348715259570005,35.44834819087572
midday,7458,2706,2.576427996781979,36.283185840707965
morning,7622,2743,2.561794804513251,35.987929677250065
overnight,23525,8515,2.5846971307120086,36.19553666312434
premarket,11794,4212,2.6326098015940307,35.713074444632866
