setup_id,opportunity_id,direction,price_diff_atr,price_diff_ticks,bucket
S58B-000059,OPP_00002693_SHORT,SHORT,-0.2978723404255319,1.0,BETTER_1M
S58B-000060,OPP_00002693_SHORT,SHORT,-0.8936170212765957,3.0,BETTER_1M
S58B-000061,OPP_00002774_LONG,LONG,-2.1538461538461537,-2.0,BETTER_1M
S58B-000063,OPP_00002847_SHORT,SHORT,-1.8666666666666667,2.0,BETTER_1M
S58B-000064,OPP_00002885_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000065,OPP_00002885_LONG,LONG,-2.1,-3.0,BETTER_1M
S58B-000066,OPP_00002885_LONG,LONG,-4.2,-6.0,BETTER_1M
S58B-000067,OPP_00002885_LONG,LONG,-7.0,-10.0,BETTER_1M
S58B-000068,OPP_00003003_LONG,LONG,2.8,2.0,BETTER_5M
S58B-000069,OPP_00003003_LONG,LONG,-8.4,-6.0,BETTER_1M
S58B-000070,OPP_00003072_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000072,OPP_00003128_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000073,OPP_00003128_LONG,LONG,-4.666666666666667,-2.0,BETTER_1M
S58B-000075,OPP_00003178_LONG,LONG,0.823529411764706,1.0,BETTER_5M
S58B-000076,OPP_00003264_SHORT,SHORT,-0.8484848484848485,2.0,BETTER_1M
S58B-000078,OPP_00003347_SHORT,SHORT,-0.875,1.0,BETTER_1M
S58B-000079,OPP_00003347_SHORT,SHORT,-2.625,3.0,BETTER_1M
S58B-000080,OPP_00003452_SHORT,SHORT,-3.862068965517241,8.0,BETTER_1M
S58B-000082,OPP_00003452_SHORT,SHORT,-11.103448275862068,23.0,BETTER_1M
S58B-000083,OPP_00003452_SHORT,SHORT,-13.034482758620689,27.0,BETTER_1M
S58B-000084,OPP_00003577_SHORT,SHORT,-1.75,5.0,BETTER_1M
S58B-000085,OPP_00003604_LONG,LONG,-2.1493775933609958,-37.0,BETTER_1M
S58B-000086,OPP_00003628_SHORT,SHORT,-2.1649484536082473,30.0,BETTER_1M
S58B-000087,OPP_00003847_LONG,LONG,-1.8666666666666667,-12.0,BETTER_1M
S58B-000089,OPP_00003901_LONG,LONG,-4.9,-21.0,BETTER_1M
S58B-000091,OPP_00004056_LONG,LONG,-2.8,-2.0,BETTER_1M
S58B-000092,OPP_00004155_SHORT,SHORT,0.7368421052631579,-1.0,BETTER_5M
S58B-000093,OPP_00004155_SHORT,SHORT,-5.157894736842105,7.0,BETTER_1M
S58B-000096,OPP_00004269_LONG,LONG,-2.8,-4.0,BETTER_1M
S58B-000099,OPP_00004383_SHORT,SHORT,-7.777777777777777,5.0,BETTER_1M
S58B-000100,OPP_00004383_SHORT,SHORT,-9.333333333333332,6.0,BETTER_1M
S58B-000101,OPP_00004500_SHORT,SHORT,1.75,-1.0,BETTER_5M
S58B-000102,OPP_00004500_SHORT,SHORT,-5.25,3.0,BETTER_1M
S58B-000104,OPP_00004562_LONG,LONG,-1.5,-3.0,BETTER_1M
S58B-000105,OPP_00004656_LONG,LONG,-4.9411764705882355,-6.0,BETTER_1M
S58B-000108,OPP_00004656_LONG,LONG,-7.411764705882353,-9.0,BETTER_1M
S58B-000109,OPP_00004656_LONG,LONG,-8.23529411764706,-10.0,BETTER_1M
S58B-000110,OPP_00004744_LONG,LONG,-7.0,-6.0,BETTER_1M
S58B-000111,OPP_00004744_LONG,LONG,-17.5,-15.0,BETTER_1M
S58B-000112,OPP_00004744_LONG,LONG,-45.5,-39.0,BETTER_1M
S58B-000114,OPP_00004744_LONG,LONG,-77.0,-66.0,BETTER_1M
S58B-000115,OPP_00004867_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000116,OPP_00004894_LONG,LONG,2.847457627118644,24.0,BETTER_5M
S58B-000117,OPP_00004932_LONG,LONG,0.896551724137931,13.0,BETTER_5M
S58B-000118,OPP_00005003_LONG,LONG,-3.181818181818182,-25.0,BETTER_1M
S58B-000120,OPP_00005060_LONG,LONG,-0.6422018348623854,-5.0,BETTER_1M
S58B-000122,OPP_00005060_LONG,LONG,-3.853211009174312,-30.0,BETTER_1M
S58B-000123,OPP_00005197_LONG,LONG,0.22580645161290322,1.0,NEAR_IDENTICAL
S58B-000125,OPP_00005197_LONG,LONG,-9.032258064516128,-40.0,BETTER_1M
S58B-000126,OPP_00005197_LONG,LONG,-9.483870967741934,-42.0,BETTER_1M
S58B-000127,OPP_00005197_LONG,LONG,-14.451612903225806,-64.0,BETTER_1M
S58B-000128,OPP_00005365_LONG,LONG,-1.5555555555555554,-1.0,BETTER_1M
S58B-000130,OPP_00005365_LONG,LONG,-4.666666666666666,-3.0,BETTER_1M
S58B-000131,OPP_00005481_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000133,OPP_00005490_LONG,LONG,2.1538461538461537,2.0,BETTER_5M
S58B-000134,OPP_00005559_LONG,LONG,6.3,9.0,BETTER_5M
S58B-000135,OPP_00005589_SHORT,SHORT,-1.0769230769230769,1.0,BETTER_1M
S58B-000136,OPP_00005674_LONG,LONG,-14.0,-8.0,BETTER_1M
S58B-000137,OPP_00005631_SHORT,SHORT,-1.0769230769230769,1.0,BETTER_1M
S58B-000138,OPP_00005631_SHORT,SHORT,-3.230769230769231,3.0,BETTER_1M
S58B-000139,OPP_00005674_LONG,LONG,-8.75,-5.0,BETTER_1M
S58B-000140,OPP_00005779_LONG,LONG,-2.0,-2.0,BETTER_1M
S58B-000141,OPP_00005891_SHORT,SHORT,0.4375,-1.0,BETTER_5M
S58B-000142,OPP_00005807_LONG,LONG,-5.0,-5.0,BETTER_1M
S58B-000144,OPP_00005891_SHORT,SHORT,-0.4375,1.0,BETTER_1M
S58B-000145,OPP_00005930_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000146,OPP_00005930_SHORT,SHORT,-0.5599999999999999,1.0,BETTER_1M
S58B-000147,OPP_00006079_SHORT,SHORT,-3.0,3.0,BETTER_1M
S58B-000150,OPP_00006079_SHORT,SHORT,-22.0,22.0,BETTER_1M
S58B-000152,OPP_00006079_SHORT,SHORT,-71.0,71.0,BETTER_1M
S58B-000153,OPP_00006079_SHORT,SHORT,-116.0,116.0,BETTER_1M
S58B-000154,OPP_00006215_SHORT,SHORT,7.368421052631579,-40.0,BETTER_5M
S58B-000156,OPP_00006282_SHORT,SHORT,-2.020618556701031,14.0,BETTER_1M
S58B-000157,OPP_00006305_SHORT,SHORT,1.0065359477124183,-11.0,BETTER_5M
S58B-000158,OPP_00006494_LONG,LONG,2.3728813559322033,10.0,BETTER_5M
S58B-000159,OPP_00006512_SHORT,SHORT,-0.5090909090909091,2.0,BETTER_1M
S58B-000160,OPP_00006567_SHORT,SHORT,0.48275862068965514,-2.0,BETTER_5M
S58B-000161,OPP_00006613_SHORT,SHORT,-1.037037037037037,6.0,BETTER_1M
S58B-000163,OPP_00006727_LONG,LONG,0.823529411764706,1.0,BETTER_5M
S58B-000164,OPP_00006757_LONG,LONG,-19.0,-19.0,BETTER_1M
S58B-000165,OPP_00006887_LONG,LONG,0.5,1.0,BETTER_5M
S58B-000166,OPP_00006942_LONG,LONG,2.3333333333333335,2.0,BETTER_5M
S58B-000168,OPP_00007035_SHORT,SHORT,5.6,-2.0,BETTER_5M
S58B-000169,OPP_00007035_SHORT,SHORT,2.8,-1.0,BETTER_5M
S58B-000170,OPP_00007035_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000173,OPP_00007132_SHORT,SHORT,1.647058823529412,-2.0,BETTER_5M
S58B-000174,OPP_00007132_SHORT,SHORT,-0.823529411764706,1.0,BETTER_1M
S58B-000175,OPP_00007165_SHORT,SHORT,-0.823529411764706,1.0,BETTER_1M
S58B-000176,OPP_00007200_SHORT,SHORT,0.5957446808510638,-2.0,BETTER_5M
S58B-000178,OPP_00007248_LONG,LONG,0.5,1.0,BETTER_5M
S58B-000179,OPP_00007417_SHORT,SHORT,1.0,-1.0,BETTER_5M
S58B-000181,OPP_00007585_LONG,LONG,-1.2795698924731183,-17.0,BETTER_1M
