family,direction,setup_i,trigger_i,entry_i,entry_ts,setup_ts,origin,invalidation,delay,chase_atr,reason,level,+2_before_-1,mfe_15m,mae_15m,gross_R,cost_R,net_R
B5,LONG,2185415,2185417,2185418,2023-12-19 13:26:00-06:00,2023-12-19 13:23:00-06:00,16998.75,16997.5,3,0.06572769953051644,B_HOLD_LONG_5,lo_5,True,2.264705882352941,1.303921568627451,2.0,0.43099787685796254,1.5690021231420375
B5,SHORT,2496460,2496463,2496464,2024-11-05 06:01:00-06:00,2024-11-05 05:57:00-06:00,20154.75,20163.5,4,1.346153846153846,B_HOLD_SHORT_5,hi_5,False,2.1538461538461537,1.5076923076923077,-1.0,0.26535947712433444,-1.2653594771243344
B5,SHORT,1937188,1937207,1937208,2023-04-10 10:55:00-05:00,2023-04-10 10:35:00-05:00,13067.75,13068.5,20,0.25846153846153846,B_HOLD_SHORT_5,hi_5,True,9.07165109034268,0.04361370716510904,2.0,0.2858148539245807,1.7141851460754194
B5,LONG,335097,335099,335100,2018-09-17 19:18:00-05:00,2018-09-17 19:15:00-05:00,7430.75,7430.25,3,0.3783783783783784,B_HOLD_LONG_5,lo_5,True,3.5,0.0,2.0,10.684210526328064,-8.684210526328064
B5,LONG,1385688,1385694,1385695,2021-09-17 09:01:00-05:00,2021-09-17 08:54:00-05:00,15402.75,15393.25,7,0.14093959731543626,B_HOLD_LONG_5,lo_5,False,0.3127147766323024,3.584192439862543,-1.0,0.08509746384405162,-1.0850974638440516
B5,LONG,1019952,1019954,1019955,2020-09-03 05:11:00-05:00,2020-09-03 05:08:00-05:00,12302.0,12298.0,3,0.34739454094292804,B_HOLD_LONG_5,lo_5,False,1.1370558375634519,1.5279187817258884,-1.0,0.3915139826423581,-1.3915139826423581
B5,LONG,2723496,2723501,2723502,2025-06-30 07:30:00-05:00,2025-06-30 07:24:00-05:00,22885.75,22884.75,6,0.06167400881057268,B_HOLD_LONG_5,lo_5,False,0.1222707423580786,5.685589519650655,-1.0,0.4984653161448029,-1.498465316144803
B5,SHORT,1203119,1203125,1203126,2021-03-15 09:00:00-05:00,2021-03-15 08:53:00-05:00,12954.0,12967.25,7,0.418141592920354,B_HOLD_SHORT_5,hi_5,False,0.36261261261261263,2.2072072072072073,-1.0,0.09941234084231997,-1.09941234084232
B5,SHORT,1992082,1992086,1992087,2023-06-05 09:40:00-05:00,2023-06-05 09:35:00-05:00,14613.25,14618.0,5,0.2796271637816245,B_HOLD_SHORT_5,hi_5,False,0.35048678720445064,3.9721835883171073,-1.0,0.07930461959175521,-1.0793046195917553
B5,SHORT,1477908,1477910,1477911,2021-12-21 12:47:00-06:00,2021-12-21 12:44:00-06:00,15916.75,15922.0,3,0.4010416666666667,B_HOLD_SHORT_5,hi_5,False,1.5794871794871794,0.8974358974358975,-1.0,0.254545454545501,-1.254545454545501
B5,SHORT,461373,461375,461376,2019-01-29 06:35:00-06:00,2019-01-29 06:32:00-06:00,6698.0,6699.5,3,0.693069306930693,B_HOLD_SHORT_5,hi_5,False,0.8484848484848485,8.767676767676768,-0.7656565656567421,2.142480211081301,-2.908136776738043
B5,LONG,791250,791252,791253,2020-01-08 11:17:00-06:00,2020-01-08 11:14:00-06:00,8928.5,8928.25,3,0.5743589743589743,B_HOLD_LONG_5,lo_5,True,3.158974358974359,0.21538461538461537,2.0,0.29907918968695657,1.7009208103130433
B5,LONG,1820269,1820272,1820273,2022-12-08 00:54:00-06:00,2022-12-08 00:50:00-06:00,11502.75,11502.25,4,0.13999999999999999,B_HOLD_LONG_5,lo_5,True,6.524271844660195,0.4077669902912622,-1.0,2.1201044386477754,-3.1201044386477754
B5,LONG,1439141,1439143,1439144,2021-11-11 02:53:00-06:00,2021-11-11 02:50:00-06:00,16015.25,16014.25,3,0.5333333333333333,B_HOLD_LONG_5,lo_5,True,8.516129032258064,0.0,2.0,0.22700587084146143,1.7729941291585385
B5,LONG,1450715,1450718,1450719,2021-11-23 11:48:00-06:00,2021-11-23 11:44:00-06:00,16198.75,16198.0,4,0.08905852417302798,B_HOLD_LONG_5,lo_5,False,0.8501291989664083,3.020671834625323,2.0,0.26940942269409945,1.7305905773059005
B5,SHORT,55511,55513,55514,2017-11-28 06:35:00-06:00,2017-11-28 06:32:00-06:00,6419.0,6419.5,3,0.9333333333333333,B_HOLD_SHORT_5,hi_5,True,4.666666666666667,0.5185185185185185,-1.0,30.074074073944406,-31.074074073944406
B5,LONG,1684248,1684251,1684252,2022-07-21 23:00:00-05:00,2022-07-21 22:56:00-05:00,12546.5,12546.5,4,1.0181818181818183,B_HOLD_LONG_5,lo_5,True,2.0388349514563107,0.8155339805825244,-1.0,0.3465642338883239,-1.346564233888324
B5,SHORT,1194143,1194152,1194153,2021-03-04 19:57:00-06:00,2021-03-04 19:47:00-06:00,12354.75,12360.0,10,0.20895522388059704,B_HOLD_SHORT_5,hi_5,True,7.717948717948718,0.1794871794871795,2.0,0.16944908180302148,1.8305509181969786
B5,SHORT,1055216,1055229,1055230,2020-10-09 05:25:00-05:00,2020-10-09 05:11:00-05:00,11572.5,11572.5,14,0.440251572327044,B_HOLD_SHORT_5,hi_5,False,0.08974358974358974,1.6153846153846154,-1.0,0.5218508997430087,-1.5218508997430087
B5,SHORT,2335059,2335066,2335067,2024-05-23 09:19:00-05:00,2024-05-23 09:11:00-05:00,18891.75,18897.5,8,0.340632603406326,B_HOLD_SHORT_5,hi_5,False,1.96875,1.4975961538461537,2.0,0.06308266003728967,1.9369173399627104
B5,LONG,2410620,2410632,2410633,2024-08-08 20:58:00-05:00,2024-08-08 20:45:00-05:00,18558.5,18548.0,13,0.9245283018867925,B_HOLD_LONG_5,lo_5,False,2.63302752293578,3.018348623853211,-1.0,0.18640955004592363,-1.1864095500459237
B5,LONG,391106,391108,391109,2018-11-13 20:39:00-06:00,2018-11-13 20:36:00-06:00,6847.75,6847.75,3,1.367816091954023,B_HOLD_LONG_5,lo_5,True,2.8,0.525,2.0,0.16504065040651383,1.8349593495934862
B5,SHORT,2880968,2880970,2880971,2025-12-08 18:55:00-06:00,2025-12-08 18:52:00-06:00,25722.25,25724.0,3,0.23463687150837986,B_HOLD_SHORT_5,hi_5,True,6.256983240223463,0.8603351955307262,-1.0,0.6250962278666381,-1.625096227866638
B5,SHORT,594883,594892,594893,2019-06-17 13:47:00-05:00,2019-06-17 13:37:00-05:00,7539.25,7540.25,10,0.42424242424242425,B_HOLD_SHORT_5,hi_5,True,8.615384615384615,0.8615384615384615,2.0,0.46532951289409924,1.5346704871059007
B5,SHORT,1757706,1757715,1757716,2022-10-05 08:27:00-05:00,2022-10-05 08:17:00-05:00,11486.0,11488.25,10,0.39896373056994816,B_HOLD_SHORT_5,hi_5,False,2.383783783783784,8.437837837837838,-1.0,0.136013400335015,-1.136013400335015
