rule,window_min,fill_rate,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
B1,5,0.5296703296703297,1205,0.8697095435684647,1.6721356070747382,2014.9234065250596,19.146794735746518,8.180139953149023,246.31894051511864
B1,10,0.6813186813186813,1550,0.8787096774193548,1.68095703346906,2605.483401877043,19.965211394986184,8.385997319704757,310.6945187968142
B1,15,0.7837362637362637,1783,0.8726864834548513,1.6487041530729807,2939.6395049291245,18.37153896115719,9.399577028525755,312.74167933386065
B2,5,0.09010989010989011,205,0.8780487804878049,1.7000684306336427,348.51402827989676,20.14825984558629,3.080651198289303,113.12998643709743
B2,10,0.261978021978022,596,0.8825503355704698,1.6943620297264095,1009.83976971694,19.96976904585003,5.307193952398734,190.27753249163146
B2,15,0.43604395604395607,992,0.8649193548387096,1.6024311823320578,1589.6117328734015,16.112278585289467,5.09768115546342,311.83035666515576
B3,5,0.07428571428571429,169,0.8816568047337278,1.800589745414889,304.2996669751162,30.388268047479876,2.1133773801830955,143.98737765838715
B3,10,0.1498901098901099,341,0.8914956011730205,1.7339639172458643,591.2816957808398,23.427708051550233,7.637365496071425,77.41958874234687
B3,15,0.24,546,0.8809523809523809,1.7261710933141285,942.4894169495142,20.079262071809833,5.936134136921908,158.77158352729336
B4,5,0.2553846153846154,581,0.8691910499139415,1.6379000852811954,951.6199495483745,18.86705765330118,6.9105172872984895,137.7060370426175
B4,10,0.4158241758241758,946,0.8742071881606766,1.6640048273122343,1574.1485666373737,20.13031651156123,6.660588958573726,236.33774376830127
B4,15,0.5428571428571428,1235,0.8736842105263158,1.6536610795445843,2042.2714332375617,19.321685111401436,6.631923721342218,307.94555532436544
