comparison,AvgR_delta,PF_delta,MAE_delta,wrong_direction_delta,matched_AvgR_delta,N_A,N_B,A_phase44_ref_AvgR,N_C
B_minus_A,0.7933283046944484,14.968885366767175,7.4199773433585,-0.0026431718061673964,0.6050148024011666,1759.0,1135,0.5655645781342158,
C_minus_B,-0.08689003465976941,-2.824565377569167,0.0,0.0,,,1135,,466.0
