fold,volume_threshold,train_filled_N,selected_rule,selected_window
1,0.8,248,B1,5
2,0.8,401,B1,5
3,1.5,676,B1,10
4,1.5,924,B1,10
5,1.5,1112,B1,10
6,1.2,1278,B1,10
7,1.2,1438,B1,10
