fold,train_start,train_end,test_start,test_end,selected_rule,selected_window,train_N,test_N
1,2018-01-01,2019-12-31,2020-01-01,2020-12-31,B1,5,483,303
2,2018-01-01,2020-12-31,2021-01-01,2021-12-31,B1,5,787,237
3,2018-01-01,2021-12-31,2022-01-01,2022-12-31,B1,10,1024,359
4,2018-01-01,2022-12-31,2023-01-01,2023-12-31,B1,10,1383,277
5,2018-01-01,2023-12-31,2024-01-01,2024-12-31,B1,10,1660,232
6,2018-01-01,2024-12-31,2025-01-01,2025-12-31,B1,10,1892,220
7,2018-01-01,2025-12-31,2026-01-01,2026-06-26,B1,10,2113,131
