signal_i,atr,orig_dir,family,decision,direction,trigger_i,entry_i,delay_bars,reason,invalidation,chase_atr,level_name
10483,1.7321428571428572,SHORT,E2,TAKE,LONG,10486,10487,4,E2_BREAK_ACCEPT_HIGH_LONG,6073.5,1.0103092783505154,hi_5
10661,0.23214285714285715,SHORT,E2,TAKE,SHORT,10661,10662,1,E2_BREAK_ACCEPT_LOW_SHORT,6082.25,2.1538461538461537,lo_5
10793,0.5357142857142857,SHORT,E2,TAKE,SHORT,10793,10794,1,E2_BREAK_ACCEPT_LOW_SHORT,6078.5,1.4000000000000001,lo_5
10824,0.375,LONG,E2,TAKE,LONG,10824,10825,1,E2_BREAK_ACCEPT_HIGH_LONG,6080.25,1.3333333333333333,hi_5
10850,0.35714285714285715,SHORT,E2,TAKE,LONG,10852,10853,3,E2_BREAK_ACCEPT_HIGH_LONG,6079.5,0.7,hi_5
11077,0.4107142857142857,LONG,E2,TAKE,LONG,11077,11078,1,E2_BREAK_ACCEPT_HIGH_LONG,6081.0,1.2173913043478262,hi_5
11319,0.3392857142857143,SHORT,E2,TAKE,SHORT,11319,11320,1,E2_BREAK_ACCEPT_LOW_SHORT,6081.75,1.4736842105263157,lo_5
11350,0.39285714285714285,SHORT,E2,TAKE,SHORT,11351,11352,2,E2_BREAK_ACCEPT_LOW_SHORT,6080.0,3.181818181818182,lo_5
11465,0.7321428571428571,SHORT,E2,TAKE,SHORT,11465,11466,1,E2_BREAK_ACCEPT_LOW_SHORT,6073.0,0.34146341463414637,lo_5
11504,0.5178571428571429,LONG,E2,TAKE,SHORT,11504,11505,1,E2_BREAK_ACCEPT_LOW_SHORT,6074.5,0.48275862068965514,lo_5
11531,3.0535714285714284,SHORT,E2,TAKE,LONG,11533,11534,3,E2_BREAK_ACCEPT_HIGH_LONG,6074.0,1.719298245614035,hi_5
11547,3.0714285714285716,LONG,E2,TAKE,LONG,11547,11548,1,E2_BREAK_ACCEPT_HIGH_LONG,6080.75,1.2209302325581395,hi_5
11621,1.2857142857142858,LONG,E2,TAKE,SHORT,11623,11624,3,E2_BREAK_ACCEPT_LOW_SHORT,6085.75,0.7777777777777777,lo_5
11695,1.1428571428571428,SHORT,E2,TAKE,SHORT,11695,11696,1,E2_BREAK_ACCEPT_LOW_SHORT,6089.5,0.21875,lo_5
11736,1.0,LONG,E2,TAKE,LONG,11737,11738,2,E2_BREAK_ACCEPT_HIGH_LONG,6090.0,1.5,hi_5
11766,1.1607142857142858,SHORT,E2,TAKE,SHORT,11768,11769,3,E2_BREAK_ACCEPT_LOW_SHORT,6089.75,1.723076923076923,lo_5
11858,1.3035714285714286,LONG,E2,TAKE,SHORT,11860,11861,3,E2_BREAK_ACCEPT_LOW_SHORT,6079.0,0.7671232876712328,lo_5
11878,1.5357142857142858,SHORT,E2,TAKE,SHORT,11878,11879,1,E2_BREAK_ACCEPT_LOW_SHORT,6075.25,1.4651162790697674,lo_5
11970,0.3392857142857143,SHORT,E2,TAKE,SHORT,11970,11971,1,E2_BREAK_ACCEPT_LOW_SHORT,6072.0,0.0,lo_5
12105,0.48214285714285715,LONG,E2,TAKE,LONG,12108,12109,4,E2_BREAK_ACCEPT_HIGH_LONG,6071.5,2.074074074074074,hi_5
12208,0.23214285714285715,SHORT,E2,TAKE,LONG,12211,12212,4,E2_BREAK_ACCEPT_HIGH_LONG,6074.75,2.1538461538461537,hi_5
12215,0.17857142857142858,LONG,E2,TAKE,LONG,12215,12216,1,E2_BREAK_ACCEPT_HIGH_LONG,6075.75,0.0,hi_5
12339,0.14285714285714285,SHORT,E2,TAKE,LONG,12340,12341,2,E2_BREAK_ACCEPT_HIGH_LONG,6079.75,1.75,hi_5
12369,0.5357142857142857,SHORT,E2,TAKE,SHORT,12369,12370,1,E2_BREAK_ACCEPT_LOW_SHORT,6078.75,0.4666666666666667,lo_5
12435,0.42857142857142855,SHORT,E2,TAKE,SHORT,12435,12436,1,E2_BREAK_ACCEPT_LOW_SHORT,6076.25,0.0,lo_5
12547,0.5,SHORT,E2,TAKE,SHORT,12548,12549,2,E2_BREAK_ACCEPT_LOW_SHORT,6074.75,1.0,lo_5
12629,0.32142857142857145,LONG,E2,TAKE,LONG,12632,12633,4,E2_BREAK_ACCEPT_HIGH_LONG,6076.0,4.666666666666666,hi_5
12693,0.5714285714285714,LONG,E2,TAKE,SHORT,12694,12695,2,E2_BREAK_ACCEPT_LOW_SHORT,6079.0,2.625,lo_5
12727,0.42857142857142855,SHORT,E2,TAKE,SHORT,12730,12731,4,E2_BREAK_ACCEPT_LOW_SHORT,6078.25,1.75,lo_5
12751,0.39285714285714285,LONG,E2,TAKE,LONG,12752,12753,2,E2_BREAK_ACCEPT_HIGH_LONG,6079.75,1.9090909090909092,hi_5
12839,0.8571428571428571,SHORT,E2,TAKE,SHORT,12839,12840,1,E2_BREAK_ACCEPT_LOW_SHORT,6093.5,1.4583333333333335,lo_5
12858,0.8928571428571429,LONG,E2,TAKE,LONG,12858,12859,1,E2_BREAK_ACCEPT_HIGH_LONG,6097.0,0.27999999999999997,hi_5
12970,1.5178571428571428,LONG,E2,TAKE,LONG,12971,12972,2,E2_BREAK_ACCEPT_HIGH_LONG,6097.0,0.9882352941176471,hi_5
13035,0.9464285714285714,SHORT,E2,TAKE,LONG,13038,13039,4,E2_BREAK_ACCEPT_HIGH_LONG,6098.5,1.0566037735849056,hi_5
13044,0.8571428571428571,LONG,E2,TAKE,LONG,13044,13045,1,E2_BREAK_ACCEPT_HIGH_LONG,6101.0,0.5833333333333334,hi_5
13061,1.375,LONG,E2,TAKE,LONG,13063,13064,3,E2_BREAK_ACCEPT_HIGH_LONG,6100.5,0.5454545454545454,hi_5
13121,0.8392857142857143,SHORT,E2,TAKE,SHORT,13121,13122,1,E2_BREAK_ACCEPT_LOW_SHORT,6100.75,1.1914893617021276,lo_5
