trade_id,candidate_id,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,session,HTF_regime,setup_score,setup_score_band,setup_liquidity_component,setup_structure_component,setup_bias_component,setup_displacement_component,setup_session_component,setup_component_sum,setup_structure_level,setup_structure_distance_points,setup_structure_distance_atr,setup_body_atr,setup_range_atr,setup_upper_wick_ratio,setup_lower_wick_ratio,setup_candle_direction,bos_level,bos_displacement_points,bos_displacement_atr,bos_body_atr,bos_range_atr,bos_body_pct_range,bos_close_beyond_structure_atr,bos_upper_wick_ratio,bos_lower_wick_ratio,bos_candle_direction,setup_to_bos_bars,same_bar_setup_bos,bos_relative_volume_20,bos_to_retest_bars,retest_distance_points,retest_distance_atr,retest_penetration_atr,retest_max_penetration_atr,retest_body_atr,retest_range_atr,retest_wick_toward_atr,retest_wick_away_atr,retest_close_distance_bos_atr,retest_candle_direction,retest_touch_count_through_accept,confirm_body_atr,confirm_range_atr,confirm_body_pct_range,confirm_close_location,confirm_directional_close_location,confirm_displacement_away_atr,confirm_close_distance_bos_atr,confirm_rejection_wick_atr,retest_to_confirm_bars,bos_to_entry_bars,entry_atr,entry_atr_percentile_100,session_high_distance_atr,session_low_distance_atr,nearest_structure_distance_atr,directional_room_to_structure_atr,phase3_bias,phase3_bias_alignment,phase3_alignment,htf_alignment,HTF_alignment,entry_hour,minutes_since_midnight,outcome,is_winner,gross_R,net_R,MFE_R,MAE_R,exit_timestamp,exit_reason
T001,8,Short,2026-06-29 19:30:00-05:00,2026-06-29 19:30:00-05:00,2026-06-29 19:35:00-05:00,2026-06-29 19:40:00-05:00,2026-06-29 19:40:00-05:00,Overnight,Bull,90.0,90-94,25.0,30.0,20.0,15.0,0.0,90.0,29652.5,3.5,0.1113941174986686,0.970720166774112,2.0767046190823217,0.09578544061302682,0.4367816091954023,With,29652.5,31.0,0.9866336121310646,0.970720166774112,2.0767046190823217,0.4674329501915709,0.1113941174986686,0.09578544061302682,0.4367816091954023,With,0,True,3.5657620041753653,1,6.5,0.20861529359889552,0.20861529359889552,0.20861529359889552,0.0,0.8906268303645155,0.38513592664411483,0.5054909037204007,0.17652063304521928,Doji,1,0.7832895873115299,1.4347383529963664,0.5459459459459459,0.12972972972972974,0.8702702702702703,0.6979808203766107,0.8685983542464489,0.4653205469177405,1,2,32.235842795593776,0.55,4.459321907961679,0.1861282187670962,0.8685983542464489,-0.8685983542464489,Bear,1,Aligned,0,Opposed,19:00,1180,Loser,0,-1.0,-1.0149936620673494,0.1551068489725796,1.0805777145089717,2026-06-29 19:45:00-05:00,STOP
T002,9,Short,2026-06-30 07:00:00-05:00,2026-06-30 07:00:00-05:00,2026-06-30 07:10:00-05:00,2026-06-30 07:15:00-05:00,2026-06-30 07:15:00-05:00,Premarket,Bull,90.0,90-94,25.0,30.0,20.0,15.0,0.0,90.0,29796.5,11.5,0.4816500105700298,1.5182445985359636,2.0417772187207786,0.07692307692307693,0.1794871794871795,With,29796.5,34.25,1.4344793793063932,1.5182445985359636,2.0417772187207786,0.7435897435897436,0.4816500105700298,0.07692307692307693,0.1794871794871795,With,0,True,1.9064269064269064,2,10.25,0.4120740248491115,0.4120740248491115,0.4120740248491115,0.422124610821041,1.6382455134245164,0.9648562533052366,0.2512646492982387,0.9749068392771661,With,1,0.2671644101211935,0.7090132422447059,0.37681159420289856,0.30434782608695654,0.6956521739130435,0.2466133016503325,1.243342062487093,0.22606219317947146,1,3,24.329587900766466,0.74,5.4665948532490365,6.13450587855202,1.243342062487093,-1.243342062487093,Bear,1,Aligned,0,Opposed,07:00,435,Winner,1,2.0,1.9801339284781672,2.171567128421011,0.0342518474514355,2026-06-30 07:30:00-05:00,TARGET
T003,15,Short,2026-06-30 20:05:00-05:00,2026-06-30 20:05:00-05:00,2026-06-30 20:15:00-05:00,2026-06-30 20:30:00-05:00,2026-06-30 20:30:00-05:00,Overnight,Bull,75.0,75-79,25.0,30.0,20.0,0.0,0.0,75.0,30189.25,5.5,0.2898708185510904,0.43480622782663564,1.1726592205021384,0.39325842696629215,0.23595505617977527,With,30189.25,8.5,0.44798217412441244,0.43480622782663564,1.1726592205021384,0.3707865168539326,0.2898708185510904,0.39325842696629215,0.23595505617977527,With,0,True,1.4751459046085733,2,0.25,0.011779268608780945,0.0,0.0,0.7185353851356376,1.8846829774049512,0.3180402524370855,0.8481073398322281,1.048354906181504,With,1,0.4694549523870345,1.5228660650603802,0.3082706766917293,0.16541353383458646,0.8345864661654135,0.3893041068575408,1.4083648571611034,0.801508455294937,3,5,21.83383080289577,0.5,3.549537444877578,0.4351045900172515,1.4083648571611034,-1.4083648571611034,Bear,1,Aligned,0,Opposed,20:00,1230,Winner,1,2.0,1.9778630998061395,2.4579592629045104,0.3129699682580277,2026-06-30 21:05:00-05:00,TARGET
T004,23,Short,2026-07-02 05:00:00-05:00,2026-07-02 05:00:00-05:00,2026-07-02 05:05:00-05:00,2026-07-02 05:10:00-05:00,2026-07-02 05:10:00-05:00,Premarket,Bear,90.0,90-94,25.0,30.0,20.0,15.0,0.0,90.0,29625.75,16.5,0.49926382453111195,0.9833984422582508,1.2027719409158606,0.006289308176100629,0.1761006289308176,With,29625.75,30.75,0.9304462184443449,0.9833984422582508,1.2027719409158606,0.8176100628930818,0.49926382453111195,0.006289308176100629,0.1761006289308176,With,0,True,1.282536677709418,1,13.25,0.40118294258629,0.40118294258629,0.40118294258629,0.4465998794828511,0.9916031222415848,0.46173885844837154,0.08326438431036208,0.06055591586208151,Against,1,0.16439082535808944,0.5557975524011595,0.29577464788732394,0.15492957746478872,0.8450704225352113,0.21918776714411925,0.28181284347101043,0.3052972470935947,1,2,31.936088821039885,0.55,9.55032413985091,3.3895822561929867,0.28181284347101043,-0.28181284347101043,Bear,1,Aligned,1,Aligned,05:00,310,Loser,0,-1.0,-1.015134393445665,0.2139690107835397,1.2316265010954972,2026-07-02 05:30:00-05:00,STOP
T005,26,Long,2026-07-02 14:50:00-05:00,2026-07-02 14:50:00-05:00,2026-07-02 14:55:00-05:00,2026-07-02 15:05:00-05:00,2026-07-02 15:05:00-05:00,Afternoon,Bear,75.0,75-79,0.0,30.0,20.0,15.0,10.0,75.0,29210.25,5.5,0.09681727952240422,1.4478584074032268,1.4742631200002463,0.01791044776119403,0.0,With,29210.25,83.75,1.4742631200002463,1.4478584074032268,1.4742631200002463,0.982089552238806,0.09681727952240422,0.01791044776119403,0.0,With,0,True,2.2163402152814538,1,19.5,0.3337389810169439,0.3337389810169439,0.3337389810169439,0.08557409769665228,1.3606281533767712,0.4235917835984288,0.8514622720816902,0.17542690027813718,With,1,0.13702162850871205,0.6348668787570325,0.2158273381294964,0.7769784172661871,0.7769784172661871,0.050241263786527754,0.23750415608176756,0.35625623412265134,2,3,54.73588426606051,0.23,14.231979814438224,3.882279474413508,0.23750415608176756,-0.23750415608176756,Bull,1,Aligned,0,Opposed,15:00,905,Winner,1,0.5298169635670199,0.520986680840903,0.6150748657502076,0.1979201300681361,2026-07-02 17:05:00-05:00,TIME
T006,29,Long,2026-07-02 21:05:00-05:00,2026-07-02 21:05:00-05:00,2026-07-02 21:10:00-05:00,2026-07-02 21:15:00-05:00,2026-07-02 21:15:00-05:00,Overnight,Bear,90.0,90-94,25.0,30.0,20.0,15.0,0.0,90.0,29379.75,17.5,0.5318588115897808,0.9041599797026274,0.9573458608616054,0.047619047619047616,0.007936507936507936,With,29379.75,23.5,0.7142104041348485,0.9041599797026274,0.9573458608616054,0.9444444444444444,0.5318588115897808,0.047619047619047616,0.007936507936507936,With,0,True,1.1423515532835233,1,8.75,0.2693816827894172,0.2693816827894172,0.2693816827894172,0.5926397021367178,0.8312349068930588,0.19241548770672656,0.04617971704961438,-0.07696619508269063,Against,1,0.2608617254115184,0.648201863143773,0.4024390243902439,0.5,0.5,0.2766715269516104,0.19762251925115032,0.0632392061603681,1,2,31.625950441696034,0.21,0.4031499392723466,5.746862859823451,0.19762251925115032,-0.19762251925115032,Bull,1,Aligned,0,Opposed,21:00,1275,Winner,1,1.0170972324125869,1.0018144242571645,1.1066861078064516,0.0158098015400921,2026-07-02 22:15:00-05:00,TIME
T007,40,Long,2026-07-07 10:50:00-05:00,2026-07-07 10:50:00-05:00,2026-07-07 10:55:00-05:00,2026-07-07 11:00:00-05:00,2026-07-07 11:00:00-05:00,Morning,Bear,85.0,85-89,25.0,30.0,20.0,0.0,10.0,85.0,29040.25,10.75,0.19851324784192081,0.664788550912479,0.8725349730726286,0.23809523809523808,0.0,With,29040.25,36.5,0.6740217252307078,0.664788550912479,0.8725349730726286,0.7619047619047619,0.19851324784192081,0.23809523809523808,0.0,With,0,True,0.539249672598413,1,11.0,0.20636979314253004,0.20636979314253004,0.20636979314253004,0.3376960251423219,0.7926476145701722,0.4080493637136389,0.04690222571421137,0.5393755957134307,With,1,0.6083449943656754,1.0295069135419121,0.5909090909090909,0.7909090909090909,0.7909090909090909,0.6317428787643552,1.169894219933991,0.20590138270838243,1,2,53.42363346621752,0.78,9.513579796503215,3.940203732737682,1.169894219933991,-1.169894219933991,Bull,1,Aligned,0,Opposed,11:00,660,Winner,1,1.6284927541481156,1.619445572180626,1.7376828813419511,0.2807746127841573,2026-07-07 12:00:00-05:00,TIME
T008,55,Short,2026-07-09 19:05:00-05:00,2026-07-09 19:05:00-05:00,2026-07-09 19:15:00-05:00,2026-07-09 19:20:00-05:00,2026-07-09 19:20:00-05:00,Overnight,Bull,75.0,75-79,25.0,30.0,20.0,0.0,0.0,75.0,29586.25,11.0,0.4854060175300392,0.7612048911266523,2.151231214053583,0.13333333333333333,0.5128205128205128,With,29586.25,14.25,0.628821431800278,0.7612048911266523,2.151231214053583,0.35384615384615387,0.4854060175300392,0.13333333333333333,0.5128205128205128,With,0,True,2.933124755572937,2,0.5,0.019811853742470444,0.0,0.0,0.6537911735015247,1.6245720068825764,0.32689558675076236,0.6438852466302895,1.0004986139947574,With,1,1.555206269672597,2.0645135860566053,0.7533039647577092,0.04405286343612335,0.9559471365638766,1.5461114961657396,2.464683620358326,0.41835958131543544,1,3,27.488315108837465,0.67,4.656524035510934,0.09094773506857293,2.464683620358326,-2.464683620358326,Bear,1,Aligned,0,Opposed,19:00,1160,Loser,0,-0.8973509860099195,-0.9149342147898428,0.7760873392517922,0.9943619034163588,2026-07-09 20:20:00-05:00,TIME
T009,57,Short,2026-07-10 06:35:00-05:00,2026-07-10 06:35:00-05:00,2026-07-10 06:40:00-05:00,2026-07-10 06:45:00-05:00,2026-07-10 06:45:00-05:00,Premarket,Bull,75.0,75-79,25.0,30.0,20.0,0.0,0.0,75.0,29517.0,16.25,0.789691140121183,0.8868838958284055,1.3971458632913238,0.12173913043478261,0.24347826086956523,With,29517.0,18.25,0.8868838958284055,0.8868838958284055,1.3971458632913238,0.6347826086956522,0.789691140121183,0.12173913043478261,0.24347826086956523,With,0,True,1.2292213473315836,1,6.25,0.30067731496569633,0.30067731496569633,0.30067731496569633,0.8058152041080661,1.1305467042710182,0.2285147593739292,0.09621674078902281,-0.07216255559176711,Against,1,0.5426856816552444,0.964774545164879,0.5625,0.15,0.85,0.49444695439700054,0.4220888635096346,0.27737268173490276,1,2,20.730231845598723,0.68,6.669004043452227,5.24596158933403,0.4220888635096346,-0.4220888635096346,Bear,1,Aligned,0,Opposed,06:00,405,Loser,0,-1.0,-1.0233153848414849,1.760713544925914,1.6963952419149215,2026-07-10 07:10:00-05:00,STOP
T010,60,Long,2026-07-10 12:25:00-05:00,2026-07-10 12:25:00-05:00,2026-07-10 12:30:00-05:00,2026-07-10 12:35:00-05:00,2026-07-10 12:35:00-05:00,Midday,Bull,75.0,75-79,0.0,30.0,20.0,15.0,10.0,75.0,29725.5,6.5,0.19600410058602546,0.41462405893197696,0.5277033477316071,0.1,0.11428571428571428,With,29725.5,14.25,0.4297012974385943,0.41462405893197696,0.5277033477316071,0.7857142857142857,0.19600410058602546,0.1,0.11428571428571428,With,0,True,0.79120720460575,1,5.25,0.1628399537844136,0.1628399537844136,0.1628399537844136,0.11631425270315257,0.6280969645970239,0.24813707243339214,0.26364563946047914,0.08529711864897856,Against,1,0.5536084768713847,0.9278789964464053,0.5966386554621849,0.7563025210084033,0.7563025210084033,0.5536084768713847,0.6393788042739935,0.148148747331779,1,2,32.062370324079616,0.51,0.22612177224324162,12.124805373732439,0.6393788042739935,-0.6393788042739935,Bull,1,Aligned,1,Aligned,12:00,755,Loser,0,-0.5146219644156533,-0.529696749231869,0.1767388564659771,0.8784960806691214,2026-07-10 13:35:00-05:00,TIME
