feature,feature_label,bucket_method,bucket_order,bucket,bucket_min,bucket_max,N,wins,losses,win_rate_pct,AvgR,TotalR,PF
bos_displacement_atr,BOS close displacement / ATR,quantile,1,Q1 lowest,0.3559375262149979,0.6714547603153934,11,4,7,36.36363636363637,-0.07982419705035945,-0.878066167553954,0.8346012412058229
bos_displacement_atr,BOS close displacement / ATR,quantile,2,Q2,0.6740217252307078,0.9304462184443449,10,3,7,30.0,-0.4204183229023163,-4.204183229023163,0.4086282280752185
bos_displacement_atr,BOS close displacement / ATR,quantile,3,Q3,0.9845658057254767,1.4246006548801555,10,3,7,30.0,-0.2203159444200264,-2.203159444200264,0.6555166456137046
bos_displacement_atr,BOS close displacement / ATR,quantile,4,Q4 highest,1.4344793793063932,3.049017452367253,11,7,4,63.63636363636363,0.6300261252597298,6.930287377857027,3.338135934101093
confirm_body_atr,Confirmation body / ATR,quantile,1,Q1 lowest,0.0873720137855374,0.25364937195489573,11,1,10,9.090909090909092,-0.7092595009547034,-7.8018545105017365,0.0625972151652767
confirm_body_atr,Confirmation body / ATR,quantile,2,Q2,0.2608617254115184,0.4408189253153664,10,7,3,70.0,0.8869537347646872,8.869537347646872,4.804499448335588
confirm_body_atr,Confirmation body / ATR,quantile,3,Q3,0.4459648130328892,0.6430343066547226,10,7,3,70.0,0.6637823981417377,6.637823981417377,3.556822758201433
confirm_body_atr,Confirmation body / ATR,quantile,4,Q4 highest,0.6648803802675436,1.555206269672597,11,2,9,18.181818181818183,-0.732784389225715,-8.060628281482865,0.054723033466094466
retest_max_penetration_atr,Max pre-accept penetration / ATR,quantile,1,Q1 lowest,0.0,0.01839832020656583,11,5,6,45.45454545454545,0.29418076192269565,3.235988381149652,1.5770656897192996
retest_max_penetration_atr,Max pre-accept penetration / ATR,quantile,2,Q2,0.037185917945454824,0.17853722607100062,10,4,6,40.0,-0.3313577059247046,-3.313577059247046,0.24744306141184746
retest_max_penetration_atr,Max pre-accept penetration / ATR,quantile,3,Q3,0.20636979314253004,0.3589287006464723,10,4,6,40.0,-0.2522449107798646,-2.522449107798646,0.5878250654706295
retest_max_penetration_atr,Max pre-accept penetration / ATR,quantile,4,Q4 highest,0.37005898768962964,0.679462142911506,11,4,7,36.36363636363637,0.20408330208869874,2.244916322975686,1.397544568216949
entry_atr_percentile_100,Entry ATR percentile vs prior 100 bars,fixed percentile quarters,1,0-25%,0.0,0.23,13,6,7,46.15384615384615,0.006074857105521922,0.07897314237178499,1.0132912511097474
entry_atr_percentile_100,Entry ATR percentile vs prior 100 bars,fixed percentile quarters,2,25-50%,0.29,0.5,7,2,5,28.571428571428573,-0.05583905078170585,-0.3908733554719409,0.9100508421419052
entry_atr_percentile_100,Entry ATR percentile vs prior 100 bars,fixed percentile quarters,3,50-75%,0.51,0.75,10,3,7,30.0,-0.2629337832545817,-2.629337832545817,0.5469360371984886
entry_atr_percentile_100,Entry ATR percentile vs prior 100 bars,fixed percentile quarters,4,75-100%,0.77,1.0,12,6,6,50.0,0.2155097152271351,2.586116582725621,1.454752309285944
bos_to_retest_bars,Bars BOS to retest,fixed delay,1,1,1.0,1.0,33,12,21,36.36363636363637,-0.11183958256794067,-3.6907062247420424,0.7984466107314004
bos_to_retest_bars,Bars BOS to retest,fixed delay,2,2,2.0,2.0,3,2,1,66.66666666666667,1.0143542711648212,3.0430628134944637,4.325990835519737
bos_to_retest_bars,Bars BOS to retest,fixed delay,3,3-4,3.0,4.0,2,2,0,100.0,1.1381755130210267,2.2763510260420534,99.9
bos_to_retest_bars,Bars BOS to retest,fixed delay,4,5+,5.0,7.0,4,1,3,25.0,-0.495957269428707,-1.983829077714828,0.22242890213859465
retest_to_confirm_bars,Bars retest to confirmation,fixed delay,1,1,1.0,1.0,31,10,21,32.25806451612903,-0.18359929124233632,-5.691578028512426,0.6873818617967022
retest_to_confirm_bars,Bars retest to confirmation,fixed delay,2,2,2.0,2.0,8,5,3,62.5,0.4905691677643301,3.924553342114641,2.538874058628198
retest_to_confirm_bars,Bars retest to confirmation,fixed delay,3,3-4,3.0,3.0,3,2,1,66.66666666666667,0.4706344078258114,1.4119032234774342,2.382707488521555
setup_score,Original setup score,frozen score bands,2,75-79,75.0,75.0,24,9,15,37.5,-0.21068200101294385,-5.056368024310652,0.6263885869785957
setup_score,Original setup score,frozen score bands,4,85-89,85.0,85.0,2,2,0,100.0,1.0373002995917122,2.0746005991834244,99.9
setup_score,Original setup score,frozen score bands,5,90-94,90.0,90.0,14,5,9,35.714285714285715,0.11887566825891284,1.6642593556247798,1.230087221497424
setup_score,Original setup score,frozen score bands,6,95+,100.0,100.0,2,1,1,50.0,0.4811933032910476,0.9623866065820952,1.9522656657759272
