feature,category,N,wins,losses,win_rate_pct,AvgR,TotalR,PF
direction,Long,21,8,13,38.095238095238095,-0.10752745309368897,-2.258076514967468,0.7914601365073457
direction,Short,21,9,12,42.857142857142854,0.09061690724033879,1.9029550520471146,1.1737933919383745
session,Afternoon,6,4,2,66.66666666666667,0.38963716448941915,2.337822986936515,2.430832957273965
session,Midday,4,1,3,25.0,-0.14053380436330842,-0.5621352174532337,0.7799624770597129
session,Morning,4,2,2,50.0,-0.029223703603573126,-0.1168948144142925,0.94213420999358
session,Opening,4,3,1,75.0,0.4143815843396345,1.657526337358538,2.640094958087115
session,Overnight,17,5,12,29.41176470588235,-0.149510608755272,-2.5416803488396242,0.7311962232204393
session,Premarket,7,2,5,28.571428571428573,-0.1613943437868937,-1.129760406508256,0.7785951363095882
HTF_regime,Bear,15,6,9,40.0,-0.13787998728504042,-2.0681998092756064,0.7318755290283286
HTF_regime,Bull,26,11,15,42.30769230769231,0.10468779609318167,2.7218826984227236,1.2084907502773297
HTF_regime,Neutral,1,0,1,0.0,-1.0088043520674697,-1.0088043520674697,0.0
setup_candle_direction,Against,1,0,1,0.0,-1.016866695620114,-1.016866695620114,0.0
setup_candle_direction,With,41,17,24,41.46341463414634,0.016140127626823448,0.6617452326997614,1.0318749135696133
bos_candle_direction,With,42,17,25,40.476190476190474,-0.008455272926675073,-0.35512146292035307,0.9836932374533185
retest_candle_direction,Against,19,6,13,31.57894736842105,-0.269230991231448,-5.115388833397512,0.5681131498071162
retest_candle_direction,Doji,2,1,1,50.0,0.48561124682462375,0.9712224936492475,1.9568754268583821
retest_candle_direction,With,21,10,11,47.61904761904762,0.18043070842037673,3.7890448768279112,1.4248625513697726
same_bar_setup_bos,False,1,0,1,0.0,-1.016866695620114,-1.016866695620114,0.0
same_bar_setup_bos,True,41,17,24,41.46341463414634,0.016140127626823448,0.6617452326997614,1.0318749135696133
phase3_bias,Bear,21,9,12,42.857142857142854,0.09061690724033879,1.9029550520471146,1.1737933919383745
phase3_bias,Bull,21,8,13,38.095238095238095,-0.10752745309368897,-2.258076514967468,0.7914601365073457
phase3_alignment,Aligned,42,17,25,40.476190476190474,-0.008455272926675073,-0.35512146292035307,0.9836932374533185
HTF_alignment,Aligned,16,6,10,37.5,-0.23498369111246825,-3.759739057799492,0.5120647065588418
HTF_alignment,Opposed,26,11,15,42.30769230769231,0.1309468305722746,3.4046175948791397,1.2419400685637263
entry_hour,00:00,4,1,3,25.0,-0.15634266932137042,-0.6253706772854817,0.7567878963952901
entry_hour,05:00,1,0,1,0.0,-1.015134393445665,-1.015134393445665,0.0
entry_hour,06:00,1,0,1,0.0,-1.0233153848414849,-1.0233153848414849,0.0
entry_hour,07:00,3,1,2,33.333333333333336,-0.022413233235769676,-0.06723969970730903,0.9671580708173418
entry_hour,08:00,2,1,1,50.0,0.4879645357431014,0.9759290714862028,1.9597414053285065
entry_hour,09:00,3,3,0,100.0,0.8893848705891907,2.668154611767572,99.9
entry_hour,10:00,2,0,2,0.0,-1.0109631019339478,-2.0219262038678956,0.0
entry_hour,11:00,3,2,1,66.66666666666667,0.29813437168152307,0.8944031150445693,1.8865972011436671
entry_hour,12:00,2,0,2,0.0,-0.7689602445978427,-1.5379204891956855,0.0
entry_hour,13:00,2,1,1,50.0,0.4878926358712259,0.9757852717424518,1.9596592919589972
entry_hour,14:00,3,2,1,66.66666666666667,0.5077122918967976,1.5231368756903927,2.497140119031034
entry_hour,15:00,3,2,1,66.66666666666667,0.27156203708204074,0.8146861112461222,2.321415642171661
entry_hour,18:00,2,0,2,0.0,-0.6591375484715298,-1.3182750969430597,0.0
entry_hour,19:00,4,1,3,25.0,-0.24540368029778098,-0.9816147211911239,0.6681907274708437
entry_hour,20:00,1,1,0,100.0,1.9778630998061395,1.9778630998061395,99.9
entry_hour,21:00,3,2,1,66.66666666666667,-0.004764576938257159,-0.014293730814771477,0.9860900583722698
entry_hour,22:00,1,0,1,0.0,-0.2640947868223086,-0.2640947868223086,0.0
entry_hour,23:00,2,0,2,0.0,-0.6579472177945092,-1.3158944355890183,0.0
setup_score_band,75-79,24,9,15,37.5,-0.21068200101294385,-5.056368024310652,0.6263885869785957
setup_score_band,85-89,2,2,0,100.0,1.0373002995917122,2.0746005991834244,99.9
setup_score_band,90-94,14,5,9,35.714285714285715,0.11887566825891284,1.6642593556247798,1.230087221497424
setup_score_band,95+,2,1,1,50.0,0.4811933032910476,0.9623866065820952,1.9522656657759272
