cost_multiplier,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
1.0,13047,0.38821184946731047,-0.09141992566827797,-1192.7557701940227,0.8370354202912128,1207.236803953996,-0.988004810893319
1.5,13047,0.3828466314095194,-0.11459907407505121,-1495.1741194571932,0.8008277663978391,1508.376297312981,-0.9912474242141658
2.0,13047,0.37970414654709894,-0.13777822248182445,-1797.5924687203637,0.7664277736846301,1809.5157906719446,-0.9934107665636047
