event_id,extreme_timestamp,direction,extreme_price,capture_status,matched_signal_time,matched_signal_type,MFE_R,MAE_R
MR00001,2018-01-02 11:30:00-06:00,Long,6478.5,MISSED,,,3.12906435348035,0.2644279735335507
MR00002,2018-01-03 11:45:00-06:00,Short,6570.0,MISSED,,,3.284926194337701,0.26491340276916947
MR00003,2018-01-03 15:30:00-06:00,Long,6560.0,MISSED,,,2.7409232620855843,0.051715533246897816
MR00004,2018-01-04 09:30:00-06:00,Short,6594.5,MISSED,,,2.73866073087881,0.7054126124990874
MR00005,2018-01-05 14:00:00-06:00,Long,6629.25,MISSED,,,8.244126230019816,0.0629322612978612
MR00006,2018-01-08 13:00:00-06:00,Short,6670.75,MISSED,,,2.4023640416963468,0.695421169964732
MR00007,2018-01-08 13:45:00-06:00,Long,6659.0,CAPTURED_OTHER_EXISTING,2018-01-08 20:45:00+00:00,L,2.03951597500984,0.5736138679715175
MR00008,2018-01-09 12:15:00-06:00,Short,6688.25,MISSED,,,3.1731695185382067,0.04666425762556187
MR00009,2018-01-09 14:30:00-06:00,Short,6681.25,CAPTURED_OTHER_EXISTING,2018-01-09 20:30:00+00:00,S,3.4722425577867937,0.0
MR00010,2018-01-10 12:45:00-06:00,Short,6655.25,CAPTURED_OTHER_EXISTING,2018-01-10 19:15:00+00:00,S,3.4054732781794614,0.5492698835773324
MR00011,2018-01-10 13:30:00-06:00,Long,6628.25,MISSED,,,3.6001945227702055,0.10385176507990977
MR00012,2018-01-11 13:45:00-06:00,Long,6681.75,MISSED,,,5.824904164448798,0.4568552285842194
MR00013,2018-01-12 14:00:00-06:00,Long,6735.5,CAPTURED_PHASE33,2018-01-12 20:45:00+00:00,RL,5.86609195627231,0.09024756855803553
MR00014,2018-01-15 09:45:00-06:00,Short,6764.75,CAPTURED_PHASE33,2018-01-15 16:15:00+00:00,RS,2.996310973608735,0.07490777434021838
MR00015,2018-01-15 11:30:00-06:00,Long,6754.25,MISSED,,,2.393699878850158,0.4127068756638203
MR00016,2018-01-16 09:30:00-06:00,Short,6812.5,CAPTURED_OTHER_EXISTING,2018-01-16 16:15:00+00:00,S,5.621973134147113,0.6891450938631944
MR00017,2018-01-16 13:45:00-06:00,Long,6710.25,CAPTURED_PHASE33,2018-01-16 20:15:00+00:00,RL,2.2196549383150965,0.09445340163042965
MR00018,2018-01-18 10:45:00-06:00,Long,6783.75,MISSED,,,2.221478333907156,0.185123194492263
MR00019,2018-01-18 13:30:00-06:00,Short,6819.0,CAPTURED_OTHER_EXISTING,2018-01-18 21:30:00+00:00,S,3.384387541860997,0.4782286743934018
MR00020,2018-01-19 12:30:00-06:00,Long,6808.75,CAPTURED_OTHER_EXISTING,2018-01-19 19:15:00+00:00,L,2.4568560386768916,0.28904188690316374
MR00021,2018-01-19 14:30:00-06:00,Long,6817.75,MISSED,,,2.2822764551563655,2.7387317461876384
MR00022,2018-01-22 13:15:00-06:00,Long,6871.25,CAPTURED_OTHER_EXISTING,2018-01-22 21:00:00+00:00,L,8.949637766130136,0.23551678331921413
MR00023,2018-01-23 12:45:00-06:00,Short,6959.0,CAPTURED_PHASE33,2018-01-23 20:15:00+00:00,RS,3.8508493059321296,0.641808217655355
MR00024,2018-01-23 13:15:00-06:00,Long,6932.5,MISSED,,,2.429352656725442,0.7393681998729607
MR00025,2018-01-24 09:30:00-06:00,Short,6985.25,CAPTURED_OTHER_EXISTING,2018-01-24 16:15:00+00:00,S,12.481447993166176,0.5742997542867873
MR00026,2018-01-24 12:15:00-06:00,Long,6869.25,CAPTURED_OTHER_EXISTING,2018-01-24 18:30:00+00:00,L,3.3691598587549123,0.0
MR00027,2018-01-24 13:45:00-06:00,Short,6939.5,MISSED,,,2.061345616619991,0.14429419316339936
MR00028,2018-01-25 09:45:00-06:00,Long,6904.25,MISSED,,,2.7194477786042075,0.37083378799148287
MR00029,2018-01-25 11:00:00-06:00,Short,6949.75,MISSED,,,3.729641757127163,0.1021819659486894
MR00030,2018-01-25 12:45:00-06:00,Short,6937.25,MISSED,,,5.564407097266906,0.1384180869966892
MR00031,2018-01-25 14:00:00-06:00,Long,6883.0,MISSED,,,3.3750314529430376,0.0
MR00032,2018-01-26 11:15:00-06:00,Long,6952.0,MISSED,,,3.5385478220762976,0.3283188700895534
MR00033,2018-01-29 10:00:00-06:00,Long,6961.5,CAPTURED_OTHER_EXISTING,2018-01-29 18:00:00+00:00,L,3.8545723350196064,0.17389048127907997
MR00034,2018-01-29 12:15:00-06:00,Short,7008.5,MISSED,,,2.648358412417165,0.17655722749447766
MR00035,2018-01-30 12:00:00-06:00,Long,6896.75,MISSED,,,2.897180227222588,0.3317381939567849
MR00036,2018-01-30 13:00:00-06:00,Short,6935.25,MISSED,,,2.211687701535985,0.4062283533433442
MR00037,2018-01-31 09:30:00-06:00,Short,6968.0,CAPTURED_OTHER_EXISTING,2018-01-31 15:45:00+00:00,S,4.114497283862647,0.8977084982973048
MR00038,2018-01-31 11:00:00-06:00,Long,6926.0,CAPTURED_PHASE33,2018-01-31 16:45:00+00:00,RL,2.59723166189327,0.27827482091713607
MR00039,2018-01-31 13:00:00-06:00,Short,6960.25,MISSED,,,5.137335866553866,1.0147823933933562
MR00040,2018-01-31 14:00:00-06:00,Long,6903.5,CAPTURED_OTHER_EXISTING,2018-01-31 20:30:00+00:00,L,5.321693748904828,1.048987710120663
MR00041,2018-01-31 14:45:00-06:00,Short,6952.0,MISSED,,,3.7848698701710415,1.8924349350855207
MR00042,2018-01-31 15:45:00-06:00,Long,6902.5,MISSED,,,4.328087439046981,0.0
MR00043,2018-02-01 12:00:00-06:00,Short,6960.5,CAPTURED_OTHER_EXISTING,2018-02-01 18:45:00+00:00,S,6.04507412354054,0.3482758754303192
MR00044,2018-02-01 14:30:00-06:00,Long,6865.75,MISSED,,,5.828354375864459,0.22734715650535123
MR00045,2018-02-02 11:30:00-06:00,Short,6841.75,CAPTURED_PHASE33,2018-02-02 18:00:00+00:00,RS,4.325373098168452,0.0
MR00046,2018-02-05 09:45:00-06:00,Short,6790.25,CAPTURED_OTHER_EXISTING,2018-02-05 17:15:00+00:00,S,4.00335528484874,0.8188681264463332
MR00047,2018-02-06 11:30:00-06:00,Short,6575.75,MISSED,,,2.2882344799626657,0.09179164103002097
MR00048,2018-02-06 13:15:00-06:00,Long,6465.0,CAPTURED_OTHER_EXISTING,2018-02-06 19:45:00+00:00,L,5.072420568739279,0.273019803983134
MR00049,2018-02-07 10:15:00-06:00,Short,6698.75,CAPTURED_PHASE33,2018-02-07 16:30:00+00:00,RS,6.728769907716779,0.2627285430344946
MR00050,2018-02-07 14:30:00-06:00,Short,6637.0,MISSED,,,6.850241765109736,0.12454985027472247
MR00051,2018-02-08 11:45:00-06:00,Long,6368.5,CAPTURED_OTHER_EXISTING,2018-02-08 18:45:00+00:00,L,2.9569724398805874,0.6308207871745253
MR00052,2018-02-08 12:45:00-06:00,Short,6474.5,CAPTURED_PHASE33,2018-02-08 19:30:00+00:00,RS,6.552448006622862,0.31202133364870777
MR00053,2018-02-09 12:30:00-06:00,Long,6145.0,CAPTURED_PHASE33,2018-02-09 18:00:00+00:00,RL,6.044558204430407,0.26849404324918663
MR00054,2018-02-12 12:15:00-06:00,Long,6478.5,CAPTURED_OTHER_EXISTING,2018-02-12 20:15:00+00:00,L,2.991151714402607,0.24926264286688393
MR00055,2018-02-12 14:15:00-06:00,Short,6548.5,MISSED,,,2.7635388147096727,0.41379190808487076
MR00056,2018-02-13 11:30:00-06:00,Long,6484.5,CAPTURED_PHASE33,2018-02-13 17:00:00+00:00,RL,3.77490322000473,0.7199557687637888
MR00057,2018-02-14 11:15:00-06:00,Long,6576.75,CAPTURED_PHASE33,2018-02-14 17:45:00+00:00,RL,2.9481159879590377,0.1228381661649599
MR00058,2018-02-15 10:00:00-06:00,Long,6650.75,MISSED,,,4.314885626373904,0.44913307635118704
MR00059,2018-02-16 11:30:00-06:00,Short,6828.25,CAPTURED_OTHER_EXISTING,2018-02-16 18:30:00+00:00,S,7.3699101767941935,0.27987000671370355
MR00060,2018-02-19 10:00:00-06:00,Long,6739.25,CAPTURED_OTHER_EXISTING,2018-02-19 15:45:00+00:00,L,3.870544957308928,0.07167675846868385
MR00061,2018-02-20 11:45:00-06:00,Short,6824.75,CAPTURED_PHASE33,2018-02-20 19:15:00+00:00,RS,5.256306014347022,0.31782315435586644
MR00062,2018-02-21 10:30:00-06:00,Short,6843.75,CAPTURED_OTHER_EXISTING,2018-02-21 16:15:00+00:00,S,2.5999339907184438,0.6164791936755073
MR00063,2018-02-21 11:30:00-06:00,Long,6809.0,CAPTURED_OTHER_EXISTING,2018-02-21 18:00:00+00:00,L,5.683687475224947,0.15430825724592617
MR00064,2018-02-21 13:15:00-06:00,Short,6866.5,MISSED,,,11.849630577513494,0.575224785316189
MR00065,2018-02-22 10:45:00-06:00,Short,6812.5,CAPTURED_OTHER_EXISTING,2018-02-22 18:15:00+00:00,S,6.0999844418638505,0.609998444186385
MR00066,2018-02-22 13:30:00-06:00,Short,6780.75,MISSED,,,2.7238400023819636,0.9079466674606546
MR00067,2018-02-22 14:45:00-06:00,Long,6728.0,CAPTURED_PHASE33,2018-02-22 20:15:00+00:00,RL,2.027811096946977,0.22152558201941763
MR00068,2018-02-23 12:00:00-06:00,Long,6809.5,MISSED,,,6.56087751718511,0.3468305295428252
MR00069,2018-02-27 11:15:00-06:00,Long,6893.25,CAPTURED_OTHER_EXISTING,2018-02-27 18:00:00+00:00,L,2.6998150601888953,0.11171648524919567
MR00070,2018-02-27 12:15:00-06:00,Short,6943.75,CAPTURED_PHASE33,2018-02-27 19:00:00+00:00,RS,3.4576808049034353,0.38206417733739617
MR00071,2018-02-28 09:30:00-06:00,Short,6941.0,CAPTURED_PHASE33,2018-02-28 17:00:00+00:00,RS,6.223565993299073,0.24052428959609942
MR00072,2018-02-28 10:45:00-06:00,Long,6874.0,MISSED,,,3.7143210323057403,0.8603794481612167
MR00073,2018-02-28 13:00:00-06:00,Short,6951.5,CAPTURED_OTHER_EXISTING,2018-02-28 19:45:00+00:00,S,8.580444873955136,0.44272565688712
MR00074,2018-03-01 13:00:00-06:00,Long,6670.0,CAPTURED_PHASE33,2018-03-01 19:30:00+00:00,RL,4.596147907322154,0.09427995707327495
MR00075,2018-03-02 11:45:00-06:00,Short,6763.5,CAPTURED_OTHER_EXISTING,2018-03-02 18:15:00+00:00,S,3.121601848011216,0.6520679415845652
MR00076,2018-03-02 12:30:00-06:00,Long,6700.75,CAPTURED_PHASE33,2018-03-02 19:15:00+00:00,RL,3.837951561690849,0.05386598683074876
MR00077,2018-03-05 09:30:00-06:00,Long,6754.25,CAPTURED_OTHER_EXISTING,2018-03-05 15:45:00+00:00,L,5.844859800644574,0.7944469631944081
MR00078,2018-03-05 12:00:00-06:00,Short,6877.25,CAPTURED_OTHER_EXISTING,2018-03-05 19:15:00+00:00,S,2.8122342341361857,1.2134983339080803
MR00079,2018-03-05 13:15:00-06:00,Long,6833.25,MISSED,,,2.774353949884631,0.0
MR00080,2018-03-06 09:30:00-06:00,Short,6920.25,CAPTURED_PHASE33,2018-03-06 17:30:00+00:00,RS,6.296432617071807,0.07773373601323219
MR00081,2018-03-06 10:30:00-06:00,Long,6852.75,CAPTURED_OTHER_EXISTING,2018-03-06 17:45:00+00:00,L,3.29548262907216,0.020342485364642962
MR00082,2018-03-06 12:00:00-06:00,Short,6908.25,CAPTURED_PHASE33,2018-03-06 17:30:00+00:00,RS,2.335326219297115,0.5212781739502489
MR00083,2018-03-06 15:00:00-06:00,Short,6899.5,MISSED,,,9.585100539056585,0.5933633667035029
