segment,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
OVERLAP,438,0.3584474885844749,-0.1418383650708026,-62.12520390101154,0.7502074874613418,67.21932711445959,-0.9242163908488121
NEW_PHASE41_ONLY,12609,0.38924577682607664,-0.08966853567237777,-1130.6305662930113,0.8400896639854104,1145.1116000529819,-0.987354041510626
